昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,その他の和名_1,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,データソース,備考
catalog-11,蛾類,11,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sparrmannella,,,,,キンマダラスイコバネ,,,,,,"Eriocrania sparrmannella (Bosc, 1791)",シラカンバ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0017,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sakhalinella,,,,,ハンノキスイコバネ,,,,,,"Eriocrania sakhalinella Kozlov, 1983",ケヤマハンノキ; ハンノキ; タニガワハンノキなどのハンノキ類（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0018,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,"sp. 2 of Hirowatari, 2013",,,,,ミズメスイコバネ,,,,,,Eriocrania sp. 2,ミズメ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,ブナ（ブナ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0019,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sangii,,,,,クロムラサキスイコバネ,,,,,,"Eriocrania sangii (Wood, 1891)",シラカンバ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-10+12,蛾類,10+12,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,semipurpurella,,,,,オオスイコバネ,,,,,,"Eriocrania semipurpurella (Stephens, 1835)",シラカンバ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0020,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,carpinella,,,,,アカシデスイコバネ,,,,,,"Eriocrania carpinella Mizukawa, Hirowatari & Hashimoto, 2010",アカシデ; イヌシデ; サワシバ（以上カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-18,蛾類,18,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,chishimana,,,,,チシマシロスジコウモリ,,,,,,"Gazoryctra chishimana (Matsumura, 1931)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-17,蛾類,17,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,macilenta,,,,,オオギンスジコウモリ,,,,,,"Gazoryctra macilenta (Eversmann, 1851)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-19,蛾類,19,Hepialidae,コウモリガ科,,,,,,,Palpifer,,sexnotatus,,,,,シロテンコウモリ,,,,,,"Palpifer sexnotatus (Moore, 1879)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-16,蛾類,16,Hepialidae,コウモリガ科,,,,,,,Pharmacis,,fusconebulosa,,,,,キタコウモリ,,,,,,"Pharmacis fusconebulosa (De Geer, 1778)",イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
