all_name,Hub name,lato/stricto,Family ID,Family name,Family name (JP),GL,SF,WF,YL,status,message
タイワンイヌドクサ,タイワンイヌドクサ,,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00086,確定,
タカトクサ,イヌドクサ,狭義,4,Equisetaceae,トクサ,GL_00052,SF_00065,#N/A,#N/A,確定,イヌドクサ狭義/タカトクサ
タカトクサ,タカトクサ,,4,Equisetaceae,トクサ,#N/A,SF_00067,#N/A,YL_00087,確定,イヌドクサ狭義/タカトクサ
チシマヒメドクサ,チシマヒメドクサ,,4,Equisetaceae,トクサ,GL_00055,SF_00069,#N/A,YL_00090,確定,
テトリトクサ,テトリトクサ/テドリトクサ,,4,Equisetaceae,トクサ,GL_00057,SF_00072,#N/A,YL_00092,確定,
テドリトクサ,テトリトクサ/テドリトクサ,,4,Equisetaceae,トクサ,GL_00057,SF_00072,#N/A,YL_00092,確定,
トクサ,トクサ,広義,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00081,確定,トクサ広義/狭義
トクサ,トクサ,狭義,4,Equisetaceae,トクサ,GL_00049,SF_00063,#N/A,#N/A,確定,トクサ広義/狭義
ハマスギナ,ハマスギナ,,4,Equisetaceae,トクサ,GL_00056,SF_00071,#N/A,YL_00091,確定,
ハマトクサ,トクサ,狭義,4,Equisetaceae,トクサ,GL_00049,SF_00063,#N/A,#N/A,確定,トクサ狭義/ハマドクサ
ハマトクサ,ハマドクサ,,4,Equisetaceae,トクサ,#N/A,SF_00064,#N/A,YL_00082,確定,トクサ狭義/ハマドクサ
ハマドクサ,トクサ,狭義,4,Equisetaceae,トクサ,GL_00049,SF_00063,#N/A,#N/A,確定,トクサ狭義/ハマドクサ
ハマドクサ,ハマドクサ,,4,Equisetaceae,トクサ,#N/A,SF_00064,#N/A,YL_00082,確定,トクサ狭義/ハマドクサ
ヒメドクサ,ヒメドクサ,,4,Equisetaceae,トクサ,GL_00053,SF_00068,#N/A,YL_00088,確定,
フイリトクサ,トクサ,狭義,4,Equisetaceae,トクサ,GL_00049,SF_00063,#N/A,#N/A,確定,トクサ広義/フイリトクサ
フイリトクサ,フイリトクサ,,4,Equisetaceae,トクサ,#N/A,SF_00066,#N/A,#N/A,確定,トクサ広義/フイリトクサ
フォーリースギナ,フォーリースギナ,,4,Equisetaceae,トクサ,GL_00058,SF_00070,#N/A,YL_00093,確定,
フサスギナ,フサスギナ,,4,Equisetaceae,トクサ,GL_00054,SF_00061,#N/A,YL_00089,確定,
ミズスギナ,ミズドクサ,,4,Equisetaceae,トクサ,GL_00048,SF_00062,#N/A,YL_00080,確定,ミズドクサ/ミズスギナ
ミズドクサ,ミズドクサ,,4,Equisetaceae,トクサ,GL_00048,SF_00062,#N/A,YL_00080,確定,
ミモチスギナ,スギナ,,4,Equisetaceae,トクサ,GL_00047,SF_00057,#N/A,YL_00078,確定,
ヤチスギナ,ヤチスギナ,,4,Equisetaceae,トクサ,GL_00051,SF_00060,#N/A,YL_00084,確定,
ソウメングサ,ソウメングサ,,5,Psilotaceae,マツバラン,#N/A,#N/A,#N/A,YL_00094,確定,
マツバラン,マツバラン,,5,Psilotaceae,マツバラン,GL_00059,SF_00118,#N/A,YL_00095,確定,
アイイズハナワラビ,アイイズハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00077,SF_00113,#N/A,YL_00119,確定,
アイヅハナワラビ,アイヅハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00102,#N/A,#N/A,確定,
アイフユノハナワラビ,アイフユノハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00110,#N/A,#N/A,確定,
アイフユハナワラビ,アイフユハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,#N/A,#N/A,YL_00116,確定,
アオバハナワラビ,アオバハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00108,#N/A,#N/A,確定,
アカアイヅハナワラビ,アカアイヅハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00103,#N/A,#N/A,確定,
アカサガワハナワラビ,アカサガワハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00107,#N/A,#N/A,確定,
アカネハナワラビ,アカネハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00076,SF_00114,#N/A,YL_00118,確定,
アカハナワラビ,アカハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00069,SF_00092,#N/A,YL_00108,確定,
アカフユノハナワラビ,アカフユノハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00071,SF_00091,#N/A,YL_00113,確定,
アキノハナワラビ,ヒメハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00065,SF_00085,#N/A,YL_00104,確定,
アズサハナワラビ,ヤマハナワラビ,狭義,6,Ophioglossaceae,ハナヤスリ,GL_00067,SF_00101,#N/A,#N/A,確定,
アリサンハナワラビ,アリサンハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,#N/A,#N/A,YL_00103,確定,
アンコハナワラビ,アンコハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00078,SF_00115,#N/A,YL_00120,確定,
イオウジマハナヤスリ,イオウジマハナヤスリ,,6,Ophioglossaceae,ハナヤスリ,GL_00083,SF_00079,#N/A,YL_00127,確定,
イブリハナワラビ,イブリハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00066,SF_00096,#N/A,YL_00105,確定,
イブリモドキハナワラビ,イブリモドキハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00098,#N/A,#N/A,確定,
ウスイハナワラビ,アカハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00069,SF_00092,#N/A,YL_00108,確定,アカハナワラビ/ウスイハナワラビ
ウスイハナワラビ,ウスイハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00095,#N/A,YL_00109,確定,アカハナワラビ/ウスイハナワラビ
ウスバハナワラビ,シマオオハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,#N/A,#N/A,YL_00098,確定,
エゾノハナヤスリ,ヒロハハナヤスリ,,6,Ophioglossaceae,ハナヤスリ,GL_00088,SF_00074,#N/A,YL_00133,確定,
エゾフユノハナワラビ,エゾフユノハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00068,SF_00105,#N/A,YL_00107,確定,
オオハナヤスリ,ヒロハハナヤスリ,,6,Ophioglossaceae,ハナヤスリ,GL_00088,SF_00074,#N/A,YL_00133,確定,
オオハナワラビ,オオハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00063,SF_00109,#N/A,YL_00100,確定,
カラフトハナワラビ,ミヤマハナワラビ,,6,Ophioglossaceae,ハナヤスリ,GL_00064,SF_00087,#N/A,YL_00101,確定,
コケハナワラビ,コケハナワラビ,,6,Ophioglossaceae,ハナヤスリ,#N/A,SF_00086,#N/A,YL_00110,確定,
