学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Leucodon microcarpus Broth. ex Iisiba,イタチゴケ,タカネイタチゴケ,synonym,イタチゴケ科,Leucodontaceae,,イタチゴケ科,イタチゴケ科,62,イタチゴケ科,Leucodontaceae,38,,Leucodon microcarpus,2014.01.15,44857,1929,LEUCODONTACEAE,HYPNALES,ハイゴケ目,28610280,イタチゴケ科,Leucodontaceae
Leucodon pyriformis Müll.Hal. ex Iisiba,イタチゴケ,タカネイタチゴケ,synonym,イタチゴケ科,Leucodontaceae,,イタチゴケ科,イタチゴケ科,62,イタチゴケ科,Leucodontaceae,38,,Leucodon pyriformis,2014.01.15,44858,1929,LEUCODONTACEAE,HYPNALES,ハイゴケ目,28610280,イタチゴケ科,Leucodontaceae
Lopidium trichocladon (Bosch et Sande Lac.) M.Fleisch.,ナゼゴケ,ゲイビナゼゴケ,synonym,アブラゴケ科,Hookeriaceae,,クジャクゴケ科,クジャクゴケ科,81,クジャクゴケ科,Hypopterygiaceae,48,,Lopidium trichocladon,2016.12.18,44859,1908,HOOKERIACEAE,HOOKERIALES,アブラゴケ目,28609050,アブラゴケ科,Hookeriaceae
Festuca ovina L.  var. sulcifera Ohwi,シンウシノケグサ,ミゾウシノケグサ (Ohwi 1941),synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Festuca ovina var. sulcifera,2014.01.16,44860,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Festuca blepharogyna (Ohwi) Ohwi,ミヤマソモソモ, ホクセンソモソモ,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Festuca blepharogyna,2014.01.16,44861,1935,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Festuca rubra L.  var. niitakensis Ohwi,ニイタカオオウシノケグサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Festuca rubra var. niitakensis,2014.01.20,44862,1936,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Festuca ovina L.  var. koreanoalpina Ohwi,クロウシノケグサ,,異分類,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Festuca ovina var. koreanoalpina,2014.01.16,44863,1941,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Festuca takedana Ohwi  subsp. blepharogyna (Ohwi) T.Koyama,ミヤマソモソモ, ホクセンソモソモ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Festuca takedana subsp. blepharogyna,2014.01.16,44864,0,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Peracarpa carnosa (Wall.) Hook.f. et Thomson  var. kiusiana H.Hara,ツクシタニギキョウ,エダウチタニギキョウ (Hara 1947),synonym,キキョウ科,Campanulaceae,787972030,キキョウ科,キキョウ科,652,キキョウ科,Campanulaceae,586,,Peracarpa carnosa var. kiusiana,2014.01.17,44865,1947,CAMPANULACEAE,ASTERALES,キク目,787972030,キキョウ科,Campanulaceae
Ischaemum anthephoroides (Steud.) Miq.  f. coreanum (Nakai ex Honda) Y.N.Lee,ノゲナシケカモノハシ(temp.),,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Ischaemum anthephoroides f. coreanum,2017.02.20,44866,1966,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Miscanthus longiberbis (Hack.) Nakai,ヒゲナガカリヤスモドキ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Miscanthus longiberbis,2014.01.18,44867,1917,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Miscanthus oligostachyus Stapf  var. longiberbis (Hack.) I.Chung,ヒゲナガカリヤスモドキ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Miscanthus oligostachyus var. longiberbis,2014.01.17,44868,1965,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Miscanthus sinensis Andersson  f. crassirameus Ohwi,ススキ,ハントウススキ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Miscanthus sinensis f. crassirameus,2020.06.14,44869,1942,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Miscanthus sinensis Andersson  var. nakaianus (Honda) Y.N.Lee,ススキ,ハントウススキ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Miscanthus sinensis var. nakaianus,2020.06.14,44870,1964,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Miscanthus sinensis  Andersson  var. sunanensis Y.N.Lee,オギススキ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Miscanthus sinensis var. sunanensis,2014.01.18,44871,1964,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
