学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Justicia procumbens L.  var. leucantha Honda  f. japonica (Thunb.) H.Hara,キツネノマゴ,,狭義,キツネノマゴ科,Acanthaceae,787963170,キツネノマゴ科,キツネノマゴ科,645,キツネノマゴ科,Acanthaceae,572,,Justicia procumbens var. leucantha f. japonica,2012.05.11,1953,1949,ACANTHACEAE,LAMIALES,シソ目,787963170,キツネノマゴ科,Acanthaceae
Salix vulpina Andersson  subsp. vulpina,キツネヤナギ,ミヤマキツネヤナギ,標準,ヤナギ科,Salicaceae,787559291,ヤナギ科,ヤナギ科,433,ヤナギ科,Salicaceae,307,,Salix vulpina,2021.02.01,1954,1858,SALICACEAE,MALPIGHIALES,キントラノオ目,787563290,ヤナギ科,Salicaceae
Impatiens noli-tangere L.,キツリフネ,ホラガイソウ,標準,ツリフネソウ科,Balsaminaceae,787921010,ツリフネソウ科,ツリフネソウ科,613,ツリフネソウ科,Balsaminaceae,453,,Impatiens noli-tangere,2020.01.28,1955,1753,BALSAMINACEAE,ERICALES,ツツジ目,787921010,ツリフネソウ科,Balsaminaceae
Salix nummularia Andersson  f. hebecarpa (Kimura) Kimura,キヌゲエゾマメヤナギ,ケエゾノマメヤナギ,標準,ヤナギ科,Salicaceae,787559291,ヤナギ科,ヤナギ科,433,ヤナギ科,Salicaceae,307,,Salix nummularia f. hebecarpa,2009.06.24,1958,1946,SALICACEAE,MALPIGHIALES,キントラノオ目,787563290,ヤナギ科,Salicaceae
Salix reinii Franch. et Sav. ex Seemen  f. eriocarpa (Kimura) Sugim.,キヌゲミヤマヤナギ,ケミヤマヤナギ，エゾミヤマヤナギ,標準,ヤナギ科,Salicaceae,787559291,ヤナギ科,ヤナギ科,433,ヤナギ科,Salicaceae,307,,Salix reinii f. eriocarpa,2021.02.01,1959,1967,SALICACEAE,MALPIGHIALES,キントラノオ目,787563290,ヤナギ科,Salicaceae
Galium kinuta Nakai et H.Hara,キヌタソウ,,標準,アカネ科,Rubiaceae,787951010,アカネ科,アカネ科,657,アカネ科,Rubiaceae,554,,Galium kinuta,2020.12.12,1960,1933,RUBIACEAE,GENTIANALES,リンドウ目,787951010,アカネ科,Rubiaceae
Zeuxine strateumatica (L.) Schltr.,キヌラン,ホソバラン,標準,ラン科,Orchidaceae,775001010,ラン科,ラン科,766,ラン科,Orchidaceae,654,,Zeuxine strateumatica,2020.01.12,1962,1911,ORCHIDACEAE,ASPARAGALES,キジカクシ目,775001010,ラン科,Orchidaceae
Megathyrsus maximus (Jacq.) B.K.Simon et S.W.L.Jacobs,ギネアキビ,ギニアキビ，ギニアグラス,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,帰,Megathyrsus maximus,2020.02.14,1963,2003,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Carex matsumurae Franch.,キノクニスゲ,"キシュウスゲ, クロシマスゲ",標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Carex matsumurae,2021.01.19,1965,1895,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Veronicastrum tagawae (Ohwi) T.Yamaz.,キノクニスズカケ,,標準,オオバコ科,Plantaginaceae,787963060,ゴマノハグサ科,ゴマノハグサ科,640,ゴマノハグサ科,Scrophulariaceae,568,,Veronicastrum tagawae,2017.12.07,1966,1957,PLANTAGINACEAE,LAMIALES,シソ目,787963060,オオバコ科,Plantaginaceae
Lespedeza buergeri Miq.,キハギ,,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,,Lespedeza buergeri,2021.01.31,1967,1867,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Phellodendron amurense Rupr.  var. amurense,キハダ,"ヒロハノキハダ，エゾキハダ，アムールキハダ, ミヤマキハダ",標準,ミカン科,Rutaceae,787563190,ミカン科,"ミカン科
",607,ミカン科,Rutaceae,432,,Phellodendron amurense var. amurense,2021.02.03,1968,1857,RUTACEAE,SAPINDALES,ムクロジ目,787576070,ミカン科,Rutaceae
Salvia nipponica Miq.,キバナアキギリ,コトジソウ,標準,シソ科,Lamiaceae,787963120,シソ科,シソ科,633,シソ科,Labiatae,563,,Salvia nipponica,2018.08.01,1969,1865,LAMIACEAE,LAMIALES,シソ目,787963120,シソ科,Lamiaceae
Weigela maximowiczii (S.Moore) Rehder,キバナウツギ,,標準,スイカズラ科,Caprifoliaceae,787981021,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Weigela maximowiczii,2018.08.20,1970,1939,CAPRIFOLIACEAE,DIPSACALES,マツムシソウ目,787981021,スイカズラ科,Caprifoliaceae
Spilanthes acumella L.  var. oleracea (L.) C.B.Clarke,キバナオランダセンニチ,,synonym,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,帰,Spilanthes acumella var. oleracea,2009.06.24,1971,1876,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
Cosmos sulphureus Cav.,キバナコスモス,,標準,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,帰,Cosmos sulphureus,2018.08.20,1974,1791,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
Rhododendron aureum Georgi,キバナシャクナゲ,,標準,ツツジ科,Ericaceae,787921240,ツツジ科,ツツジ科,446,ツツジ科,Ericaceae,532,,Rhododendron aureum,2015.08.14,1975,1775,ERICACEAE,ERICALES,ツツジ目,787921240,ツツジ科,Ericaceae
Disporum lutescens (Maxim.) Koidz.,キバナチゴユリ,,標準,イヌサフラン科,Colchicaceae,774001040,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Disporum lutescens,2016.05.10,1976,1919,COLCHICACEAE,LILIALES,ユリ目,774001060,イヌサフラン科,Colchicaceae
Gagea nakaiana Kitag.,キバナノアマナ,"キバナアマナ, コウライアマナ",標準,ユリ科,Liliaceae,774001110,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Gagea nakaiana,2016.05.09,1977,1939,LILIACEAE,LILIALES,ユリ目,774001100,ユリ科,Liliaceae
Tricyrtis perfoliata Masam.,キバナノツキヌキホトトギス,,標準,ユリ科,Liliaceae,774001110,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Tricyrtis perfoliata,2016.05.10,1979,1935,LILIACEAE,LILIALES,ユリ目,774001100,ユリ科,Liliaceae
Lupinus luteus L.,キバナハウチワマメ,キバナルピナス，ノボリフジ,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,栽,Lupinus luteus,2020.03.02,1980,1753,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Lilium callosum Siebold et Zucc.  var. flaviflorum Makino,キバナノヒメユリ,キスゲユリ,標準,ユリ科,Liliaceae,774001110,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Lilium callosum var. flaviflorum,2016.05.09,1981,1913,LILIACEAE,LILIALES,ユリ目,774001100,ユリ科,Liliaceae
Tricyrtis flava Maxim.,キバナノホトトギス,ホソバノキバナホトトギス,標準,ユリ科,Liliaceae,774001110,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Tricyrtis flava,2017.03.29,1982,1867,LILIACEAE,LILIALES,ユリ目,774001100,ユリ科,Liliaceae
Linum medium (Planch.) Britton,キバナノマツバニンジン,キバナマツバナデシコ,標準,アマ科,Linaceae,787559170,アマ科,アマ科,596,アマ科,Linaceae,428,帰,Linum medium,2021.02.01,1983,1897,LINACEAE,MALPIGHIALES,キントラノオ目,787563330,アマ科,Linaceae
Aquilegia buergeriana Siebold et Zucc.  var. buergeriana  f. flavescens Makino,キバナノヤマオダマキ,,標準,キンポウゲ科,Ranunculaceae,781001070,キンポウゲ科,キンポウゲ科,330,キンポウゲ科,Ranunculaceae,361,,Aquilegia buergeriana var. buergeriana f. flavescens,2012.03.26,1984,1910,RANUNCULACEAE,RANUNCULALES,キンポウゲ目,781001070,キンポウゲ科,Ranunculaceae
Lathyrus pratensis L.,キバナノレンリソウ,,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,帰,Lathyrus pratensis,2021.01.31,1985,1753,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Sisymbrium luteum (Maxim.) O.E.Schulz,キバナハタザオ,キバナノハタザオ (Matsumura 1892)，ナタネダマシ (Nakai 1914),標準,アブラナ科,Brassicaceae,787562152,アブラナ科,アブラナ科,436,アブラナ科,Cruciferae,397,,Sisymbrium luteum,2021.02.09,1986,1919,BRASSICACEAE,BRASSICALES,アブラナ目,787578170,アブラナ科,Brassicaceae (Cruciferae)
Rhamnus yoshinoi Makino,キビノクロウメモドキ,アオクロウメモドキ (Makino 1908)，ツクシクロウメモドキ，ヤブクロウメモドキ,標準,クロウメモドキ科,Rhamnaceae,787553030,クロウメモドキ科,クロウメモドキ科,539,クロウメモドキ科,Rhamnaceae,469,,Rhamnus yoshinoi,2021.01.31,1989,1904,RHAMNACEAE,ROSALES,バラ目,787553030,クロウメモドキ科,Rhamnaceae
Caltha palustris L.  var. pygmaea Makino,コバノリュウキンカ,エチゼンリュウキンカ,標準,キンポウゲ科,Ranunculaceae,781001070,キンポウゲ科,キンポウゲ科,330,キンポウゲ科,Ranunculaceae,361,,Caltha palustris var. pygmaea,2011.12.31,1990,1902,RANUNCULACEAE,RANUNCULALES,キンポウゲ目,781001070,キンポウゲ科,Ranunculaceae
Chloranthus fortunei (A. Gray) Solms,キビヒトリシズカ,チョウセンヒトリシズカ,標準,センリョウ科,Chloranthaceae,750001010,センリョウ科,センリョウ科,319,センリョウ科,Chloranthaceae,370,,Chloranthus fortunei,2020.12.08,1991,1869,CHLORANTHACEAE,CHLORANTHALES,センリョウ目,750001010,センリョウ科,Chloranthaceae
Lilium leichtlinii Hook.f.  f. leichtlinii,キヒラドユリ,"キバナノコオニユリ, キヒラトユリ",標準,ユリ科,Liliaceae,774001110,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Lilium leichtlinii f. leichtlinii,2016.05.09,1992,1867,LILIACEAE,LILIALES,ユリ目,774001100,ユリ科,Liliaceae
Stachyurus praecox Siebold et Zucc.,キブシ,"キフジ，エノシマキブシ, ナンバンキブシ, ハチジョウキブシ, マルバキブシ",標準,キブシ科,Stachyuraceae,787521020,キブシ科,キブシ科,416,キブシ科,Stachyuraceae,487,,Stachyurus praecox,2021.02.02,1993,1836,STACHYURACEAE,CROSSOSOMATALES,ミツバウツギ目,787573060,キブシ科,Stachyuraceae
Rumex nepalensis Spreng.  subsp. andreaeanus (Makino) Yonek.,キブネダイオウ,,標準,タデ科,Polygonaceae,787801050,タデ科,タデ科,377,タデ科,Polygonaceae,325,,Rumex nepalensis subsp. andreaeanus,2021.02.09,1994,2006,POLYGONACEAE,CARYOPHYLLALES,ナデシコ目,787801050,タデ科,Polygonaceae
Dryopteris kinkiensis Koidz. ex Tagawa,ギフベニシダ,ベニシダモドキ,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris kinkiensis,2015.08.24,1995,1933,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Pellionia scabra Benth.,キミズ,,標準,イラクサ科,Urticaceae,787553090,イラクサ科,イラクサ科,355,イラクサ科,Urticaceae,314,,Pellionia scabra,2021.01.31,1996,1861,URTICACEAE,ROSALES,バラ目,787553090,イラクサ科,Urticaceae
Ardisia crispa (Thunb.) A.DC.  f. xanthocarpa (Nakai) H.Ohashi,キミタチバナ,,標準,サクラソウ科,Primulaceae,787921120,ヤブコウジ科,ヤブコウジ科,456,ヤブコウジ科,Myrsinaceae,536,,Ardisia crispa f. xanthocarpa,2015.04.20,1998,1988,PRIMULACEAE,ERICALES,ツツジ目,787921120,サクラソウ科,Primulaceae
Celastrus orbiculatus Thunb.  var. orbiculatus  f. aureoarillatus (Honda) Ohwi,キミツルウメモドキ,キミノツルウメモドキ,標準,ニシキギ科,Celastraceae,787556040,ニシキギ科,ニシキギ科,524,ニシキギ科,Celastraceae,461,,Celastrus orbiculatus var. orbiculatus f. aureoarillatus,2020.03.24,1999,1953,CELASTRACEAE,CELASTRALES,ニシキギ目,787561022,ニシキギ科,Celastraceae
Ilex serrata Thunb.  f. xanthocarpa (Rehder) Rehder,キミノウメモドキ,,標準,モチノキ科,Aquifoliaceae,787971050,モチノキ科,モチノキ科,529,モチノキ科,Aquifoliaceae,457,栽,Ilex serrata f. xanthocarpa,2012.03.26,2000,1916,AQUIFOLIACEAE,AQUIFOLIALES,モチノキ目,787971050,モチノキ科,Aquifoliaceae
Sambucus racemosa L.  subsp. kamtschatica (E.Wolf) Hultén  f. aureocarpa (H.Hara) H.Hara,キミノエゾニワトコ,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Sambucus racemosa subsp. kamtschatica f. aureocarpa,2019.11.16,2002,1983,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Viburnum phlebotrichum Siebold et Zucc.  f. xanthocarpum Hayashi,キミノオトコヨウゾメ,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Viburnum phlebotrichum f. xanthocarpum,2020.04.02,2003,1964,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Viburnum dilatatum Thunb.  f. xanthocarpum Rehder,キミノガマズミ,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Viburnum dilatatum f. xanthocarpum,2019.11.16,2004,1922,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Viburnum opulus L.  var. sargentii (Koehne) Takeda  f. flavum (Rehder) H.Hara,キミノカンボク,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Viburnum opulus var. sargentii f. flavum,2019.11.16,2005,1983,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Viburnum erosum Thunb.  f. xanthocarpum (Sugim.) H.Hara,キミノコバノガマズミ,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Viburnum erosum f. xanthocarpum,2019.11.16,2006,1952,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Passiflora laurifolia L.,キミノトケイソウ,"ミズレモン, キミトケイソウ",標準,トケイソウ科,Passifloraceae,787559303,トケイソウ科,トケイソウ科,424,トケイソウ科,Passifloraceae,491,栽,Passiflora laurifolia,2019.12.28,2008,1753,PASSIFLORACEAE,MALPIGHIALES,キントラノオ目,787563270,トケイソウ科,Passifloraceae
Sambucus racemosa L.  subsp. sieboldiana (Miq.) H.Hara  f. nakaiana Murata,キミノニワトコ,,標準,ガマズミ科,Viburnaceae,787981010,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Sambucus racemosa subsp. sieboldiana f. nakaiana,2019.11.16,2009,1981,VIBURNACEAE,DIPSACALES,マツムシソウ目,787981010,ガマズミ科,Viburnaceae
Psidium cattleyanum Sabine  f. lucidum O.Deg.,キミノバンジロウ,キバンザクロ,標準,フトモモ科,Myrtaceae,787541050,フトモモ科,フトモモ科,499,フトモモ科,Myrtaceae,508,栽,Psidium cattleyanum f. lucidum,2019.12.28,2010,1939,MYRTACEAE,MYRTALES,フトモモ目,787572050,フトモモ科,Myrtaceae
Lonicera morrowii A.Gray  f. xanthocarpa (Nash) H.Hara,キミノヒョウタンボク,キミノキンギンボク,標準,スイカズラ科,Caprifoliaceae,787981021,スイカズラ科,スイカズラ科,659,スイカズラ科,Caprifoliaceae,582,,Lonicera morrowii f. xanthocarpa,2009.06.24,2011,1952,CAPRIFOLIACEAE,DIPSACALES,マツムシソウ目,787981021,スイカズラ科,Caprifoliaceae
Solanum lyratum Thunb.  f. xanthocarpum (Makino) H.Hara,キミノヒヨドリジョウゴ,,標準,ナス科,Solanaceae,787962020,ナス科,ナス科,623,ナス科,Solanaceae,565,,Solanum lyratum f. xanthocarpum,2020.11.06,2012,1949,SOLANACEAE,SOLANALES,ナス目,787962020,ナス科,Solanaceae
Ardisia crenata Sims  f. xanthocarpa (Nakai) H.Ohashi,キミノマンリョウ,,標準,サクラソウ科,Primulaceae,787921120,ヤブコウジ科,ヤブコウジ科,456,ヤブコウジ科,Myrsinaceae,536,,Ardisia crenata f. xanthocarpa,2015.04.20,2013,1988,PRIMULACEAE,ERICALES,ツツジ目,787921120,サクラソウ科,Primulaceae
Solanum japonense Nakai  f. xanthocarpum H.Hara,キミノヤマホロシ,,標準,ナス科,Solanaceae,787962020,ナス科,ナス科,623,ナス科,Solanaceae,565,,Solanum japonense f. xanthocarpum,2017.05.03,2016,1949,SOLANACEAE,SOLANALES,ナス目,787962020,ナス科,Solanaceae
Pourthiaea villosa (Thunb.) Decne.  var. villosa  f. aurantiaca T.Yamanaka,キミノカマツカ,キミノワタゲカマツカ,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Pourthiaea villosa var. villosa f. aurantiaca,2018.08.11,2017,1966,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Brassica oleracea L.  var. capitata L.,キャベツ,タマナ,標準,アブラナ科,Brassicaceae,787562152,アブラナ科,アブラナ科Brassica oleracea L.  var. capitata L.,,アブラナ科,Cruciferae,397,栽,Brassica oleracea var. capitata,2021.02.04,2018,1753,BRASSICACEAE,BRASSICALES,アブラナ目,787578170,アブラナ科,Brassicaceae (Cruciferae)
Taxus cuspidata Siebold et Zucc.  var. nana Hort. ex Rehder,キャラボク,,標準,イチイ科,Taxaceae,630001061,イチイ科,イチイ科,260,イチイ科,Taxaceae,259,,Taxus cuspidata var. nana,2015.12.21,2019,1902,TAXACEAE,PINALES,マツ目,630001060,イチイ科,Taxaceae
Begonia x tuberhybrida Voss.,キュウコンベゴニア,ハナベゴニア,標準,シュウカイドウ科,Begoniaceae,787554070,シュウカイドウ科,シュウカイドウ科,431,シュウカイドウ科,Begoniaceae,503,栽,Begonia tuberhybrida,2009.06.24,2020,1917,BEGONIACEAE,CUCURBITALES,ウリ目,787555080,シュウカイドウ科,Begoniaceae
Polystichum grandifrons C.Chr.,キュウシュウイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum grandifrons,2019.12.31,2021,1934,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Cucumis sativus L.,キュウリ,,標準,ウリ科,Cucurbitaceae,787554040,ウリ科,ウリ科,429,ウリ科,Cucurbitaceae,504,栽,Cucumis sativus,2020.09.26,2022,1753,CUCURBITACEAE,CUCURBITALES,ウリ目,787555050,ウリ科,Cucurbitaceae
Trigonotis peduncularis (Trevir.) F.B.Forbes et Hemsl.,キュウリグサ,タビラコ,標準,ムラサキ科,Boraginaceae,787961010,ムラサキ科,ムラサキ科,631,ムラサキ科,Boraginaceae,559,,Trigonotis peduncularis,2019.12.31,2023,1890,BORAGINACEAE,BORAGINALES,ムラサキ目,787961010,ムラサキ科,Boraginaceae
Cynodon dactylon (L.) Pers.  var. dactylon,ギョウギシバ,バミューダグラス,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Cynodon dactylon var. dactylon,2021.01.26,2024,1805,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Allium victorialis L.  subsp. platyphyllum Hultén,ギョウジャニンニク,ギョウジャノニンニク，アイヌネギ，茖葱,標準,ヒガンバナ科,Amaryllidaceae,775001130,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Allium victorialis subsp. platyphyllum,2016.05.10,2025,1927,AMARYLLIDACEAE,ASPARAGALES,キジカクシ目,775001130,ヒガンバナ科,Amaryllidaceae
Nerium oleander L.  var. indicum (Mill.) O.Deg. et Greenwell,キョウチクトウ,,標準,キョウチクトウ科,Apocynaceae,787951030,キョウチクトウ科,キョウチクトウ科,619,キョウチクトウ科,Apocynaceae,552,栽,Nerium oleander var. indicum,2015.05.29,2027,1952,APOCYNACEAE,GENTIANALES,リンドウ目,787951050,キョウチクトウ科,Apocynaceae
Tarenna gracilipes (Hayata) Ohwi,ホソバギョクシンカ,,標準,アカネ科,Rubiaceae,787951010,アカネ科,アカネ科,657,アカネ科,Rubiaceae,554,外,Tarenna gracilipes,2020.12.03,2029,1934,RUBIACEAE,GENTIANALES,リンドウ目,787951010,アカネ科,Rubiaceae
Hydrangea involucrata Siebold  f. hortensis (Maxim.) Ohwi,ギョクダンカ,ヤエノギョクダンカ,標準,アジサイ科,Hydrangeaceae,787911030,アジサイ科,アジサイ科,467,ユキノシタ科,Saxifragaceae,407,栽,Hydrangea involucrata f. hortensis,2017.12.10,2030,1953,HYDRANGEACEAE,CORNALES,ミズキ目,787911030,アジサイ科,Hydrangeaceae
Alnus albobetula (Ehrh.) K.Koch  subsp. crispa (Aiton) Raus,キョクホクミヤマハンノキ,キョクチミヤマハンノキ (Murai 1964),標準,カバノキ科,Betulaceae,787555070,カバノキ科,カバノキ科,363,カバノキ科,Betulaceae,308,外,Alnus alnobetula subsp. crispa,2016.08.21,2031,2011,BETULACEAE,FAGALES,ブナ目,787554070,カバノキ科,Betulaceae
Saxifraga bracteata D.Don,キヨシソウ,,標準,ユキノシタ科,Saxifragaceae,787401090,ユキノシタ科,ユキノシタ科,476,ユキノシタ科,Saxifragaceae,407,,Saxifraga bracteata,2020.02.07,2032,1822,SAXIFRAGACEAE,SAXIFRAGALES,ユキノシタ目,787401090,ユキノシタ科,Saxifragaceae
Polystichum x kiyozumianum Sa.Kurata,キヨズミイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum kiyozumianum,2009.06.24,2033,1961,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Ligustrum tschonoskii Decne.  var. kiyozumianum (Nakai) Ohwi,キヨズミイボタ,キヨスミイボタ,標準,モクセイ科,Oleaceae,787963020,モクセイ科,モクセイ科,639,モクセイ科,Oleaceae,546,,Ligustrum tschonoskii var. kiyozumianum,2012.03.26,2034,1953,OLEACEAE,LAMIALES,シソ目,787963020,モクセイ科,Oleaceae
Dryopteris namegatae (Sa.Kurata) Sa.Kurata,キヨズミオオクジャク,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris namegatae,2014.04.15,2035,1969,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Polystichum lepidocaulon (Hook.) J.Sm.  f. appendiculatum (Nakai) Sugim.,キヨズミオリヅルシダ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum lepidocaulon f. appendiculatum,2009.06.24,2036,1966,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Hosta kiyosumiensis F.Maek.,キヨスミギボウシ,ケヤリギボウシ、ハヤザキギボウシ、イワマギボウシ，ベンケイギボウシ,標準,クサスギカズラ科,Asparagaceae,775001140,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Hosta kiyosumiensis,2019.12.10,2037,1935,ASPARAGACEAE,ASPARAGALES,キジカクシ目,775001140,クサスギカズラ科,Asparagaceae
Rhododendron kiyosumense (Makino) Makino,キヨスミミツバツツジ,,標準,ツツジ科,Ericaceae,787921240,ツツジ科,ツツジ科,446,ツツジ科,Ericaceae,532,,Rhododendron kiyosumense,2017.06.23,2040,1931,ERICACEAE,ERICALES,ツツジ目,787921240,ツツジ科,Ericaceae
Crateva formosensis (Jacobs) B.S.Sun,ギョボク,アマギ,標準,フウチョウボク科,Capparaceae,787562150,フウチョウソウ科,フウチョウソウ科,435,フウチョウソウ科,Capparaceae,396,,Crateva formosensis,2018.03.20,2042,1999,CAPPARACEAE,BRASSICALES,アブラナ目,787578150,フウチョウボク科,Capparaceae
Ficus variegata Blume,ギランイヌビワ,コニシイヌビワ,標準,クワ科,Moraceae,787553080,クワ科,クワ科,353,クワ科,Moraceae,313,,Ficus variegata,2021.01.31,2043,1825,MORACEAE,ROSALES,バラ目,787553080,クワ科,Moraceae
Ajuga decumbens Thunb.,キランソウ,ジゴクノカマノフタ,標準,シソ科,Lamiaceae,787963120,シソ科,シソ科,633,シソ科,Labiatae,563,,Ajuga decumbens,2020.12.08,2044,1784,LAMIACEAE,LAMIALES,シソ目,787963120,シソ科,Lamiaceae
Ajuga x bastarda Makino,キランニシキゴロモ,,標準,シソ科,Lamiaceae,787963120,シソ科,シソ科,633,シソ科,Labiatae,563,,Ajuga bastarda,2017.05.03,2045,1912,LAMIACEAE,LAMIALES,シソ目,787963120,シソ科,Lamiaceae
Paulownia tomentosa (Thunb.) Steud.,キリ,,標準,キリ科,Paulowniaceae,787963140,ゴマノハグサ科,ゴマノハグサ科,640,ゴマノハグサ科,Scrophulariaceae,568,帰,Paulownia tomentosa,2018.08.09,2046,1841,PAULOWNIACEAE,LAMIALES,シソ目,787963140,キリ科,Paulowniaceae
Trema cannabina Lour.,キリエノキ,コバフンギ,標準,アサ科,Cannabaceae,787553070,ニレ科,ニレ科,351,ニレ科,Ulmaceae,311,,Trema cannabina,2021.01.31,2047,1790,CANNABACEAE,ROSALES,バラ目,787553070,アサ科,Cannabaceae
Iris setosa Pall. ex Link  var. hondoensis Honda,キリガミネヒオウギアヤメ,,標準,アヤメ科,Iridaceae,775001100,アヤメ科,アヤメ科,753,アヤメ科,Iridaceae,624,,Iris setosa var. hondoensis,2016.05.18,2048,1937,IRIDACEAE,ASPARAGALES,キジカクシ目,775001100,アヤメ科,Iridaceae
Dryopteris hangchowensis Ching,キリシマイワヘゴ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris hangchowensis,2014.04.15,2050,1938,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Sasa takizawana Makino et Uchida  subsp. nakashimana (Koidz.) Sad.Suzuki,キリシマザサ,キリシマスズ,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Sasa takizawana subsp. nakashimana,2019.02.15,2052,1977,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Burmannia nepalensis (Miers) Hook.f.,キリシマシャクジョウ,,標準,ヒナノシャクジョウ科,Burmanniaceae,773001040,ヒナノシャクジョウ科,ヒナノシャクジョウ科,764,ヒナノシャクジョウ科,Burmanniaceae,626,,Burmannia nepalensis,2018.07.07,2053,1888,BURMANNIACEAE,DIOSCOREALES,ヤマノイモ目,773001020,ヒナノシャクジョウ科,Burmanniaceae
