type,record_id,plant_name,from,to
family_align_ylist,hostplant-909853,タマアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-909856,オオムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909859,タマアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-909862,オオムラサキシキブ,クマツヅラ科,シソ科
name_paren_canonicalize,hostplant-909868,ヨウサイ（エンサイ・空心菜）,ヨウサイ（エンサイ・空心菜）,ヨウサイ
family_align_ylist,hostplant-909875,ムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909878,ハクサンボク,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909880,ハクサンボク,スイカズラ科,ガマズミ科
name_paren_canonicalize,hostplant-909882,セイヨウベニカナメモチ（レッドロビン）,セイヨウベニカナメモチ（レッドロビン）,セイヨウベニカナメモチ
name_paren_canonicalize,hostplant-909883,カマツカ（ウシコロシ）,カマツカ（ウシコロシ）,カマツカ
family_align_ylist,hostplant-909889,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-909914,トウカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-909915,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-909925,ガマズミ,スイカズラ科,ガマズミ科
name_paren_canonicalize,hostplant-909934,ツルマメ（ダイズ）,ツルマメ（ダイズ）,ツルマメ
name_paren_canonicalize,hostplant-909952,キイチゴ類（ナワシロイチゴ）,キイチゴ類（ナワシロイチゴ）,キイチゴ類
family_align_ylist,hostplant-911130,マメガキ,ウリ科,カキノキ科
family_align_ylist,hostplant-911132,マメガキ,ウリ科,カキノキ科
family_align_ylist,hostplant-911138,マメガキ,ウリ科,カキノキ科
family_align_ylist,hostplant-911432,マメガキ,ウリ科,カキノキ科
family_align_ylist,hostplant-911478,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-911514,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-911534,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911550,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911566,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911582,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911598,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911614,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911629,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911642,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911781,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911848,オオカメノキ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-911876,オオムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911877,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911879,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-911890,オオムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911891,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911893,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-911904,オオムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911905,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-911907,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-911925,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-911934,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-911943,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912019,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912047,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912057,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912067,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912081,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912095,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912109,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912131,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912132,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912146,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912147,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912161,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912162,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912183,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912203,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912223,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912276,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912285,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912294,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912303,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912312,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912321,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912330,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912339,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912348,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-912425,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912435,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912500,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912531,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912542,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912555,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912563,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-912577,クサソテツ,ウラボシ科,コウヤワラビ科
name_descriptive_strip,hostplant-912596,栽培バラ,栽培バラ,バラ
family_align_ylist,hostplant-912653,ハマヒサカキ,ツバキ科,モッコク科
family_align_ylist,hostplant-912777,ガクアジサイ,ユキノシタ科,アジサイ科
family_align_ylist,hostplant-912789,カキノキ,カキ科,カキノキ科
family_align_ylist,hostplant-912832,ヨモギ,，キク科,キク科
family_align_ylist,hostplant-912860,アカザ,アカザ科,ヒユ科
family_align_ylist,hostplant-912861,ミヤマガマズミ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912862,ガマズミ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-912889,ミヤコザサ,，イネ科,イネ科
family_align_ylist,hostplant-912890,チマキザサ,，イネ科,イネ科
family_align_ylist,hostplant-912891,スズタケ,，イネ科,イネ科
family_align_ylist,hostplant-912908,アカザ,アカザ科,ヒユ科
family_align_ylist,hostplant-912909,ハマアカザ,アカザ科,ヒユ科
family_align_ylist,hostplant-912946,ナス,，ナス科,ナス科
family_align_ylist,hostplant-912948,トマト,，ナス科,ナス科
family_align_ylist,hostplant-912969,カラコギカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-912970,ガンコウラン,ガンコウラン科,ツツジ科
family_align_ylist,hostplant-913083,カンボク,スイカズラ科,ガマズミ科
