和名,学名,成虫発生時期,成虫発生時期に関する備考
チャエダシャク,"Megabiston plumosaria (Leech, 1891)",,
アシズリエダシャク,"Megabiston ashizuriensis Sato & Kawakami, 2001",,
チャオビトビモンエダシャク,"Biston strataria (Hufnagel, 1767)",,
フタオレウスグロエダシャク,"Biston thoracicaria (Oberthür, 1884)",,
オオシモフリエダシャク,"Biston betularia (Linnaeus, 1758)",,
クロズエダシャク,"Biston marginata Shiraki, 1913",,
トビモンオオエダシャク,"Biston robustum Butler, 1879",,
タケウチエダシャク,"Biston takeuchii Matsumura, 1931",,
シロシモフリエダシャク,"Biston melacron Wehrli, 1941",,
ハイイロオオエダシャク,"Biston regalis (Moore, 1888)",,
キオビゴマダラエダシャク,"Biston panterinaria (Bremer & Grey, 1853)",,
ウスイロオオエダシャク,"Amraica superans (Butler, 1878)",,
アサヒナオオエダシャク,"Amraica asahinai (Inoue, 1964)",,
サキシマオオエダシャク,"Amraica kimurai Sato, 2003",,
アミメオオエダシャク,"Mesastrape fulguraria (Walker, 1860)",,
ニッコウエダシャク,"Lassaba nikkonis (Butler, 1881)",,
ウスズミエダシャク,"Lassaba fuliginosa (Inoue & Sato, 1986)",,
カバエダシャク,"Colotois pennaria (Linnaeus, 1761)",,
ハスオビエダシャク,"Descoreba simplex Butler, 1878",,
ニトベエダシャク,"Wilemania nitobei (Nitobe, 1907)",,
アトジロエダシャク,"Pachyligia dolosa Butler, 1878",,
キイロエダシャク,"Doratoptera virescens (Marumo, 1923)",,
ナンカイキイロエダシャク,"Doratoptera amabilis (Yazaki, 1988)",,
ヒロバトガリエダシャク,"Planociampa antipala Prout, 1930",,
ホソバトガリエダシャク,"Planociampa modesta (Butler, 1878)",,
スモモエダシャク,"Angerona prunaria (Linnaeus, 1758)",,
ゴマフキエダシャク,"Angerona nigrisparsa Butler, 1879",,
ツマトビキエダシャク,"Bizia aexaria Walker, 1860",,
ミヤタツマトビキエダシャク,"Bizia akiramiyatai Sato & Nozaki, 2015",,
オイワケキエダシャク,"Exangerona prattiaria (Leech, 1891)",,
ウスクモエダシャク,"Menophra senilis (Butler, 1878)",,
ハルタウスクモエダシャク,"Menophra harutai (Inoue, 1954)",,
エゾウスクモエダシャク,"Phthonandria emaria (Bremer, 1864)",,
クワエダシャク,"Phthonandria atrilineata (Butler, 1881)",,
ヒゲマダラエダシャク,"Cryptochorina amphidasyaria (Oberthür, 1880)",,
ギンスジエダシャク,"Chariaspilates formosaria (Eversmann, 1837)",,
フタスジギンエダシャク,"Megaspilates mundataria (Stoll, 1782)",,
ハスオビカバエダシャク,"Pseudaspilates obliquizona (Inoue, 1953)",,
クロモンキリバエダシャク,"Psyra bluethgeni (Püngeler, 1903)",,
ミスジキリバエダシャク,"Psyra boarmiata (Graeser, 1892)",,
サラサエダシャク,"Epholca arenosa (Butler, 1878)",,
シロモンクロエダシャク,"Proteostrenia leda (Butler, 1878)",,
モンキクロエダシャク,"Proteostrenia pica Wileman, 1911",,
ハスオビキエダシャク,"Scardamia aurantiacaria Bremer, 1864",,
ナンゴクハスオビキエダシャク,"Scardamia xylosmaria Sato, Fu & Kawakami, 2011",,
マエキトビエダシャク,"Nothomiza formosa (Butler, 1878)",,
オオマエキトビエダシャク,"Nothomiza oxygoniodes Wehrli, 1939",,
キリバエダシャク,"Ennomos nephotropa Prout, 1930",,
ヒメキリバエダシャク,"Ennomos infidelis (Prout, 1929)",,
フタモンキバネエダシャク,"Crocallis elinguaria (Linnaeus, 1758)",,
ヨスジキエダシャク,"Cotta incongruaria (Walker, 1860)",,
ウスグロノコバエダシャク,"Odontopera bidentata (Clerck, 1759)",,
エグリヅマエダシャク,"Odontopera arida (Butler, 1878)",,
キイロエグリヅマエダシャク,"Odontopera aurata (Prout, 1915)",,
オガサワラエグリヅマエダシャク,"Odontopera ogasawarensis Kimura & Sato, 2017",,
ヒメノコメエダシャク,"Acrodontis kotshubeji Sheljuzhko, 1944",,
タンチャメノコメエダシャク,"Acrodontis tanchame Kobayashi, 1995",,
マダラノコメエダシャク,"Acrodontis yazakii Kobayashi, 1995",,
モンシロツマキリエダシャク,"Xerodes albonotaria (Bremer, 1894)",,
ミスジツマキリエダシャク,"Xerodes rufescentaria (Motschulsky, 1861)",,
コガタツマキリエダシャク,"Xerodes sordidata (Inoue, 1987)",,
アカエダシャク,"Xerodes semilutata (Lederer, 1853)",,
ミカンコエダシャク,"Hyposidra talaca (Walker, 1860)",,
キマダラツマキリエダシャク,"Zanclidia testacea (Butler, 1881)",,
キイロミミモンエダシャク,"Eilicrinia parvula Wehrli, 1940",,
ミミモンエダシャク,"Eilicrinia wehrlii Djakonov, 1933",,
キエダシャク,"Auaxa sulphurea (Butler, 1878)",,
テンモンチビエダシャク,"Ocoelophora lentiginosaria (Leech, 1891)",,
ツマキリウスキエダシャク,"Pareclipsis gracilis (Butler, 1879)",,
ハガタムラサキエダシャク,"Selenia sordidaria Leech, 1897",,
ウスムラサキエダシャク,"Selenia adustaria Leech, 1891",,
ムラサキエダシャク,"Selenia tetralunaria (Hufnagel, 1767)",,
イチモジエダシャク,"Apeira syringaria (Linnaeus, 1758)",,
コガタイチモジエダシャク,"Agaraeus parva (Hedemann, 1881)",,
エグリイチモジエダシャク,"Agaraeus discolor (Warren, 1893)",,
ナシモンエダシャク,"Garaeus mirandus (Butler, 1881)",,
キバラエダシャク,"Garaeus specularis Moore, 1868",,
ウラモンアカマダラエダシャク,"Entomopteryx combusta (Warren, 1893)",,
トガリエダシャク,"Xyloscia subspersata (Felder & Rogenhofer, 1875)",,
ツマキリエダシャク,"Endropiodes abjecta (Butler, 1879)",,
モミジツマキリエダシャク,"Endropiodes indictinaria (Bremer, 1864)",,
ツツジツマキリエダシャク,"Endropiodes circumflexa Inoue, 1976",,
ナカキエダシャク,"Plagodis dolabraria (Linnaeus, 1767)",,
コナフキエダシャク,"Plagodis pulveraria (Linnaeus, 1758)",,
ベンチガーエダシャク,"Hypochrosis baenzigeri Inoue, 1982",,
リョクモンエダシャク,"Celenna festivaria (Fabricius, 1794)",,
フタテンエダシャク,"Seleniopsis evanescens (Butler, 1881)",,
ウラモンアカエダシャク,"Parepione grata (Butler, 1879)",,
フタマエホシエダシャク,"Achrosis paupera (Butler, 1881)",,
アトボシエダシャク,"Cepphis advenaria (Hübner, 1790)",,
ベニスジエダシャク,"Heterolocha stulta (Butler, 1879)",,
ヒメウラベニエダシャク,"Heterolocha laminaria (Herrich-Schäffer, 1852)",,
ウラベニエダシャク,"Heterolocha aristonaria (Walker, 1860)",,
アカネエダシャク,"Heterolocha coccinea Inoue, 1976",,
シダエダシャク,"Petrophora chlorosata (Scopoli, 1763)",,
ウラモントガリエダシャク,"Hypoxystis mandli Schawerda, 1924",,
アキヨシトガリエダシャク,"Hypoxystis pulcheraria (Herz, 1905)",,
ウスアカオビエダシャク,"Meteima mediorufa (Bastelberger, 1911)",,
ツマトビシロエダシャク,"Spilopera debilis (Butler, 1878)",,
ウコンエダシャク,"Corymica pryeri (Butler, 1878)",,
ヒメウコンエダシャク,"Corymica arnearia Walker, 1860",,
ヘリグロキエダシャク,"Corymica deducta (Walker, 1866)",,
フトスジツバメエダシャク,"Ourapteryx japonica Inoue, 1993",,
ウスキツバメエダシャク,"Ourapteryx nivea Butler, 1883",,
コガタツバメエダシャク,"Ourapteryx obtusicauda (Warren, 1894)",,
ヒメツバメエダシャク,"Ourapteryx subpunctaria Leech, 1891",,
シロツバメエダシャク,"Ourapteryx maculicaudaria (Motschulsky, 1866)",,
トラフツバメエダシャク,"Tristrophis veneris (Butler, 1878)",,
クジュウフユシャク,"Inurois kyushuensis Inoue, 1974",,
ハスオビトガリシャク,"Sarcinodes mongaku Marumo, 1920",,
ムラサキトガリシャク,"Sarcinodes yaeyamana Inoue, 1976",,
ハニンスホソシャク,"Derambila dentifera (Moore, 1888)",,
エグリトガリシャク,"Ozola japonica Prout, 1910",,
オキナワトガリシャク,"Ozola defectata Inoue, 1971",,
ホシシャク,"Naxa seriaria (Motschulsky, 1866)",,
オオシロアヤシャク,"Pingasa alba Swinhoe, 1891",,
コアヤシャク,"Pingasa pseudoterpnaria (Guenée, 1858)",,
タイワンアヤシャク,"Pingasa ruginaria (Guenée, 1858)",,
ウスアオアヤシャク,"Pingasa aigneri Prout, 1930",,
アカオビアヤシャク,"Herochroma cristata (Warren, 1894)",,
オオアヤシャク,"Pachista superans (Butler, 1878)",,
ウスアオシャク,"Dindica virescens (Butler, 1878)",,
チズモンアオシャク,"Agathia carissima Butler, 1878",,
アシブトチズモンアオシャク,"Agathia visenda Butler, 1880",,
マダラチズモンアオシャク,"Agathia lycaenaria (Kollar, 1844)",,
ヤエヤマチズモンアオシャク,"Agathia laetata (Fabricius, 1794)",,
オガサワラチズモンアオシャク,"Agathia ichnospora Prout, 1934",,
カビラアオシャク,"Ornithospila bipunctata Prout, 1916",,
アトヘリアオシャク,"Aracima muscosa Butler, 1878",,
ノコバアオシャク,"Timandromorpha enervata Inoue, 1944",,
ヒメカギバアオシャク,"Mixochlora vittata (Moore, 1868)",,
カギバアオシャク,"Tanaorhinus reciprocata (Walker, 1861)",,
オオシロオビアオシャク,"Geometra papilionaria (Linnaeus, 1758)",,
シロオビアオシャク,"Geometra sponsaria (Bremer, 1864)",,
マエモンシロスジアオシャク,"Geometra ussuriensis (Sauber, 1915)",,
カギシロスジアオシャク,"Geometra dieckmanni Graeser, 1889",,
クロスジアオシャク,"Geometra valida Felder & Rogenhofer, 1875)",,
コシロオビアオシャク,"Geometra glaucaria Ménétriès, 1859",,
キマエアオシャク,"Neohipparchus vallata (Butler, 1878)",,
ヒメシロフアオシャク,"Eucyclodes infracta (Wileman, 1911)",,
シロフアオシャク,"Eucyclodes difficta (Walker, 1861)",,
クスアオシャク,"Pelagodes subquadraria (Inoue, 1976)",,
オオサザナミシロアオシャク,"Pelagodes antiquadraria (Inoue, 1976)",,
