row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
12686,hostplant-B1B6-0525,species-3749,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12687,hostplant-B1B6-0526,species-3749,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12688,hostplant-B1B6-0527,species-3749,アベマキ,ブナ科,アベマキ,Quercus variabilis,public/assets/data-lite/ylist-lite.json
12689,hostplant-B1B6-0528,species-3750,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12690,hostplant-B1B6-0529,species-3750,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12691,hostplant-B1B6-0530,species-3750,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12692,hostplant-B1B6-0531,species-3750,アベマキ,ブナ科,アベマキ,Quercus variabilis,public/assets/data-lite/ylist-lite.json
12693,hostplant-B1B6-0532,species-3750,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12695,hostplant-B1B6-0535,species-3752,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12696,hostplant-B1B6-0536,species-3752,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12697,hostplant-B1B6-0537,species-3752,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12698,hostplant-B1B6-0538,species-3752,アベマキ,ブナ科,アベマキ,Quercus variabilis,public/assets/data-lite/ylist-lite.json
12699,hostplant-B1B6-0539,species-3752,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12734,hostplant-B1B6-0583,species-3767,ダケカンバ,カバノキ科,ダケカンバ,Betula ermanii,public/assets/data-lite/ylist-lite.json
12735,hostplant-B1B6-0584,species-3767,ヤマハンノキ,カバノキ科,ヤマハンノキ,Alnus hirsuta var. sibirica,public/assets/data-lite/ylist-lite.json
12747,hostplant-B1B6-0598,species-3770,ウラジロタデ,タデ科,ウラジロタデ,Aconogonon weyrichii,public/assets/data-lite/ylist-lite.json
12748,hostplant-B1B6-0599,species-3770,シダレヤナギ,ヤナギ科,シダレヤナギ,Salix babylonica var. babylonica,public/assets/data-lite/ylist-lite.json
12754,hostplant-B1B6-0605,species-3773,ツルウメモドキ,ニシキギ科,ツルウメモドキ,Celastrus orbiculatus var. orbiculatus,public/assets/data-lite/ylist-lite.json
12755,hostplant-B1B6-0606,species-3773,マサキ,ニシキギ科,マサキ,Euonymus japonicus,public/assets/data-lite/ylist-lite.json
12756,hostplant-B1B6-0607,species-3773,コマユミ,ニシキギ科,コマユミ,Euonymus alatus f. striatus,public/assets/data-lite/ylist-lite.json
12758,hostplant-B1B6-0609,species-3773,ナンキンハゼ,トウダイグサ科,ナンキンハゼ,Triadica sebifera,public/assets/data-lite/ylist-lite.json
12759,hostplant-B1B6-0610,species-3773,アカメガシワ,トウダイグサ科,アカメガシワ,Mallotus japonicus,public/assets/data-lite/ylist-lite.json
12762,hostplant-B1B6-0618,species-3778,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12763,hostplant-B1B6-0619,species-3778,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12764,hostplant-B1B6-0620,species-3778,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12768,hostplant-B1B6-0628,species-3784,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12769,hostplant-B1B6-0629,species-3784,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12770,hostplant-B1B6-0630,species-3784,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12772,hostplant-B1B6-0632,species-3784,アベマキ,ブナ科,アベマキ,Quercus variabilis,public/assets/data-lite/ylist-lite.json
12777,hostplant-B1B6-0638,species-3788,スモモ,バラ科,スモモ,Prunus salicina,public/assets/data-lite/ylist-lite.json
12778,hostplant-B1B6-0639,species-3788,アンズ,バラ科,アンズ,Prunus armeniaca,public/assets/data-lite/ylist-lite.json
12780,hostplant-B1B6-0641,species-3788,カマツカ,バラ科,カマツカ,Pourthiaea villosa,public/assets/data-lite/ylist-lite.json
12781,hostplant-B1B6-0642,species-3788,イタドリ,タデ科,イタドリ,Fallopia japonica,public/assets/data-lite/ylist-lite.json
12782,hostplant-B1B6-0643,species-3788,スイバ,タデ科,スイバ,Rumex acetosa,public/assets/data-lite/ylist-lite.json
12794,hostplant-B1B6-0657,species-3792,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12795,hostplant-B1B6-0658,species-3792,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12812,hostplant-B1B6-0689,species-3804,ニシキギ,ニシキギ科,ニシキギ,Euonymus alatus f. alatus,public/assets/data-lite/ylist-lite.json
12813,hostplant-B1B6-0696,species-3809,クロガネモチ,モチノキ科,クロガネモチ,Ilex rotunda,public/assets/data-lite/ylist-lite.json
12814,hostplant-B1B6-0700,species-3816,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12815,hostplant-B1B6-0701,species-3816,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12818,hostplant-B1B6-0709,species-3825,サンショウバラ,バラ科,サンショウバラ,Rosa hirtula,public/assets/data-lite/ylist-lite.json
12820,hostplant-B1B6-0713,species-3829,ニレ,ニレ科,ハルニレ,Ulmus davidiana var. japonica,public/assets/data-lite/ylist-lite.json
12822,hostplant-B1B6-0718,species-3831,ヤブニッケイ,クスノキ科,ヤブニッケイ,Cinnamomum yabunikkei,public/assets/data-lite/ylist-lite.json
12823,hostplant-B1B6-0719,species-3831,クスノキ,クスノキ科,クスノキ,Cinnamomum camphora,public/assets/data-lite/ylist-lite.json
12827,hostplant-B1B6-0725,species-3835,マサキ,ニシキギ科,マサキ,Euonymus japonicus,public/assets/data-lite/ylist-lite.json
