src_insect_id,dst_insect_id,no,japanese_name,scientific_name,hostplant_rows,reason
species-21661,,94,カラムシコブアブラムシ,Myzus boehmeriae Takahashi,4,no match for Myzus boehmeriae
species-21662,,95,ニワウメクロコブアブラムシ,Myzus cerasi (Fabricius),6,no match for Myzus cerasi
species-21663,,96,カンゾウコブアブラムシ,Myzus hemerocallidis Takahashi,2,no match for Myzus hemerocallidis
species-21664,,97,ワダンコブアブラムシ,Myzus lactucicola Takahashi,4,no match for Myzus lactucicola
species-21666,,99,ウメコブアブラムシ,Myzus mumecola (Matsumura),4,no match for Myzus mumecola
species-21667,,100,ムシャコブアブラムシ,Myzus mushaensis Takahashi,8,no match for Myzus mushaensis
species-21668,,101,モモアカアブラムシ,Myzus persicae (Sulzer),12,no match for Myzus persicae
species-21670,,103,ヒキオコシコブアブラムシ,Myzus siegesbeckiae Takahashi,4,no match for Myzus siegesbeckiae
species-21671,,104,ハンショウヅルコブアブラムシ,Myzus varians Davidson,8,no match for Myzus varians
species-21672,,105,,Myzus sp.,2,no match for Myzus sp.
species-21673,,106,クワクサヒゲナガアブラムシ,Eomyzus kuwanusae (Uye),2,no match for Eomyzus kuwanusae
species-21674,species-21474,107,シソコブアブラムシ,Eomyzus nipponicus (Moritsu),2,ok (unique epithet match)
species-21679,,112,イチゴケナガアブラムシ,Capitophorus fragariaefolii (Cockerell),2,no match for Capitophorus fragariaefolii
species-21681,,114,アキノタムラソウコブアブラムシ,Chaetomyzus hirticornis Takahashi,4,no match for Chaetomyzus hirticornis
species-21682,,115,シクラメンコブアブラムシ,Neomyzus circumflexus (Buckton),6,no match for Neomyzus circumflexus
species-21683,,116,ホップイボアブラムシ,Phorodon humuli Schrank,8,no match for Phorodon humuli
species-21685,,118,,Neotoxoptera sp.,2,no match for Neotoxoptera sp.
species-21686,,119,ウツギアブラムシ,Micromyzus diervillae (Matsumura),6,no match for Micromyzus diervillae
species-21687,species-21125,120,ニッコウコブアブラムシ,Micromyzus nikkoensis Miyazaki ?,2,ok (unique epithet match)
species-21692,,125,,Tuberocephalus sp.,2,no match for Tuberocephalus sp.
species-21696,species-21459,129,ヤマハッカアブラムシ,Eumyzus plectranthi (Shinji),4,ok (unique epithet match)
species-21697,species-21073,130,オオダイヨソオアブラムシ,Akkaia odaiensis Takahashi,4,ok (unique epithet match)
species-21698,,131,タデヨソオヒゲナガアブラムシ,Akkaia polygoni Takahashi,4,no match for Akkaia polygoni
species-21706,,139,イシミカワイボアブラムシ,Trichosiphonaphis ishimikawae (Shinji),4,no match for Trichosiphonaphis ishimikawae
species-21707,,140,スイカズラヒゲナガアブラムシ,Trichosiphonaphis lonicerae (Uye),2,no match for Trichosiphonaphis lonicerae
species-21709,,142,タデケクダヒゲナガアブラムシ,Trichosiphonaphis polygoniformosanus (Takahashi),4,no match for Trichosiphonaphis polygoniformosanus
species-21710,,143,タデヒゲナガアブラムシ,Trichosiphonaphis tade (Shinji),2,no match for Trichosiphonaphis tade
species-21713,species-21417,146,フウロケマンアブラムシ,Hyalopteroides corydalisicola (Tao),4,ok (unique epithet match)
species-21722,,155,ヨモギクレアブラムシ,Coloradoa artemisiae (Del Guercio),2,no match for Coloradoa artemisiae
species-21724,,157,ヨモギコアブラムシ,Micraphis artemisiae (Takahashi),2,no match for Micraphis artemisiae
species-21739,,172,キツネノマゴアブラムシ,Aphis justiceae Shinji,2,no match for Aphis justiceae
species-21746,,179,ニワトコアブラムシ,Aphis sambuci Linné,2,no match for Aphis sambuci
species-21747,species-21500,180,サルトリイバラアブラムシ,Aphis smilacifoliae Takahashi,2,ok (disambiguated by host plant name)
species-21749,,182,,Aphis sp.,4,no match for Aphis sp.
species-21752,,185,タイワンススキアブラムシ,Melanaphis formosana (Takahashi),2,no match for Melanaphis formosana
species-21756,,189,,Melanaphis sp.,2,no match for Melanaphis sp.
species-21760,species-21288,193,コミカンアブラムシ,Toxoptera aurantii (Boyer de Fonscolombe),8,ok
species-21763,,196,,Toxoptera sp. A,4,no match for Toxoptera sp. A
species-21764,,197,,Toxoptera sp. B,2,no match for Toxoptera sp. B
species-21777,,210,ヤブタバココナジラミモドキ,Aleurodaphis blumeae van der Goot,2,no match for Aleurodaphis blumeae
species-21778,,211,,Aleurodaphis sp.,2,no match for Aleurodaphis sp.
species-21779,,212,ミズキヒラタアブラムシ,Anoecia corni (Fabricius),10,no match for Anoecia corni
species-21782,,215,イスノフキアブラムシ,Nipponaphis autumnalis Monzen,2,no match for Nipponaphis autumnalis
species-21783,,216,シイムネアブラムシ,Nipponaphis cuspidatae Essig et Kuwana,4,no match for Nipponaphis cuspidatae
species-21786,,219,イスノタマフシアブラムシ,Nipponaphis globuli (Monzen),2,no match for Nipponaphis globuli
species-21788,,221,モンゼンイスアブラムシ,Nipponaphis monzeni Takahashi,6,no match for Nipponaphis monzeni
species-21789,species-21007,222,ヤノイスフシアブラムシ,Nipponaphis yanonis (Matsumura),6,ok (preferred genus by epithet)
species-21790,,223,クスマルアブラムシ,Thoracaphis kashifoliae Uye?,2,no match for Thoracaphis kashifoliae
species-21791,,224,トドマツワタムシ,Mindarus abietinus japonicus Takahashi,8,no match for Mindarus abietinus japonicus
species-21793,,226,クヌギミツアブラムシ,Glyphina onigurumi querciphila Takahashi,14,no match for Glyphina onigurumi querciphila
species-21798,,231,ニレワタムシ,Eriosoma japonica (Matsumura),4,no match for Eriosoma japonica
species-21799,,232,,Eriosoma sp.,2,no match for Eriosoma sp.
species-21800,species-21043,233,ハンショウヅルコワタムシ,Prociphilus clematicola (Shinji)?,6,ok (unique epithet match)
species-21804,,237,パイクヨスジメンチュウ,Tetraneura paiki Hille Ris Lambers,8,no match for Tetraneura paiki
species-21806,,239,ニシヤワタアブラムシ,Watabura nishiyae Matsumura,6,no match for Watabura nishiyae
species-21807,,240,クリイガアブラムシ,Moritziella castaneivora Miyazaki,2,no match for Moritziella castaneivora
