src_insect_id,no,japanese_name,scientific_name,atlas_key,hostplants,candidate_count,candidates,candidate_scientific_names,candidate_japanese_names,candidate_scores,candidate_reasons,status
species-21623,56,ゴボウヒゲナガアブラムシ,Dactynotus gobonis (Matsumura),Dactynotus gobonis,西日本ではゴボウのみ / 北日本ではオケラ / ベニバナ,0,,,,,,no_candidates
species-21624,57,キキョウヒゲナガアブラムシ,Dactynotus kikioensis (Shinji),Dactynotus kikioensis,キキョウ / フウリンソウ,0,,,,,,no_candidates
species-21625,58,アキノキリンソウクロヒゲナガアブラムシ,Dactynotus lactucicola (Strand),Dactynotus lactucicola,アキノノゲシ / アキノキリンソウ,0,,,,,,no_candidates
species-21626,59,シロヤマギクヒゲナガアブラムシ,Dactynotus monticola (Takahashi),Dactynotus monticola,イナカギク(ヤマシロギク) / ノヤマコンギク,0,,,,,,no_candidates
species-21627,60,コウゾリナヒゲナガアブラムシ,Dactynotus picridis (Fabricius),Dactynotus picridis,コウゾリナ / ヤナギタンポポ,0,,,,,,no_candidates
species-21628,61,アキノキリンソウヒゲナガアブラムシ,Dactynotus solidaginis (Fabricius)?,Dactynotus solidaginis,アキノキリンソウ / ヒメムカシヨモギ,0,,,,,,no_candidates
species-21634,67,ヨメナアミナシヒゲナガアブラムシ,Acyrthosiphon asteris (Takahashi),Acyrthosiphon asteris,ヨメナ,0,,,,,,no_candidates
species-21635,68,アザミアミナシヒゲナガアブラムシ,Acyrthosiphon cirsicola (Takahashi),Acyrthosiphon cirsicola,チシマアザミ / アザミの一種,0,,,,,,no_candidates
species-21636,69,カキドオシヒゲナガアブラムシ,Acyrthosiphon glechomae (Takahashi),Acyrthosiphon glechomae,カキドオシ,0,,,,,,no_candidates
species-21637,70,ヤマブキヒゲナガアブラムシ,Acyrthosiphon kerriae (Shinji),Acyrthosiphon kerriae,ヤエムグラ / ヤマブキ / フキ,1,species-21325,Aulacorthum kerriae,1930),30,accepted-epithet,has_candidates
species-21638,71,コンドウヒゲナガアブラムシ,Acyrthosiphon kondoi Shinji,Acyrthosiphon kondoi,ムラサキツメクサ / シロツメクサ / ムラサキウマゴヤシ,0,,,,,,no_candidates
species-21639,72,アオキコブアブラムシ,Acyrthosiphon linderae (Shinji),Acyrthosiphon linderae,アオキ / ケクロモジ,2,species-21013;species-21326,"Nipponaphis linderae Shinji, 1926 | Aulacorthum linderae",クロモジミネアブラムシ | 1922),30;30,accepted-epithet | accepted-epithet,has_candidates
species-21641,74,アブラチャンコブアブラムシ,Acyrthosiphon muradachi (Shinji),Acyrthosiphon muradachi,クロモジ / アブラチャン / シロモジ,1,species-21327,Aulacorthum muradachi,1928),30,accepted-epithet,has_candidates
species-21644,77,シソヒゲナガアブラムシ,Acyrthosiphon perillae (Shinji),Acyrthosiphon perillae,エゴマ / シソ,2,species-21339;species-21219,Aulacorthum perillae | Aphis acanthopanaci,1924) | Aphis acanthopanaci,30;0,"accepted-epithet | ",has_candidates
