kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-21831","スミレチビタマムシ","スミレチビタマムシ","Trachys pseudoscrobiculata shirozui Y. Kurosawa, 1959","Trachys pseudoscrobiculata shirozui Y. Kurosawa, 1959;Trachys violae Y. Kurosawa, 1959"
"mismatch","species-21840","アマミトゲウスバカミキリ 基亜種","アマミトゲウスバカミキリ 基亜種","Megopis formosana kawazoei Hayashi, 1961","Megopis formosana kawazoei Hayashi, 1961; Spinimegopis kawazoei kawazoei (Hayashi, 1961)"
"mismatch","species-21841","アマミトゲウスバカミキリ 沖縄島亜種","アマミトゲウスバカミキリ 沖縄島亜種","Megopis formosana okinawana Fujita, 1980","Megopis formosana okinawana Fujita, 1980; Spinimegopis kawazoei okinawana (Fujita, 1980)"
"mismatch","species-21889","","","Phymatodes vandykei Gressitt, 1935","Phymatodes vandykei Gressitt, 1935; Niisato (1995) New synonyms of Pymatiodes infasciatus (Coleoptera, Cerambycidae). ELYTRA, 23(2): 155-158."
"mismatch","species-21991","","","Chlorophorus bifasciatus Kano, 1933","Chlorophorus bifasciatus Kano, 1933; Chlorophorus muscosus (Bates, 1873)"
"mismatch","species-22028","","","Xylotrechus nipponicus Seki, 1935","Xylotrechus nipponicus Seki, 1935; Xylotrechus (Ootora) villioni (Villard, 1892)"
"mismatch","species-22094","","","Epania kojimai Matsushita, 1939","Epania kojimai Matsushita, 1939; Glaphyra (Glaphyra) kojimai (Matsushita, 1939)"
"mismatch","species-22099","","","Molorchus (Linomius) shibatai Hayashi, 1961","Molorchus (Linomius) shibatai Hayashi, 1961; Glaphyra (Glaphyra) shibatai shibatai (Hayashi, 1961)"
"mismatch","species-22195","ホクチチビハナカミキリ 北海道亜種","ホクチチビハナカミキリ 北海道亜種","Alosterna tabacicolor erythropus (Gebler, 1841)","Alosterna tabacicolor erythropus (Gebler, 1841); Alosterna tabacicolor tabacicolor (DeGeer, 1775)とされていた"
"mismatch","species-22196","","","Alosterna tabacicolor tabacicolor (DeGeer, 1775)","Alosterna tabacicolor tabacicolor (DeGeer, 1775)とされていた"
"mismatch","species-22217","","","Leptura vicaria vicaria (Bates, 1884)","Leptura vicaria vicaria (Bates, 1884); Etorofus (Nakanea) vicaria adumbratus (Bates, 1884)"
"mismatch","species-22242","","","Leptura mimica Panzer, 1884","Leptura mimica Panzer, 1884;"
"mismatch","species-22262","","","Leptura regalis (Bates, 1884)","Leptura regalis (Bates, 1884); Noona regalis (Bates, 1884); Bellamira regalis (Bates, 1884)"
"mismatch","species-22264","","","Leptura thoracica Creutzer, 1799","Leptura thoracica Creutzer, 1799;"
"mismatch","species-22271","","","Oedecnema dubia (Fabricius, 1781)","Oedecnema dubia (Fabricius, 1781); Oedecnema gebleri decemmaculata (Matsushita, 1911)"
"mismatch","species-22292","","","Mimostrangalia dulcis (Bates, 1884)","Mimostrangalia dulcis (Bates, 1884); CPC 6"
"mismatch","species-22314","","","Necydalis formosana matsudai Hayashi, 1949","Necydalis formosana matsudai Hayashi, 1949; Necydalis (Eonecydalisca) formosana niimurai Hayashi, 1949"
"mismatch","species-22344","","","Pidonia insuturata insuturata Pic, 1901","Pidonia insuturata insuturata Pic, 1901; Pidonia (Cryptopidonia) insuturata Pic, 1901"
"mismatch","species-22362","","","Pidonia (Omphalodera) puziloi (Solsky, 1873)","Pidonia (Omphalodera) puziloi (Solsky, 1873)フタオビチビハナカミキリ"
"mismatch","species-22407","","","Pidonia shikokuana Hayashi","Pidonia shikokuana Hayashi; Pidonia (Pseudopidonia) mutata (Bates, 1884)"
"mismatch","species-22483","","","Acanthocinus griseus griseus (Fabricius, 1792)","Acanthocinus griseus griseus (Fabricius, 1792)ホンドヒゲナガモモブトカミキリ;スジマダラモモブトカミキリ"
"mismatch","species-22500","イオウジマケシカミキリ","イオウジマケシカミキリ","Phloeopsis bioculata (Matsumura & Matsushita, 1933)","Phloeopsis bioculata (Matsumura & Matsushita, 1933); Phloeopsis iwojimana (Gressitt, 1956)"
"mismatch","species-22617","","","Neosybra albomarmorata Breuning, 1961","Neosybra albomarmorata Breuning, 1961 シロマダラチビカミキリ"
"mismatch","species-22626","ヤエヤマアヤモンチビカミキリ 基亜種","ヤエヤマアヤモンチビカミキリ 基亜種","Sybra ordinata flavostriata Hayashi, 1968","Sybra ordinata flavostriata Hayashi, 1968;Sybra (Sybra) flavostriata flavostriata Hayashi, 1968"
"mismatch","species-22679","","","Miccolamia palurae Takakuwa & N. Ohbayashi, 1995","Miccolamia palurae Takakuwa & N. Ohbayashi, 1995;シロチビコブカミキリ"
"mismatch","species-22778","","","Monochamus alternatus Hope, 1842","Monochamus alternatus Hope, 1842； マツノトビイロカミキリ"
"mismatch","species-22958","","","Pseudale obovata Hayashi, 1971","Pseudale obovata Hayashi, 1971;エラブハネナシサビカミキリ P. gibbosipennis Hayashi, 1983"
"mismatch","species-2305","アオダモヒメハマキ","アオダモヒメハマキ","Rhopobota sp. 2 of Nasu, 2013","Rhopobota sp. 2 of Nasu, 2013"
"mismatch","species-2306","ミヤマイボタヒメハマキ","ミヤマイボタヒメハマキ","Rhopobota sp. 3 of Nasu, 2013","Rhopobota sp. 3 of Nasu, 2013"
