insect_id,japanese_name,scientific_name,reason
species-3677,ソトシロモンエダシャク,"Cleora venustaria (Leech, 1891)",not_in_input
species-3678,オガサワラフトスジエダシャク,"Cleora ogasawarensis Inoue, 1994",not_in_input
species-3679,リュウキュウフトスジエダシャク,"Cleora injectaria (Walker, 1860)",not_in_input
species-3680,フトスジエダシャク,"Cleora repulsaria (Walker, 1860)",not_in_input
species-3681,ヤエヤマフトスジエダシャク,"Cleora alienaria (Walker, 1860)",not_in_input
species-3682,ヨモギエダシャク,"Ascotis selenaria (Denis & Schiffermüller, 1775)",not_in_input
species-3683,セブトエダシャク,"Cusiala stipitaria (Oberthür, 1880)",not_in_input
species-3684,ウストビスジエダシャク,"Ectropis aigneri Prout, 1930",not_in_input
species-3685,オオトビスジエダシャク,"Ectropis excellens (Butler, 1884)",not_in_input
species-3686,ウルマトビスジエダシャク,"Ectropis bhurmitra (Walker, 1860)",not_in_input
species-3687,フトフタオビエダシャク,"Ectropis crepuscularia (Denis & Schiffermüller, 1775)",not_in_input
species-3688,スギノキエダシャク,"Ectropis cryptomeriae Sato, 2018",not_in_input
species-3689,ウスジロエダシャク,"Ectropis obliqua (Prout, 1915)",not_in_input
species-3690,テンモンエダシャク,"Catoria sublavaria (Guenée, 1858)",not_in_input
species-3691,ハミスジエダシャク,"Hypomecis roboraria (Denis & Schiffermüller, 1775)",not_in_input
species-3692,オオバナミガタエダシャク,"Hypomecis lunifera (Butler, 1878)",not_in_input
species-3693,アキバエダシャク,"Hypomecis akiba (Inoue, 1963)",not_in_input
species-3694,ナカシロオビエダシャク,"Hypomecis definita (Butler, 1881)",not_in_input
species-3695,ウスバミスジエダシャク,"Hypomecis punctinalis (Scopoli, 1763)",not_in_input
species-3696,アマミミスジエダシャク,"Hypomecis yuwanina (Sato, 1981)",not_in_input
species-3697,ヒメミスジエダシャク,"Hypomecis kuriligena (Bryk, 1942)",not_in_input
species-3698,フトオビエダシャク,"Hypomecis crassestrigata (Christoph, 1881)",not_in_input
species-3699,ソトシロオビエダシャク,"Calicha ornataria (Leech, 1891)",not_in_input
species-3700,クロオオモンエダシャク,"Microcalicha fumosaria (Leech, 1891)",not_in_input
species-3701,シタクモエダシャク,"Microcalicha sordida (Butler, 1878)",not_in_input
species-3702,ヒロバウスアオエダシャク,"Paradarisa chloauges Prout, 1927",not_in_input
species-3703,シナトビスジエダシャク,"Paradarisa consonaria (Hübner, 1799)",not_in_input
species-3704,ナミスジエダシャク,"Racotis petrosa (Butler, 1879)",not_in_input
species-3705,ホシミスジエダシャク,"Racotis boarmiaria (Guenée, 1858)",not_in_input
species-3706,ウスチャトビモンエダシャク,"Psilalcis breta (Swinhoe, 1890)",not_in_input
species-3707,マエモンキエダシャク,"Heterarmia costipunctaria (Leech, 1891)",not_in_input
species-3708,ナミガタエダシャク,"Heterarmia charon (Butler, 1878)",not_in_input
species-3709,トガリスジグロエダシャク,"Heterarmia dissimilis (Staudinger, 1897)",not_in_input
species-3710,ツシマウスグロエダシャク,"Polymixinia appositaria (Leech, 1891)",not_in_input
species-3711,オレクギエダシャク,"Protoboarmia simpliciaria (Leech, 1897)",not_in_input
species-3712,ニセオレクギエダシャク,"Protoboarmia faustinata (Warren, 1897)",not_in_input
species-3713,ウスグロナミエダシャク,"Phanerothyris sinearia (Guenée, 1858)",not_in_input
species-3714,ハラゲエダシャク,"Diplurodes vestita Warren, 1896",not_in_input
species-3715,ハラゲチビエダシャク,"Satoblephara parvularia (Leech, 1891)",not_in_input
species-3716,キバネトビスジエダシャク,"Myrioblephara cilicornaria (Püngeler, 1903)",not_in_input
species-3717,チビトビスジエダシャク,"Myrioblephara nanaria (Staudinger, 1897)",not_in_input
species-3718,ハンノトビスジエダシャク,"Aethalura ignobilis (Butler, 1878)",not_in_input
species-3720,コヨツメエダシャク,"Ophthalmitis irrorataria (Bremer & Grey, 1853)",not_in_input
species-3721,シロモンキエダシャク,"Parectropis similaria (Hufnagel, 1767)",not_in_input
species-3722,コケヒメエダシャク,"Dischidesia kurokoi Inoue, 1963",not_in_input
species-3723,シロテントビスジエダシャク,"Abaciscus albipunctata (Inoue, 1955)",not_in_input
species-3724,スジグロエダシャク,"Arbognophos amoenaria (Staudinger, 1897)",not_in_input
species-3725,コウノエダシャク,"Elophos vittaria (Thunberg, 1788)",not_in_input
species-3726,クロスジハイイロエダシャク,"Hirasa paupera (Butler, 1881)",not_in_input
species-3727,ハガタキエダシャク,"Ctenognophos grandinaria (Motschulsky, 1861)",not_in_input
species-3728,チャノウンモンエダシャク,"Jankowskia fuscaria (Leech, 1891)",not_in_input
species-3729,キタウンモンエダシャク,"Jankowskia pseudathleta Sato, 1980",not_in_input
species-3730,リンゴツノエダシャク,"Phthonosema tendinosaria (Bremer, 1864)",not_in_input
species-3731,トビネオオエダシャク,"Phthonosema invenustaria (Leech, 1891)",not_in_input
species-3732,シロスジオオエダシャク,"Xandrames latiferaria (Walker, 1860)",not_in_input
species-3733,ヒロオビオオエダシャク,"Xandrames dholaria Moore, 1868",not_in_input
species-3734,チャマダラエダシャク,"Amblychia insueta (Butler, 1878)",not_in_input
species-3735,ユワンオオエダシャク,"Amblychia yuwanina Sato & Sameshima, 2013",not_in_input
species-3736,オオツバメエダシャク,"Amblychia angeronaria Guenée, 1858",not_in_input
species-3737,ヒロオビエダシャク,"Duliophyle agitata (Butler, 1878)",not_in_input
species-3738,オオトビエダシャク,"Duliophyle majuscularia (Leech, 1897)",not_in_input
species-3739,ツマキウスグロエダシャク,"Scionomia anomala (Butler, 1881)",not_in_input
species-3740,コツマキウスグロエダシャク,"Scionomia parasinuosa Inoue, 1982",not_in_input
species-3741,ソトキクロエダシャク,"Scionomia mendica (Butler, 1879)",not_in_input
species-3742,キマダラツバメエダシャク,"Thinopteryx crocoptera (Kollar, 1844)",not_in_input
species-3743,Thinopteryx sp.,"Thinopteryx delectans (Butler, 1878)",not_in_input
species-3744,ヒロバフユエダシャク,"Larerannis miracula (Prout, 1929)",not_in_input
species-3745,フタマタフユエダシャク,"Larerannis filipjevi Wehrli, 1935",not_in_input
species-3746,ウスオビフユエダシャク,"Larerannis orthogrammaria (Wehrli, 1927)",not_in_input
species-3747,ナカジマフユエダシャク,"Larerannis nakajimai Inoue, 1986",not_in_input
species-3748,トギレフユエダシャク,"Protalcis concinnata (Wileman, 1911)",not_in_input
species-3749,シロフフユエダシャク,"Agriopis dira (Butler, 1878)",not_in_input
species-3750,クロスジフユエダシャク,"Pachyerannis obliquaria (Motschulsky, 1861)",not_in_input
species-3751,チャバネフユエダシャク,"Erannis golda Djakonov, 1929",not_in_input
species-3753,チャオビフユエダシャク,"Phigaliohybernia fulvinfula Inoue, 1942",not_in_input
