和名,学名,成虫出現期,生態備考,寄主植物
クロハナギンガ,Chasminodes sugii,7-8月,幼虫は寄主植物の葉を上下につづって中にひそむ。,オオバボダイジュ (アオイ科)
アイノクロハナギンガ,Chasminodes aino,7-8月,幼虫は寄主植物の葉を上下につづって中にひそむ。,ブナ (ブナ科)
ムジギンガ,Chasminodes pseudalbonitens,7-9月,成虫は夏に出現する。,未知
ヒメギンガ,Chasminodes unipunctus,7月頃,10月頃まで見られる。幼虫は5月頃ブナの葉をつづって中にひそむ。,ブナ (ブナ科)
ウラギンガ,Chasminodes nervosus,5-9月,成虫は春から秋にかけて出現する。,未知
ウスズジギンガ,Chasminodes cilia,7-8月,♂は夕方に樹冠を飛翔するという観察記録がある。,未知
エゾクロギンガ,Chasminodes atratus,7-8月,成虫は夏に出現する。,未知
ヒロオビクロギンガ,Chasminodes nigrilineus,7-8月,成虫は夏に出現する。,未知
ヤマトギンガ,Chasminodes japonicus,7月,成虫は夏に出現する。,カジカエデ (ムクロジ科)
キイロトガリヨトウ,Brachyanthia zelotypa,8-9月,成虫は夏から秋に出現する。,未知
ハイイロモクメヨトウ,Antha grata,"5-7月, 8-9月",年2化。,未知
ハグルマヨトウ,Apsarasa radians,5-6月,成虫は初夏に出現する。,未知
オガサワラヒゲヨトウ,Dasypolia fani,初冬,越冬後の3-4月にも得られている。,未知。ヨーロッパではキク科を食す
ムラサキハガタヨトウ,Blepharita amica,10-11月,成虫は秋に出現する。,日本ではヨモギ (キク科)。ヨーロッパではトリカブト類 (キンポウゲ科), ウワミズザクラ (バラ科) など
オオハガタヨトウ,Mniotype melanodonta,9-11月,成虫は秋に出現する。,多食性と思われ、オオバコ (オオバコ科) で飼育されている
ミヤマハガタヨトウ,Mniotype bathensis,7-8月,成虫は夏に出現する。,エゾリンドウ (リンドウ科), ギシギシ (タデ科), タンポポ類 (キク科), オオバコ (オオバコ科) など
クロスジキリガ,Xylopolia bella,3-5月,奄美大島以南は1-3月。,シラカシ (ブナ科)
ケンモンキリガ,Egira saxea,3-5月,幼虫は7月に蛹化し、翌年3月に羽化。,ヒノキ, アスナロ, スギ (以上ヒノキ科)
マツキリガ,Panolis japonica,早春,年1回出現。,アカマツ, チョウセンゴヨウ (以上マツ科)
タカオキリガ,Pseudopanolis takao,3-5月,年1回発生。,ヒマラヤスギ (マツ科), モミ, ウラジロモミ (以上マツ科)
アズサキリガ,Pseudopanolis azusa,4月下旬-5月上旬,年1回発生。,シラビソ, コメツガ, トウヒ, ウラジロモミ, ゴヨウマツ (以上マツ科)
キンイロキリガ,Clavipalpula aurariae,6-7月,土中において蛹態で越冬する。,シラカシ, カシワ, クリ, コナラ, クスギ, アベマキ (以上ブナ科), リンゴ, サクラ類 (以上バラ科)
シベチャキリガ,Perigrapha circumducta,5月,4月に採集された標本もある。,ホザキシモツケ (バラ科)
スギタニキリガ,Perigrapha hoenei,4月末-5月,成虫は年1回出現する。,ムラサキハシドイ (モクセイ科)。ヨーロッパではカシ類 (ブナ科), ヤナギ類 (ヤナギ科)
スモモキリガ,Anorthoa munda,早春,成虫は早春に出現する。,コナラ, クスギ (以上ブナ科), サクラ類 (バラ科), カラマツ (マツ科)
ホソバキリガ,Anorthoa angustipennis,2月下旬-6月,春先に1回成虫が出現する。,リンゴ (バラ科), ムラサキハシドイ (モクセイ科)
ミヤマカバキリガ,Orthosia incerta,4月末-5月,成虫は年1回出現する。,ムラサキハシドイ (モクセイ科)。ヨーロッパではカシ類 (ブナ科), ヤナギ類 (ヤナギ科)
カバキリガ,Orthosia evanida,3-5月,成虫は春に出現する。,リンゴ, スモモ, ウメ, アンズ, サクラ類 (以上バラ科), カキノキ (カキノキ科), ムラサキハシドイ (モクセイ科), クスギ, コナラ, カシワ (以上ブナ科), イタドリ (タデ科)
アオヤマキリガ,Orthosia aoyamensis,4-5月,成虫は年1回出現する。,各種の広葉樹で飼育可能
カギモンキリガ,Orthosia nigromaculata,3-4月,成虫は年1回発生する。,ツルグミ, ナツグミ (グミ科)
クロミミキリガ,Orthosia lizetta,3月より,寒冷地では6月まで見られる。,リンゴ (バラ科)。その他各種の広葉樹につく
ヒゴキリガ,Orthosia yoshizakii,3-4月,成虫は春に出現する。,未知
シロヘリキリガ,Orthosia limbata,4月,成虫は年1回得られている。,未知
ブナキリガ,Orthosia paromoea,3-4月,成虫は年1回出現する。,リンゴ, スモモ, サクラ類 (以上バラ科), クスギ, カシワ, ブナ, ミズナラ, ウラジロガシ, アラカシ (以上ブナ科), マンサク (マンサク科)
クロテンキリガ,Orthosia fausta,3-4月,成虫は年1回出現する。,エノキ (アサ科), ウバメガシ (ブナ科)
ヨモギキリガ,Orthosia ella,4-5月,成虫は年1回発生する。,ヨモギ (キク科), イタドリ, ギシギシ (以上タデ科), ハマエンドウ (マメ科)
イイジマキリガ,Orthosia ijimai,春先,成虫は春先に出現する。,リンゴ, サクラ類 (以上バラ科)
チャイロキリガ,Orthosia odiosa,4-5月,成虫は年1回出現する。,リンゴ (バラ科), カキノキ (カキノキ科), カシ類 (ブナ科)
ゴマフキリガ,Orthosia coniortota,4-5月,成虫は年1回出現する。,シナノキ (アオイ科)
ウスベニキリガ,Orthosia cedermarki,4-5月,成虫は年1回出現する。,幼虫は飼育によって確かめられている (詳細記載なし)
ナマリキリガ,Orthosia satoi,4月頃,成虫は出現する。,幼虫は飼育によって確かめられている (詳細記載なし)
カシワキリガ,Orthosia gothica,3-5月,成虫は春に出現する。,リンゴ, スモモ, サクラ類, キイチゴ類 (以上バラ科), クスギ, コナラ, アベマキ, カシワ (以上ブナ科)
アカバキリガ,Orthosia carnipennis,3-5月,成虫は春に出現する。,リンゴ, サクラ類 (以上バラ科), クスギ, コナラ, アラカシ (以上ブナ科)
シラホシヨトウ,Melanchra persicariae,7-8月,年1回出現。老熟幼虫は土中に入り、蛹となり、越冬する。,ヤマネコヤナギ (ヤナギ科), フジウツギ (ゴマノハグサ科), オオバコ (オオバコ科)
アトジロシラホシヨトウ,Melanchra postalba,5-7月,年1化。,杉 (1984) によると、幼虫は多食性なので、手近な植物でよく育ったという
マメヨトウ,Ceramica pisi,6-7月,日本では年1回出現。,ヤマドリゼンマイ (ゼンマイ科), ヤチヤナギ (ヤマモモ科)
ノコバヨトウ,Tiracola plagiata,5-8月,周年発生の可能性がある。,ノアサガオ (ヒルガオ科), ソクズ (レンプクソウ科), シマイズセンリョウ (サクラソウ科), ヤマグワ (クワ科)
...
