和名,学名,成虫時期,生態の備考
スジエグリシャチホコ,"Ptilodon hoegei (Graeser, 1888)",6月初旬～8月中旬,"""年2化。蛹越冬。""。寄主植物: カエデ属 (ムクロジ科)"
クロエグリシャチホコ,"Ptilodon okanoi (Inoue, 1958)",6月・8月,"""年2化。蛹越冬。""。寄主植物: カエデ属、トチノキ (以上ムクロジ科)"
ウスヅマシャチホコ,"Lophontosia cuculus (Staudinger, 1887)",5月～8月,"""年2化。""。寄主植物: ハルニレ (ニレ科)"
プライヤエグリシャチホコ,"Lophontosia pryeri (Butler, 1879)",4月・6月・8月,"""年2化 (北は1化)。蛹越冬。""。寄主植物: ケヤキ (ニレ科)"
クロスジシャチホコ,"Lophocosma sarantuja (Schintlmeister & Kinoshita, 1984)",5月～7月・8月～9月,"""年2化。蛹越冬。""。寄主植物: ヤシャブシ、ヒメヤシャブシ、オオバヤシャブシ、ツノハシバミ、アサダ、サワシバ、クマシデ、イヌシデ、アカシデ (以上カバノキ科)"
アカシャチホコ,"Gangaridopsis citrina (Wileman, 1911)",5月・8月,"""年2化。蛹越冬。""。寄主植物: マンサク (マンサク科)"
シーベルスシャチホコ,"Odontosia sieversii (Ménétriès, 1856)",4月～5月,"""年1化。蛹越冬。""。寄主植物: ダケカンバ、シラカンバ、ウダイカンバ、ヤシャブシ (以上カバノキ科)"
ホッカイエグリシャチホコ,"Odontosia walakui Kobayashi, 2006",6月上旬・7月,"""年1化。""。寄主植物: カバノキ科"
コクシエグリシャチホコ,"Odontosia marumoi Inoue, 1955",5月下旬・7月下旬,"""年1化。蛹越冬。""。寄主植物: ミヤマハンノキ、ダケカンバ (以上カバノキ科)"
モンキシロシャチホコ,"Leucodonta bicoloria (Denis & Schiffermüller, 1775)",6月初旬・7月,"""年1化。蛹越冬。""。寄主植物: ダケカンバ、シラカンバ、ミズメ (以上カバノキ科)、アズキナシ、ナナカマド (以上バラ科)"
キエグリシャチホコ,"Himeropteryx miraculosa (Staudinger, 1887)",9月下旬～11月,"""年1化。卵越冬。""。寄主植物: トチノキ、カエデ類 (以上ムクロジ科)、クマシデ、サワシバ (以上カバノキ科)"
エゾクシヒゲシャチホコ,"Ptilophora jezoensis (Matsumura, 1920)",10月上旬～11月上旬,"""年1化。卵越冬。""。寄主植物: カエデ類 (ムクロジ科)"
クシヒゲシャチホコ,"Ptilophora nohirae (Matsumura, 1920)",10月下旬～12月上旬,"""年1化。卵越冬。""。寄主植物: カエデ類 (ムクロジ科)"
アオバシャチホコ,"Zaranga permagna (Butler, 1881)",4月～5月・8月～9月,"""年2化。蛹越冬。""。寄主植物: ヤマボウシ、ミズキ、クマノミズキ (以上ミズキ科)"
オオトビモンシャチホコ,"Phalerodonta manleyi (Leech, 1889)",10月初め・11月,"""年1化。卵越冬。""。寄主植物: ミズナラ、コナラ、クヌギ、カシ類 (以上ブナ科)"
エゾギンモンシャチホコ,"Spatalia jezoensis (Wileman & South, 1916)",6月・8月～9月,"""年2化。蛹越冬。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
ギンモンシャチホコ,"Spatalia dives (Oberthür, 1884)",5月～6月・7月～8月,"""年2化。""。寄主植物: ハルニレ、ケヤキ (以上ニレ科)"
ウスイロギンモンシャチホコ,"Spatalia doerriesi (Graeser, 1888)",5月～9月,"""年2化。蛹越冬。""。寄主植物: ミズナラ、コナラ、クヌギ (以上ブナ科)"
シロスジエグリシャチホコ,"Fusapteryx ladislai (Oberthür, 1880)",3月下旬～4月,"""年1化。蛹越冬。""。寄主植物: クマシデ、オニグルミ、カバノキ科、ブナ科、ニレ科、クルミ科、マンサク科"
ハガタエグリシャチホコ,"Hagapteryx admirabilis (Staudinger, 1887)",6月・8月,"""年2化。""。寄主植物: カエデ属 (ムクロジ科)"
ゲンカイハガタシャチホコ,"Hagapteryx kishidai Nakamura, 1978",7月,"""年1化。蛹越冬。""。寄主植物: ヤシャブシ、ハンノキ、ヤマハンノキ、クマシデ、サワシバ、ミズメ、ハシバミ、ツノハシバミ、アサダ (以上カバノキ科)、シナノキ (アオイ科)"
ネウスシャチホコ,"Chadisra bipartita (Matsumura, 1925)",8月,"""台湾では通年。蛹越冬。""。寄主植物: ウラジロエノキ (アサ科)"
ユミモンシャチホコ,"Ellida arcuata (Alphéraky, 1897)",4月下旬～6月初旬,"""年1化。蛹越冬。""。寄主植物: ハルニレ、ケヤキ (以上ニレ科)"
クロテンシャチホコ,"Ellida branickii (Oberthür, 1880)",4月～6月・7月～8月,"""年2化。蛹越冬。""。寄主植物: ミズナラ、コナラ (以上ブナ科)"
シロテンシャチホコ,"Ellida viridimixta (Bremer, 1861)",6月・8月,"""年2化。蛹越冬。""。寄主植物: シナノキ、オオバボダイジュ (以上アオイ科)"
カバイロモクメシャチホコ,"Hupodonta corticalis (Butler, 1877)",6月下旬～8月,"""年1化。卵越冬。""。寄主植物: サクラ類、ズミ (以上バラ科)"
スジモクメシャチホコ,"Hupodonta lignea (Matsumura, 1919)",8月,"""年1化。卵越冬。""。寄主植物: ハルニレ、オヒョウ (以上ニレ科)"
ナカスジシャチホコ,"Nerice bipartita (Butler, 1885)",5月～6月・7月～8月,"""年2化。""。寄主植物: ナナカマド、マメザクラ (以上バラ科)"
シロスジシャチホコ,"Nerice shigerosugii (Schintlmeister, 2008)",6月～7月,"""年1化。""。寄主植物: ハルニレ (ニレ科)"
マエジロシャチホコ,"Notodonta albicosta (Matsumura, 1920)",6月・7月～8月,"""年2化。""。寄主植物: ミズナラ (ブナ科)"
トビスジシャチホコ,"Notodonta stigmatica (Matsumura, 1920)",5月・6月～7月,"""年2化。蛹越冬。""。寄主植物: シラカンバ、ダケカンバ、ヤマハンノキ、ヤシャブシ (以上カバノキ科)"
ウチキシャチホコ,"Notodonta dembowskii (Oberthür, 1879)",5月～6月・8月,"""年2化。""。寄主植物: ダケカンバ、シラカンバ (以上カバノキ科)"
トビマダラシャチホコ,"Notodonta torva (Hübner, 1803)",6月初旬～8月中旬,"""年1化。蛹越冬。""。寄主植物: ドロヤナギ、ヤナギ類 (以上ヤナギ科)、セイヨウハコヤナギ (以上ヤナギ科)"
シロジマシャチホコ,"Pheosia rimosa (Packard, 1864)",5月下旬～6月上旬・7月～8月,"""年2化。蛹越冬。""。寄主植物: ヤマナラシ (ヤナギ科)、シラカンバ、ダケカンバ (以上カバノキ科)"
ムラサキシャチホコ,"Uropyia meticulodina (Oberthür, 1884)",4月～6月・8月～9月,"""年2化。蛹越冬。""。寄主植物: オニグルミ (クルミ科)"
ニッコウシャチホコ,"Shachia circumscripta (Butler, 1885)",5月・7月,"""年2化。""。寄主植物: オニグルミ、サワグルミ (以上クルミ科)"
バイバラシロシャチホコ,"Cnethodonta grisescens (Staudinger, 1887)",5月～6月・8月～9月,"""年2化。蛹越冬。""。寄主植物: クリ、コナラ (以上ブナ科)"
シロシャチホコ,"Cnethodonta japonica (Sugi, 1980)",5月～6月・8月～9月,"""年2化。""。寄主植物: カバノキ科、ブナ科、ニレ科、クルミ科、マンサク科、バラ科"
シャチホコガ,"Stauropus fagi (Linnaeus, 1758)",5月前後・8月前後,"""年2化。蛹越冬。""。寄主植物: クルミ科、ヤナギ科、カバノキ科、ブナ科、ニレ科、バラ科、マメ科、ムクロジ科、アオイ科、ミズキ科"
テイキチシャチホコ,"Stauropus teikichiana (Matsumura, 1929)",3月～10月,"""蛹越冬。""。寄主植物: クスギ (ブナ科)"
ナントシャチホコ,"Stauropus alternus (Walker, 1855)",5月～12月,"""約2か月で1世代。""。寄主植物: アカメガシワ (トウダイグサ科)、バラ科、マメ科、ミカン科、ツバキ科、リュウガン、レイシ (ムクロジ科)、チャノキ (ツバキ科)"
ヒメシャチホコ,"Stauropus basalis (Moore, 1877)",5月～6月・8月,"""年2化。""。寄主植物: ハリエンジュ (以上マメ科)、ナワシロイチゴ (バラ科)、ハシバミ (カバノキ科)"
ゴマダラシャチホコ,"Palaeostauropus obliteratus (Wileman & South, 1917)",5月・7月～8月,"""年2化。""。寄主植物: モミ (マツ科)"
フサオシャチホコ,"Dudusa sphingiformis (Moore, 1872)",7月下旬～8月上旬,"""年1化。蛹越冬。""。寄主植物: オニイタヤ (ムクロジ科)、カエデ類 (ムクロジ科)"
ギンモンスズメモドキ,"Tarsolepis japonica (Wileman & South, 1917)",7月～8月,"""年1化。蛹越冬。""。寄主植物: カエデ類 (ムクロジ科)"
トガリバシャチホコ,"Phycidopsis albovittata (Hampson, 1893)",3月・9月,寄主植物: ヤマヒハツ (コミカンソウ科)
ツマキシャチホコ,"Phalera assimilis (Bremer & Grey, 1852)",6月～8月,"""年1化。""。寄主植物: ミズナラ、コナラ、クスギ、カシワ、アベマキ、クリ (以上ブナ科)"
クロツマキシャチホコ,"Phalera minor (Nagano, 1916)",6月～8月,"""年1化。蛹越冬。""。寄主植物: コナラ、クスギ、アラカシ、ウバメガシ (以上ブナ科)"
モンクロシャチホコ,"Phalera flavescens (Bremer & Grey, 1852)",6月～8月,"""年1化。蛹越冬。""。寄主植物: サクラ類、ズミ、ナシ (以上バラ科)"
フタジマネグロシャチホコ,"Neodrymonia delia (Leech, 1889)",6月・8月,"""年2化。蛹越冬。""。寄主植物: サワフタギ、タンナサワフタギ (以上ハイノキ科)"
チョウセンネグロシャチホコ,"Neodrymonia coreana (Matsumura, 1922)",7月下旬～8月上旬,"""年1化。""。寄主植物: サワフタギ (ハイノキ科)"
ヤクシマネグロシャチホコ,"Neodrymonia acuminata (Matsumura, 1929)",3月～8月,寄主植物: クロバイ (ハイノキ科)
ハイイロネグロシャチホコ,"Neodrymonia marginalis (Matsumura, 1925)",4月～5月・7月～9月,"""年2化。""。寄主植物: サワフタギ (ハイノキ科)"
オオネグロシャチホコ,"Eufentonia nihonica (Wileman, 1911)",5月～6月・8月～9月,"""年2化。""。寄主植物: ヒメシャラ、ナツツバキ (以上ツバキ科)"
ホソバネグロシャチホコ,"Disparia diluta (Hampson, 1910)",5月～8月,"""通年(沖縄)。""。寄主植物: ヒサカキ (サカキ科)"
ワイルマンネグロシャチホコ,"Disparia wilemani (Matsumura, 1925)",3月から,寄主植物: ヒサカキ (サカキ科)
クロシタシャチホコ,"Mesophalera sigmata (Butler, 1877)",6月～9月,"""年2化。蛹越冬。""。寄主植物: ヤブツバキ (ツバキ科)"
ホソバシャチホコ,"Fentonia ocypete (Bremer, 1861)",5月・8月,"""年2化。""。寄主植物: ミズナラ、コナラ、クスギ、カシ類 (以上ブナ科)"
ヘリスジシャチホコ,"Neopheosia fasciata (Moore, 1888)",5月～8月,"""年2化。蛹越冬。""。寄主植物: サクラ類 (バラ科)、クリ (ブナ科)、アセビ (ツツジ科)"
モンクロギンシャチホコ,"Wilemanus bidentatus (Wileman, 1911)",6月～8月,"""年2化。""。寄主植物: ナシ、ザイフリボク (以上バラ科)"
キシャチホコ,"Cutuza straminea (Moore, 1877)",5月・8月,"""年2化。蛹越冬。""。寄主植物: メダケ、アズマザサ (以上イネ科)"
ウスキシャチホコ,"Mimopydna pallida (Butler, 1877)",5月～8月,"""年2化。""。寄主植物: ススキ (イネ科)"
トリゲキシャチホコ,"Torigea plumosa (Leech, 1889)",4月～7月,"""年2化。""。寄主植物: クマザサ (イネ科)"
カバイロシャチホコ,"Ramesa tosta (Walker, 1855)",2月・5月・8月,"""年2化。""。寄主植物: メヒシバ (イネ科)"
トビモンシャチホコ,"Drymonia dodonides (Staudinger, 1887)",5月～6月初旬,"""年1化。蛹越冬。""。寄主植物: ミズナラ (ブナ科)"
コトビモンシャチホコ,"Drymonia japonica (Wileman, 1911)",6月・8月,"""年2化。蛹越冬。""。寄主植物: ミズナラ、コナラ、クスギ (以上ブナ科)"
ノヒラトビモンシャチホコ,"Drymonia basalis (Wileman & South, 1917)",4月から,"""暖地では4月から。""。寄主植物: クスギ (ブナ科)"
ツマジロシャチホコ,"Hexafrenum leucodera (Staudinger, 1892)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: クリ、コナラ (以上ブナ科)、クマシデ、サワシバ、イヌシデ、シラカンバ、ミズメ、ツノハシバミ (以上カバノキ科)"
タカムクシャチホコ,"Takadonta takamukui (Matsumura, 1920)",8月,"""年1化。""。寄主植物: ブナ、イヌブナ (ブナ科)"
ウスグロシャチホコ,"Epinotodonta fumosa (Matsumura, 1919)",6月・9月,"""年2化 (北は1化)。蛹越冬。""。寄主植物: ダケカンバ、ウダイカンバ、ヤシャブシ (以上カバノキ科)、シナノキ (アオイ科)"
タカオシャチホコ,"Hiradonta takaonis (Matsumura, 1924)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: エノキ (アサ科)"
ミナミノクロシャチホコ,"Hiradonta ohashii (Nakatomi, 2000)",3月下旬～4月,"""年1化。蛹越冬。""。寄主植物: エノキ、クワノハエノキ (以上アサ科)"
スズキシャチホコ,"Pheosiopsis cinerea (Butler, 1879)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: ススキ (イネ科)"
ウグイスシャチホコ,"Pheosiopsis olivacea (Matsumura, 1920)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
ヤスジシャチホコ,"Epodonta lineata (Oberthür, 1880)",5月～6月・8月～9月,"""年2化。""。寄主植物: ハリギリ (ウコギ科)"
クビワシャチホコ,"Shaka atrovittatus (Bremer, 1861)",4月から,"""年2化。蛹越冬。""。寄主植物: カエデ属 (ムクロジ科)"
カエデシャチホコ,"Semidonta biloba (Oberthür, 1880)",4月～9月,"""年2化。蛹越冬。""。寄主植物: カエデ属、トチノキ (ムクロジ科)"
オオエグリシャチホコ,"Pterostoma gigantinum (Staudinger, 1892)",5月～8月,"""年2化。蛹越冬。""。寄主植物: フジ、イヌエンジュ、ハリエンジュ、エニシダ (以上マメ科)"
チョウセンエグリシャチホコ,"Pterostoma griseum (Bremer, 1861)",6月下旬～7月,"""年1化。""。寄主植物: イスエンジュ (マメ科)、チョウセンヤマナラシ (ヤナギ科)"
タテスジシャチホコ,"Togepteryx velutina (Oberthür, 1880)",4月下旬～8月,"""年2化。""。寄主植物: カエデ属 (ムクロジ科)"
ナカキシャチホコ,"Peridea gigantea (Butler, 1877)",6月～8月,"""年2化。""。寄主植物: ミズナラ、コナラ、クスギ、クリ (以上ブナ科)"
ルリモンシャチホコ,"Peridea oberthueri (Staudinger, 1892)",6月初旬～8月,"""年2化。""。寄主植物: ハンノキ、ヤマハンノキ、ヤシャブシ (以上カバノキ科)"
マルモンシャチホコ,"Peridea rotundata (Matsumura, 1920)",6月～8月,"""年2化。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
ニトベシャチホコ,"Peridea aliena (Staudinger, 1892)",6月上旬～8月,"""年2化。""。寄主植物: カマツカ、ズミ (以上バラ科)"
シノノメシャチホコ,"Peridea elzet (Kiriakoff, 1963)",8月～9月,"""年1化。""。寄主植物: クスギ (ブナ科)"
イシダシャチホコ,"Peridea graeseri (Staudinger, 1892)",6月～9月,"""年2化。""。寄主植物: ハルニレ、ケヤキ (ニレ科)"
アカネシャチホコ,"Peridea lativitta (Wileman, 1911)",5月～6月・8月,"""年2化。""。寄主植物: ミズナラ (ブナ科)"
ネスジシャチホコ,"Fusadonta basilinea (Wileman, 1911)",5月初旬から,"""年2化。""。寄主植物: クスギ (ブナ科)"
トビネシャチホコ,"Nephodonta tsushimensis (Sugi, 1980)",2月下旬～3月初旬,"""年1化。""。寄主植物: クスギ、カシワ、アラカシ、アベマキ、コナラ (以上ブナ科)"
アマギシャチホコ,"Eriodonta amagisana (Marumo, 1933)",4月～5月,"""年1化。蛹越冬。""。寄主植物: ブナ (ブナ科)"
ハイイロシャチホコ,"Microphalera grisea (Butler, 1885)",4月から,"""年2化。""。寄主植物: カエデ属 (ムクロジ科)"
セダカシャチホコ,"Euhampsonia cristata (Butler, 1877)",5月～8月,"""年2化。""。寄主植物: ミズナラ、コナラ、クスギ、カシ類 (以上ブナ科)"
アオセダカシャチホコ,"Euhampsonia splendida (Oberthür, 1880)",5月・8月,"""年2化。蛹越冬。""。寄主植物: ミズナラ、コナラ、クスギ、カシ類 (以上ブナ科)"
ブナアオシャチホコ,"Syntypistis punctatella (Motschulsky, 1861)",5月～6月・8月～9月,"""年2化。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
プライヤアオシャチホコ,"Syntypistis pryeri (Leech, 1899)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: クスギ、ウバメガシ (以上ブナ科)"
アオシャチホコ,"Syntypistis japonica (Nakatomi, 1981)",4月～9月上旬,"""年2化。蛹越冬。""。寄主植物: エゴノキ (エゴノキ科)"
ホリシャシャチホコ,"Syntypistis subgeneris (Strand, 1915)",3月～9月,寄主植物: エゴノキ
オオアオシャチホコ,"Syntypistis cyanea (Leech, 1889)",4月～6月・7月～9月,"""年2化。卵越冬。""。寄主植物: エゴノキ、ハクウンボク (エゴノキ科)"
ナチアオシャチホコ,"Syntypistis nachiensis (Marumo, 1920)",3月～5月・7月～8月,寄主植物: 未知
アマミアオシャチホコ,"Syntypistis amamiensis (Nakatomi, 1981)",3月・7月～8月,"""年2化。""。寄主植物: イスノキ (マンサク科)"
イリオモテアオシャチホコ,"Vaneeckeia pallidifascia (Hampson, 1893)",3月～10月,"""多化。""。寄主植物: イジュ (ヒメツバキ科)"
ギンボシシャチホコ,"Rosama cinnamomea Leech, 1888",6月～7月・8月～9月,"""年2化。蛹越冬。""。寄主植物: ヌスビトハギ (マメ科)"
トビギンボシシャチホコ,"Rosama ornata (Oberthür, 1884)",5月・7月～8月,"""年2化。蛹越冬。""。寄主植物: ヤマハギ (マメ科)"
ハネブサシャチホコ,"Platychasma virgo (Butler, 1881)",6月・8月,"""年2化。""。寄主植物: カジカエデ (ムクロジ科)"
スギドクガ,"Calliteara argentata (Butler, 1881)",5月・7月～8月,"""年2化。幼虫越冬。""。寄主植物: スギ、ヒノキ、コナラ、クヌギ、ヒマラヤスギ"
リンゴドクガ,"Calliteara pseudabietis (Butler, 1885)",4月～5月・7月～8月,"""年2化。蛹越冬。""。寄主植物: リンゴ、ナシ、サクラ類、ヤナギ類、クヌギ、アベマキ、コナラ、イタドリ、カキノキ、サンゴジュ、ハリエンジュ、オニグルミ"
アカヒゲドクガ,"Calliteara lunulata (Butler, 1877)",4月～6月・7月～8月,"""年2化。""。寄主植物: クリ、カシワ (以上ブナ科)"
ウスジロドクガ,"Calliteara virginea (Oberthür, 1879)",5月～6月,"""年1化。""。寄主植物: ハギ類 (マメ科)"
スズキドクガ,"Calliteara conjuncta (Wileman, 1911)",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: クスギ、コナラ (以上ブナ科)"
シタキドクガ,"Calliteara taiwana (Wileman, 1910)",5月～6月・8月～10月,"""年2化。""。寄主植物: クヌギ、アベマキ、アカガシ (以上ブナ科)"
ブドウドクガ,"Ilema eurydice (Butler, 1880)",7月～9月,"""年2化。""。寄主植物: ブドウ、ノブドウ、ツタ (以上ブドウ科)、タマアジサイ (アジサイ科)、ウラジロマタタビ (マタタビ科)"
ナチキシタドクガ,"Ilema nachiensis (Marumo, 1917)",7月～8月,"""年1化。""。寄主植物: コナラ、アラカシ (以上ブナ科)、オオバヤシャブシ (カバノキ科)、ミズキ (ミズキ科)、アカメガシワ (トウダイグサ科)、チシャノキ (ムラサキ科)"
マメドクガ,"Cifuna locuples (Walker, 1855)",6月～9月,"""年3回程度。幼虫越冬。""。寄主植物: ダイズ、フジ (以上マメ科)、ミカイドウ、バラ (以上バラ科)、エノキ (アサ科)、クズ、コナラ (以上ブナ科)、ウツギ (アジサイ科)"
ダイセツドクガ,"Gynaephora rossii (Curtis, 1835)",7月,"""卵から成虫まで3年。""。寄主植物: クロマメノキ、エゾツツジ、キバナシャクナゲ、ウラシマツツジ、コバノツガザクラ、チシマツガザクラ、イワヒゲ、ガンコウラン (以上ツツジ科)、エゾノタカネヤナギ、ミヤマヤナギ (以上ヤナギ科)、ダイセツイワスゲ (カヤツリグサ科)"
アカモンドクガ,"Telochurus recens (Hübner, 1819)",6月・8月,"""年2化。""。寄主植物: コナラ、クスギ (以上ブナ科)、リンゴ、ウメ、サクラ類 (以上バラ科)、ダイズ (マメ科)"
ヒメシロモンドクガ,"Orgyia thyellina (Butler, 1881)",6月～8月・10月～11月,"""年2-3化。幼虫越冬。""。寄主植物: バラ科、クワ科、ブナ科、ヤナギ科、カバノキ科、マメ科、アサ科、アオイ科"
コシロモンドクガ,"Orgyia postica (Walker, 1855)",3・6・7・11月など,"""イジュ (ツバキ科)。""。寄主植物: マルヤマカンコノキ (コミカンソウ科)、トウゴマ (トウダイグサ科)、イヌノキ (マンサク科)、ハマセンダン (ミカン科)、サイハイデイゴ、ギンネム (以上マメ科)、アコウ (クワ科)、ヤマモモ (ヤマモモ科)、バラ (バラ科)"
ヤクシマドクガ,"Orgyia triangularis (Nomura, 1938)",3・6・7・8・9・12月など,"""イジュ (ツバキ科)。""。寄主植物: スダジイ (ブナ科)、ヤマモモ (ヤマモモ科)、イスノキ (マンサク科)、バラ (バラ科)、サルスベリ (ミソハギ科)"
スゲドクガ,"Laelia coenosa (Hübner, 1808)",5月～6月・8月～9月,"""年2化。""。寄主植物: スゲの一種、マツカサススキ、ヒメガマ、ヨシ (イネ科)"
クニガミスゲドクガ,"Laelia kunigamiensis Kishida, 1995",4月～5月・11月,"""未知。""。寄主植物: イネ科植物"
スゲオオドクガ,"Laelia gigantea Butler, 1885",5月～6月・8月～9月,"""年2化。""。寄主植物: ササ類などのイネ科"
ミヤノスゲドクガ,"Laelia miyanoi Kishida, 2010",6月～7月,"""未知。""。寄主植物: 未知"
エルモンドクガ,"Arctornis l-nigrum (Müller, 1764)",6月～8月,"""年2化。""。寄主植物: ケヤキ、ハルニレ (以上ニレ科)"
スカシドクガ,"Arctornis kumatai (Inoue, 1956)",5月～6月・8月～9月,"""年2化。""。寄主植物: アワブキ (アワブキ科)"
ヒメシロドクガ,"Arctornis chichibense (Matsumura, 1921)",5月～6月・7月～8月,"""年2化。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
ツシマシロドクガ,"Arctornis album (Bremer, 1861)",7月～8月,"""未知。""。寄主植物: モクレン科"
ヒメスカシドクガ,"Arctornis kanazawai Inoue, 1982",3月～7月・12月,"""未知。""。寄主植物: 未知"
ニワトコドクガ,"Topomesoides jonasii (Butler, 1877)",6月～9月,"""年2化。""。寄主植物: カマツカ、ズミ (以上バラ科)、ブナ (ブナ科)、ニワトコ (レンプクソウ科)"
ヤナギドクガ,"Leucoma salicis (Linnaeus, 1758)",7月～8月,"""年1化。幼虫越冬。""。寄主植物: セイヨウハコヤナギ、ドロヤナギ、ミヤマヤナギ (以上ヤナギ科)"
ブチヒゲヤナギドクガ,"Leucoma candida (Staudinger, 1892)",7月～8月,"""年1化。""。寄主植物: ポプラ、ドロノキ、ミネヤナギ (以上ヤナギ科)"
キアシドクガ,"Ivela auripes (Butler, 1877)",6月,"""年1化。卵越冬。""。寄主植物: ミズキ、クマノミズキ (以上ミズキ科)"
ヒメキアシドクガ,"Ivela ochropoda (Eversmann, 1847)",6月～8月,"""年1化。""。寄主植物: ハルニレ (ニレ科)"
コシロオビドクガ,"Numenes disparilis (Staudinger, 1887)",6月～7月・8月～9月,"""年2化。""。寄主植物: アカシデ (カバノキ科)、オシダ (オシダ科)、アサダ (カバノキ科)"
シロオビドクガ,"Numenes albofascia (Leech, 1889)",6月～7月・8月～9月,"""年2化。""。寄主植物: イヌシデ (カバノキ科)"
クロモンドクガ,"Kuromondokuga niphonis (Butler, 1881)",6月～7月・8月～9月,"""年2化。""。寄主植物: ハシバミ、アサダ (以上カバノキ科)、サクラ類 (バラ科)"
ウチジロママイマイ,Parocneria furva,6月～7月・8月～9月,"""年2化。卵または若齢幼虫越冬。""。寄主植物: ヒノキ、ビャクシン、ハイビャクシン (以上ヒノキ科)"
マイマイガ,"Lymantria dispar (Linnaeus, 1758)",7月～8月,"""年1化。卵越冬。""。寄主植物: リンゴ、ナシ、モモ、ウメ、ソメイヨシノ、ヤナギ類、セイヨウハコヤナギ、クヌギ、ミズナラ、カシワ、アラカシ、ハルニレ、ケヤキ、ヌルデ、ウルシ、ミヤマキリシマ、ツタ、シナノキ、ハンノキ、カキノキ"
シロシタマイマイ,"Lymantria albescens (Hori & Umeno, 1930)",6月～7月,"""年1化。卵越冬。""。寄主植物: オオバギ、トウゴマ (以上トウダイグサ科)"
