和名,学名,成虫出現期,生態備考,寄主植物
クロエグリシャチホコ,Ptilodon okanoi,6月・8月,年2化。蛹越冬。,カエデ属, トチノキ (以上ムクロジ科)
ウスヅマシャチホコ,Lophontosia cucullus,5-8月,年2化。,ハルニレ (ニレ科)
プライヤエグリシャチホコ,Lophontosia pryeri,4月・6月・8月,年2化 (北は1化)。蛹越冬。,ケヤキ (ニレ科)
クロスジシャチホコ,Lophocosma sarantuja,5-7月・8-9月,年2化。蛹越冬。,ヤシャブシ, ヒメヤシャブシ, オオバヤシャブシ, ツノハシバミ, アサダ, サワシバ, クマシデ, イヌシデ, アカシデ (以上カバノキ科)
アカシャチホコ,Gangaridopsis citrina,5月・8月,年2化。蛹越冬。,マンサク (マンサク科)
シーベルスシャチホコ,Odontosia sieversii,4-5月,年1化。蛹越冬。,ダケカンバ, シラカンバ, ウダイカンバ, ヤシャブシ (以上カバノキ科)
ホッカイエグリシャチホコ,Odontosia walakui,6月上旬・7月,年1化。,カバノキ科
コクシエグリシャチホコ,Odontosia marumoi,5月下旬・7月下旬,年1化。蛹越冬。,ミヤマハンノキ, ダケカンバ (以上カバノキ科)
モンキシロシャチホコ,Leucodonta bicoloria,6月初旬・7月,年1化。蛹越冬。,ダケカンバ, シラカンバ, ミズメ (以上カバノキ科), アズキナシ, ナナカマド (以上バラ科)
キエグリシャチホコ,Himeropteryx miraculosa,9月下旬-11月,年1化。卵越冬。,トチノキ, カエデ類 (以上ムクロジ科), クマシデ, サワシバ (以上カバノキ科)
エゾクシヒゲシャチホコ,Ptilophora jezoensis,10月上旬-11月上旬,年1化。卵越冬。,カエデ類 (ムクロジ科)
クシヒゲシャチホコ,Ptilophora nohirae,10月下旬-12月上旬,年1化。卵越冬。,カエデ類 (ムクロジ科)
アオバシャチホコ,Zaranga permagna,4-5月・8-9月,年2化。蛹越冬。,ヤマボウシ, ミズキ, クマノミズキ (以上ミズキ科)
オオトビモンシャチホコ,Phalerodonta manleyi,10月初め・11月,年1化。卵越冬。,ミズナラ, コナラ, クヌギ, カシ類 (以上ブナ科)
エゾギンモンシャチホコ,Spatalia jezoensis,6月・8-9月,年2化。蛹越冬。,ブナ, イヌブナ (以上ブナ科)
ギンモンシャチホコ,Spatalia dives,5-6月・7-8月,年2化。,ハルニレ, ケヤキ (以上ニレ科)
ウスイロギンモンシャチホコ,Spatalia doerriesi,5-9月,年2化。蛹越冬。,ミズナラ, コナラ, クヌギ (以上ブナ科)
シロスジエグリシャチホコ,Fusapteryx ladislai,3月下旬-4月,年1化。蛹越冬。,クマシデ, オニグルミ, カバノキ科, ブナ科, ニレ科, クルミ科, マンサク科
ハガタエグリシャチホコ,Hagapteryx admirabilis,6月・8月,年2化。,カエデ属 (ムクロジ科)
ゲンカイハガタシャチホコ,Hagapteryx kishidai,7月,年1化。蛹越冬。,ヤシャブシ, ハンノキ, ヤマハンノキ, クマシデ, サワシバ, ミズメ, ハシバミ, ツノハシバミ, アサダ (以上カバノキ科), シナノキ (アオイ科)
ネウスシャチホコ,Chadisra bipartita,8月,台湾では通年。蛹越冬。,ウラジロエノキ (アサ科)
ユミモンシャチホコ,Ellida arcuata,4月下旬-6月初旬,年1化。蛹越冬。,ハルニレ, ケヤキ (以上ニレ科)
クロテンシャチホコ,Ellida branickii,4-6月・7-8月,年2化。蛹越冬。,ミズナラ, コナラ (以上ブナ科)
シロテンシャチホコ,Ellida viridimixta,6月・8月,年2化。蛹越冬。,シナノキ, オオバボダイジュ (以上アオイ科)
カバイロモクメシャチホコ,Hupodonta corticalis,6月下旬-8月,年1化。卵越冬。,サクラ類, ズミ (以上バラ科)
スジモクメシャチホコ,Hupodonta lignea,8月,年1化。卵越冬。,ハルニレ, オヒョウ (以上ニレ科)
ナカスジシャチホコ,Nerice bipartita,5-6月・7-8月,年2化。,ナナカマド, マメザクラ (以上バラ科)
シロスジシャチホコ,Nerice shigerosugii,6-7月,年1化。,ハルニレ (ニレ科)
マエジロシャチホコ,Notodonta albicosta,6月・7-8月,年2化。,ミズナラ (ブナ科)
トビスジシャチホコ,Notodonta stigmatica,5月・6-7月,年2化。蛹越冬。,シラカンバ, ダケカンバ, ヤマハンノキ, ヤシャブシ (以上カバノキ科)
ウチキシャチホコ,Notodonta dembowskii,5-6月・8月,年2化。,ダケカンバ, シラカンバ (以上カバノキ科)
トビマダラシャチホコ,Notodonta torva,6月初旬-8月中旬,年1化。蛹越冬。,ドロヤナギ, ヤナギ類 (以上ヤナギ科), セイヨウハコヤナギ (以上ヤナギ科)
シロジマシャチホコ,Pheosia rimosa,5月下旬-6月上旬・7-8月,年2化。蛹越冬。,ヤマナラシ (ヤナギ科), シラカンバ, ダケカンバ (以上カバノキ科)
ムラサキシャチホコ,Uropyia meticulodina,4-6月・8-9月,年2化。蛹越冬。,オニグルミ (クルミ科)
ニッコウシャチホコ,Shachia circumscripta,5月・7月,年2化。,オニグルミ, サワグルミ (以上クルミ科)
バイバラシロシャチホコ,Cnethodonta grisescens,5-6月・8-9月,年2化。蛹越冬。,クリ, コナラ (以上ブナ科)
シロシャチホコ,Cnethodonta japonica,5-6月・8-9月,年2化。,カバノキ科, ブナ科, ニレ科, クルミ科, マンサク科, バラ科
シャチホコガ,Stauropus fagi,5月前後・8月前後,年2化。蛹越冬。,クルミ科, ヤナギ科, カバノキ科, ブナ科, ニレ科, バラ科, マメ科, ムクロジ科, アオイ科, ミズキ科
テイキチシャチホコ,Stauropus teikichiana,3-10月,蛹越冬。,クスギ (ブナ科)
ナントシャチホコ,Stauropus alternus,5-12月,約2か月で1世代。,アカメガシワ (トウダイグサ科), バラ科, マメ科, ミカン科, ツバキ科, リュウガン, レイシ (ムクロジ科), チャノキ (ツバキ科)
ヒメシャチホコ,Stauropus basalis,5-6月・8月,年2化。,ハリエンジュ (以上マメ科), ナワシロイチゴ (バラ科), ハシバミ (カバノキ科)
ゴマダラシャチホコ,Palaeostauropus obliteratus,5月・7-8月,年2化。,モミ (マツ科)
フサオシャチホコ,Dudusa sphingiformis,7月下旬-8月上旬,年1化。蛹越冬。,オニイタヤ (ムクロジ科), カエデ類 (ムクロジ科)
ギンモンスズメモドキ,Tarsolepis japonica,7-8月,年1化。蛹越冬。,カエデ類 (ムクロジ科)
トガリバシャチホコ,Phycidopsis albovittata,3月・9月,,ヤマヒハツ (コミカンソウ科)
ツマキシャチホコ,Phalera assimilis,6-8月,年1化。,ミズナラ, コナラ, クスギ, カシワ, アベマキ, クリ (以上ブナ科)
クロツマキシャチホコ,Phalera minor,6-8月,年1化。蛹越冬。,コナラ, クスギ, アラカシ, ウバメガシ (以上ブナ科)
モンクロシャチホコ,Phalera flavescens,6-8月,年1化。蛹越冬。,サクラ類, ズミ, ナシ (以上バラ科)
フタジマネグロシャチホコ,Neodrymonia delia,6月・8月,年2化。蛹越冬。,サワフタギ, タンナサワフタギ (以上ハイノキ科)
チョウセンネグロシャチホコ,Neodrymonia coreana,7月下旬-8月上旬,年1化。,サワフタギ (ハイノキ科)
ヤクシマネグロシャチホコ,Neodrymonia acuminata,3-8月,,クロバイ (ハイノキ科)
ハイイロネグロシャチホコ,Neodrymonia marginalis,4-5月・7-9月,年2化。,サワフタギ (ハイノキ科)
オオネグロシャチホコ,Eufentonia nihonica,5-6月・8-9月,年2化。,ヒメシャラ, ナツツバキ (以上ツバキ科)
ホソバネグロシャチホコ,Disparia diluta,5-8月,通年(沖縄)。,ヒサカキ (サカキ科)
ワイルマンネグロシャチホコ,Disparia nigrofasciata,3月から,,ヒサカキ (サカキ科)
クロシタシャチホコ,Mesophalera sigmata,6-9月,年2化。蛹越冬。,ヤブツバキ (ツバキ科)
ホソバシャチホコ,Fentonia ocypete,5月・8月,年2化。,ミズナラ, コナラ, クスギ, カシ類 (以上ブナ科)
ヘリスジシャチホコ,Neopheosia fasciata,5-8月,年2化。蛹越冬。,サクラ類 (バラ科), クリ (ブナ科), アセビ (ツツジ科)
モンクロギンシャチホコ,Wilemanus bidentatus,6-8月,年2化。,ナシ, ザイフリボク (以上バラ科)
キシャチホコ,Cutuza straminea,5月・8月,年2化。蛹越冬。,メダケ, アズマザサ (以上イネ科)
ウスキシャチホコ,Mimopydna pallida,5-8月,年2化。,ススキ (イネ科)
トリゲキシャチホコ,Torigea plumosa,4-7月,年2化。,クマザサ (イネ科)
カバイロシャチホコ,Ramesa tosta,2月・5月・8月,年2化。,メヒシバ (イネ科)
トビモンシャチホコ,Drymonia dodonides,5-6月初旬,年1化。蛹越冬。,ミズナラ (ブナ科)
コトビモンシャチホコ,Drymonia japonica,6月・8月,年2化。蛹越冬。,ミズナラ, コナラ, クスギ (以上ブナ科)
ノヒラトビモンシャチホコ,Drymonia basalis,4月から,暖地では4月から。,クスギ (ブナ科)
ツマジロシャチホコ,Hexafrenum leucodera,5-6月・8月,年2化。蛹越冬。,クリ, コナラ (以上ブナ科), クマシデ, サワシバ, イヌシデ, シラカンバ, ミズメ, ツノハシバミ (以上カバノキ科)
タカムクシャチホコ,Takadonta takamukui,8月,年1化。,ブナ, イヌブナ (ブナ科)
ウスグロシャチホコ,Epinotodonta fumosa,6月・9月,年2化 (北は1化)。蛹越冬。,ダケカンバ, ウダイカンバ, ヤシャブシ (以上カバノキ科), シナノキ (アオイ科)
タカオシャチホコ,Hiradonta takaonis,5-6月・8月,年2化。蛹越冬。,エノキ (アサ科)
ミナミノクロシャチホコ,Hiradonta ohashii,3月下旬-4月,年1化。蛹越冬。,エノキ, クワノハエノキ (以上アサ科)
スズキシャチホコ,Pheosiopsis cinerea,5-6月・8月,年2化。蛹越冬。,ススキ (イネ科)
ウグイスシャチホコ,Pheosiopsis olivacea,5-6月・8月,年2化。蛹越冬。,ブナ, イヌブナ (以上ブナ科)
ヤスジシャチホコ,Epodonta lineata,5-6月・8-9月,年2化。,ハリギリ (ウコギ科)
クビワシャチホコ,Shaka atrovittatus,4月から,年2化。蛹越冬。,カエデ属 (ムクロジ科)
カエデシャチホコ,Semidonta biloba,4-9月,年2化。蛹越冬。,カエデ属, トチノキ (ムクロジ科)
オオエグリシャチホコ,Pterostoma gigantinum,5-8月,年2化。蛹越冬。,フジ, イヌエンジュ, ハリエンジュ, エニシダ (以上マメ科)
チョウセンエグリシャチホコ,Pterostoma griseum,6月下旬-7月,年1化。,イスエンジュ (マメ科), チョウセンヤマナラシ (ヤナギ科)
タテスジシャチホコ,Togepteryx velutina,4月下旬-8月,年2化。,カエデ属 (ムクロジ科)
ナカキシャチホコ,Peridea gigantea,6-8月,年2化。,ミズナラ, コナラ, クスギ, クリ (以上ブナ科)
ルリモンシャチホコ,Peridea oberthueri,6月初旬-8月,年2化。,ハンノキ, ヤマハンノキ, ヤシャブシ (以上カバノキ科)
マルモンシャチホコ,Peridea rotundata,6-8月,年2化。,ブナ, イヌブナ (以上ブナ科)
ニトベシャチホコ,Peridea aliena,6月上旬-8月,年2化。,カマツカ, ズミ (以上バラ科)
シノノメシャチホコ,Peridea elzet,8-9月,年1化。,クスギ (ブナ科)
イシダシャチホコ,Peridea graeseri,6-9月,年2化。,ハルニレ, ケヤキ (ニレ科)
アカネシャチホコ,Peridea lativitta,5-6月・8月,年2化。,ミズナラ (ブナ科)
ネスジシャチホコ,Fusadonta basilinea,5月初旬から,年2化。,クスギ (ブナ科)
トビネシャチホコ,Nephodonta tsushimensis,2月下旬-3月初旬,年1化。,クスギ, カシワ, アラカシ, アベマキ, コナラ (以上ブナ科)
アマギシャチホコ,Eriodonta amagisana,4-5月,年1化。蛹越冬。,ブナ (ブナ科)
ハイイロシャチホコ,Microphalera grisea,4月から,年2化。,カエデ属 (ムクロジ科)
セダカシャチホコ,Euhampsonia cristata,5-8月,年2化。,ミズナラ, コナラ, クスギ, カシ類 (以上ブナ科)
アオセダカシャチホコ,Euhampsonia splendida,5月・8月,年2化。蛹越冬。,ミズナラ, コナラ, クスギ, カシ類 (以上ブナ科)
ブナアオシャチホコ,Syntypistis punctatella,5-6月・8-9月,年2化。,ブナ, イヌブナ (以上ブナ科)
プライヤアオシャチホコ,Syntypistis pryeri,5-6月・8月,年2化。蛹越冬。,クスギ, ウバメガシ (以上ブナ科)
アオシャチホコ,Syntypistis japonica,4月-9月上旬,年2化。蛹越冬。,エゴノキ (エゴノキ科)
ホリシャシャチホコ,Syntypistis subgeneris,3-9月,,エゴノキ
オオアオシャチホコ,Syntypistis cyanea,4-6月・7-9月,年2化。卵越冬。,エゴノキ, ハクウンボク (エゴノキ科)
ナチアオシャチホコ,Syntypistis nachiensis,3-5月・7-8月,,未知
アマミアオシャチホコ,Syntypistis amamiensis,3月・7-8月,年2化。,イスノキ (マンサク科)
イリオモテアオシャチホコ,Vaneckeia pallidifascia,3-10月,多化。,イジュ (ヒメツバキ科)
ギンボシシャチホコ,Rosama cinnamomea,6-7月・8-9月,年2化。蛹越冬。,ヌスビトハギ (マメ科)
トビギンボシシャチホコ,Rosama ornata,5月・7-8月,年2化。蛹越冬。,ヤマハギ (マメ科)
ハネブサシャチホコ,Platychasma virgo,6月・8月,年2化。,カジカエデ (ムクロジ科)
スギドクガ,Calliteara argentata,5月・7-8月,年2化。幼虫越冬。,スギ, ヒノキ, コナラ, クヌギ, ヒマラヤスギ
リンゴドクガ,Calliteara pseudabietis,4-5月・7-8月,年2化。蛹越冬。,リンゴ, ナシ, サクラ類, ヤナギ類, クヌギ, アベマキ, コナラ, イタドリ, カキノキ, サンゴジュ, ハリエンジュ, オニグルミ
アカヒゲドクガ,Calliteara lunulata,4-6月・7-8月,年2化。,クリ, カシワ (以上ブナ科)
ウスジロドクガ,Calliteara virginea,5-6月,年1化。,ハギ類 (マメ科)
スズキドクガ,Calliteara conjuncta,5-6月・8月,年2化。蛹越冬。,クスギ, コナラ (以上ブナ科)
シタキドクガ,Calliteara taiwana,5-6月・8-10月,年2化。,クヌギ, アベマキ, アカガシ (以上ブナ科)
ブドウドクガ,Ilema eurydice,7-9月,年2化。,ブドウ, ノブドウ, ツタ (以上ブドウ科), タマアジサイ (アジサイ科), ウラジロマタタビ (マタタビ科)
ナチキシタドクガ,Ilema nachiensis,7-8月,年1化。,コナラ, アラカシ (以上ブナ科), オオバヤシャブシ (カバノキ科), ミズキ (ミズキ科), アカメガシワ (トウダイグサ科), チシャノキ (ムラサキ科)
マメドクガ,Cifuna locuples,6-9月,年3回程度。幼虫越冬。,ダイズ, フジ (以上マメ科), ミカイドウ, バラ (以上バラ科), エノキ (アサ科), クズ, コナラ (以上ブナ科), ウツギ (アジサイ科)
ダイセツドクガ,Gynaephora rossii,7月,卵から成虫まで3年。,クロマメノキ, エゾツツジ, キバナシャクナゲ, ウラシマツツジ, コバノツガザクラ, チシマツガザクラ, イワヒゲ, ガンコウラン (以上ツツジ科), エゾノタカネヤナギ, ミヤマヤナギ (以上ヤナギ科), ダイセツイワスゲ (カヤツリグサ科)
アカモンドクガ,Telochurus recens,6月・8月,年2化。,コナラ, クスギ (以上ブナ科), リンゴ, ウメ, サクラ類 (以上バラ科), ダイズ (マメ科)
ヒメシロモンドクガ,Orgyia thyellina,6-8月・10-11月,年2-3化。幼虫越冬。,バラ科, クワ科, ブナ科, ヤナギ科, カバノキ科, マメ科, アサ科, アオイ科
コシロモンドクガ,Orgyia postica,3・6・7・11月など,イジュ (ツバキ科), マルヤマカンコノキ (コミカンソウ科), トウゴマ (トウダイグサ科), イヌノキ (マンサク科), ハマセンダン (ミカン科), サイハイデイゴ, ギンネム (以上マメ科), アコウ (クワ科), ヤマモモ (ヤマモモ科), バラ (バラ科)
ヤクシマドクガ,Orgyia triangularis,3・6・7・8・9・12月など,イジュ (ツバキ科), スダジイ (ブナ科), ヤマモモ (ヤマモモ科), イスノキ (マンサク科), バラ (バラ科), サルスベリ (ミソハギ科)
スゲドクガ,Laelia coenosa,5-6月・8-9月,年2化。,スゲの一種, マツカサススキ, ヒメガマ, ヨシ (イネ科)
クニガミスゲドクガ,Laelia kunigamiensis,4-5月・11月,未知。,イネ科植物
スゲオオドクガ,Laelia gigantea,5-6月・8-9月,年2化。,ササ類などのイネ科
ミヤノスゲドクガ,Laelia miyanoi,6-7月,未知。,未知
エルモンドクガ,Arctornis l-nigrum,6-8月,年2化。,ケヤキ, ハルニレ (以上ニレ科)
スカシドクガ,Arctornis kumatai,5-6月・8-9月,年2化。,アワブキ (アワブキ科)
ヒメシロドクガ,Arctornis chichibense,5-6月・7-8月,年2化。,ブナ, イヌブナ (以上ブナ科)
ツシマシロドクガ,Arctornis album,7-8月,未知。,モクレン科
ヒメスカシドクガ,Arctornis kanazawai,3-7月・12月,未知。,未知
ニワトコドクガ,Topomesoides jonasii,6-9月,年2化。,カマツカ, ズミ (以上バラ科), ブナ (ブナ科), ニワトコ (レンプクソウ科)
ヤナギドクガ,Leucoma salicis,7-8月,年1化。幼虫越冬。,セイヨウハコヤナギ, ドロヤナギ, ミヤマヤナギ (以上ヤナギ科)
ブチヒゲヤナギドクガ,Leucoma candida,7-8月,年1化。,ポプラ, ドロノキ, ミネヤナギ (以上ヤナギ科)
キアシドクガ,Ivela auripes,6月,年1化。卵越冬。,ミズキ, クマノミズキ (以上ミズキ科)
ヒメキアシドクガ,Ivela ochropoda,6-8月,年1化。,ハルニレ (ニレ科)
コシロオビドクガ,Numenes disparilis,6-7月・8-9月,年2化。,アカシデ (カバノキ科), オシダ (オシダ科), アサダ (カバノキ科)
シロオビドクガ,Numenes albofascia,6-7月・8-9月,年2化。,イヌシデ (カバノキ科)
クロモンドクガ,Kuromondokuga niphonis,6-7月・8-9月,年2化。,ハシバミ, アサダ (以上カバノキ科), サクラ類 (バラ科)
ウチジロママイマイ,Parocneria furva,6-7月・8-9月,年2化。卵または若齢幼虫越冬。,ヒノキ, ビャクシン, ハイビャクシン (以上ヒノキ科)
マイマイガ,Lymantria dispar,7-8月,年1化。卵越冬。,リンゴ, ナシ, モモ, ウメ, ソメイヨシノ, ヤナギ類, セイヨウハコヤナギ, クヌギ, ミズナラ, カシワ, アラカシ, ハルニレ, ケヤキ, ヌルデ, ウルシ, ミヤマキリシマ, ツタ, シナノキ, ハンノキ, カキノキ
シロシタマイマイ,Lymantria albescens,6-7月,年1化。卵越冬。,オオバギ, トウゴマ (以上トウダイグサ科)
ノンネマイマイ,Lymantria monacha,7-8月,年1化。卵越冬。,クヌギ, ブナ (以上ブナ科), シラカンバ (カバノキ科), マツ類, カラマツ (以上マツ科)
ミノオマイマイ,Lymantria minomonis,4月下旬から5月上旬,年1化。,アラカシ (ブナ科)
オオヤママイマイ,Lymantria lucescens,8-9月,年1化。,クヌギ (ブナ科)
マエグロマイマイ,Lymantria xylina,6-7月,年1化。,イスノキ (マンサク科), アカギ, オオシマコバンノキ (以上コミカンソウ科), モクマオウ (モクマオウ科), サカキ (サカキ科), ホルトノキ (ホルトノキ科)
バンタイマイマイ,Lymantria bantaizana,7-8月,年1化。卵越冬。,サワグルミ, オニグルミ, カシグルミ (以上クルミ科)
ハラアカマイマイ,Lymantria fumida,7-8月,年1化。卵越冬。,モミ, カラマツ (以上マツ科)
カシワマイマイ,Lymantria mathura,7-9月,年1化。卵越冬。,カシワ, クヌギ, コナラ, クリ (以上ブナ科), サクラ, リンゴ, ナシ (以上バラ科), ハゼノキ (ウルシ科), ケヤキ (ニレ科), イスノキ (マンサク科), モクマオウ (モクマオウ科)
スキバドクガ,Perina nuda,3-8月,イチジク, オオイタビ, ガジュマル (以上クワ科)
フタホシドクガ,Nygmia staudingeri,7-8月・9-10月,年2化。,未知
マガリキドクガ,Nygmia curvata,7-8月・10月,年2化。,未知
ドクガ,Artaxa subflava,6-8月,年1化。若齢幼虫越冬。,サクラ, ウメ, バラ, ズミ (以上バラ科), クヌギ, コナラ, クリ (以上ブナ科), イタドリ (タデ科), アカメガシワ (トウダイグサ科), カキノキ (カキノキ科), グラジオラス (アヤメ科), ヤブマオ (イラクサ科)
サカグチキドクガ,Artaxa sakaguchii,6-8月・10月,スダジイ (ブナ科), ホウロクイチゴ (バラ科)
カンシキドクガ,Artaxa kanshireia,9月上旬,未知。,未知
キドクガ,Kidokuga piperita,6-8月,年1化。,ヤシャブシ (カバノキ科), ヤマナラシ (ヤナギ科), マンサク (マンサク科), リョウブ (リョウブ科), ハクウンボク (エゴノキ科), ツツジ, タニウツギ (スイカズラ科), クスギ (ブナ科), カジカエデ (ムクロジ科)
トラサンドウクガ,Kidokuga torasan,5月・7-8月,年2化。,クスギ (ブナ科)
モンシロドクガ,Sphrageidus similis,5-6月・8-9月,年2化。幼虫越冬。,サクラ, リンゴ, ウメ, ソメイヨシノ (以上バラ科), クワ類 (クワ科), カキノキ (カキノキ科), クリ, コナラ, クヌギ (以上ブナ科), フジ, ネムノキ (以上マメ科), イヌザンショウ (ミカン科), ジャガイモ (ナス科), クチナシ (アカネ科), イタドリ (タデ科), オニグルミ (クルミ科)
タイワンキドクガ,Orvasca taiwana,5-6月,ダイコン (アブラナ科), ゴボウ (キク科), バラ (バラ科), トウマ (トウダイグサ科)
ゴマフリドクガ,Somena pulverea,5月・7-8月,年2化。,ヒサカキ (サカキ科), サクラ類, バラ (バラ科), ハリエンジュ, ニセアカシア (マメ科), ケタデ (タデ科), マルヤマカンコノキ (コミカンソウ科), シマザサ (キネ科), リュウキュウボタンヅル (キンポウゲ科), イジュ (ツバキ科)
チャドクガ,Arna pseudoconspersa,6-7月・10月,年2化。卵越冬。,チャノキ, ツバキ, サザンカ (以上ツバキ科)
クロミャクホソバ,Pelosia ramosula,7-8月,年1化。,地衣類
クロスジホソバ,Pelosia noctis,5-6月・8-9月,年2化。,地衣類
ネズミホソバ,Pelosia angusta,7-8月,年1化。,地衣類
ホシホソバ,Pelosia muscerda,6-8月,年1化。,苔類
トカラホソバ,Pelosia tokaraensis,6・7・10月,地衣類
ヒメクロスジホソバ,Pelosia obtusa,6月・8月,年2化。,未知
キシタホソバ,Eilema vetusta,5-9月,年1-3化。幼虫越冬。,地衣類
ウスキシタホソバ,Eilema griseola,8月,地衣類
ミヤマキベリホソバ,Eilema okanoi,8月,未知。,未知
ムジホソバ,Eilema deplana,6-9月,年1化または2化。,地衣類
シタグロホソバ,Eilema flavociliata,8月,未知。,未知
ツマキホソバ,Eilema laevis,5-8月,年2化。,地衣類
キマエホソバ,Eilema japonica,5-9月,年2化。,地衣類, アラカシ (ブナ科)
ヒメキマエホソバ,Eilema gina,6-9月,未知。,未知
シロホソバ,Eilema degenerella,5-8月,年2化。,地衣類
ヤネホソバ,Eilema fuscodorsalis,4-9月,年3-4化。,地衣類, 苔類
ニセキマエホソバ,Eilema nankingica,6-8月,年2化。,未知
オキナワキホソバ,Eilema hiroshiinouei,7月・9月,未知。,未知
ヒメツマキホソバ,Eilema minor,6-8月,年2化。,未知
キムジホソバ,Eilema affineola,7-8月,未知。,未知
ヒメキホソバ,Dolgoma cribrata,5-6月・8-9月,年2化。,地衣類, 苔類
アマミキホソバ,Brunia antica,2-9月,多化。,未知
リュウキュウムジホソバ,Tigrioides pallens,3-10月,未知。,未知
ナガサキムジホソバ,Tigrioides immaculatus,3-11月,未知。,未知
ルリモンホソバ,Chrysaeglia magnifica,6月頃,年3回。,地衣類
モンシロホソバ,Vamuna albolutea,5月・7月,未知。,未知
ゴマフオオホソバ,Agrisius fuliginosus,6-8月,年1化。,地衣類
クビワウスグロホソバ,Macrobrochis staudingeri,6-7月,年1化。,クスギ, アラカシ (以上ブナ科), ツバキ (ツバキ科), タブノキ (クスノキ科)
キマエクロホソバ,Ghoria collitoides,6-8月,年1化。,未知
キベリネズミホソバ,Ghoria gigantea,6-7月,年1化。,タニウツギ (スイカズラ科), 苔類
ヨツボシホソバ,Lithosia quadra,6-9月,年1化または2化。幼虫越冬。,地衣類, アラカシ (ブナ科)
マエグロホソバ,Conilepia nigricosta,6-7月・9月,年2化。,未知
アカスジシロコケガ,Cyana hamata,6-9月,年2化。,地衣類
ヒトテンアカスジコケガ,Cyana unipunctata,7・8・11月,未知。,未知
キスジシロコケガ,Cyana harterti,ほぼ1年中,未知。,未知
ウスクロスジチビコケガ,Stictane obscura,5-6月・8月,未知。,未知
クロスジチビコケガ,Stictane rectilinea,3-11月,未知。,未知
ウスグロコケガ,Siccia obscura,6-8月,地衣類
シロオビクロコケガ,Siccia minuta,6-8月,地衣類
シカタコケガ,Siccia shikatai,6-7月,未知。,未知
キムラコケガ,Siccia kimurai,4月・9月,未知。,未知
クロモンエグリコケガ,Garudinia bimaculata,3-9月,未知。,未知
バイバラホシコケガ,Aemene sordida,5月,未知。,未知
クロテンシロコケガ,Aemene fukudai,7-8月,未知。,未知
ホシオビコケガ,Aemene altaica,5-6月・7-10月,年2化。幼虫越冬。,地衣類
オオベニヘリコケガ,Melanaema venata,6月・8-9月,年2-3化。,未知
クシヒゲコケガ,Thumatha ochracea,7-8月,未知。,未知
クロスジコケガ,Creatonotos gangis,5月・7月,未知。,未知
クロスジコケガ,Thumatha musculosa,7-8月,未知。,未知
ハイイロヒトリ,Creatonotos transiens,5-6月・8-9月,年2化。,クワ, イチジク, ギシギシ, イタドリ, クズ, シロツメクサ, オオバコ, ヨモギ, タンポポ類, ノゲシ, キャベツ
