catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
1,1,Corthylini,Pityophthorina,Pityophthorus,,arakii,,Sawamoto,1942,アラキサエダキクイムシ,"Pityophthorus arakii (Sawamoto, 1942)",HOK,,
2,2,Corthylini,Pityophthorina,Pityophthorus,,jucundus,,Blandford,1894,トウヒノヒメキクイムシ,"Pityophthorus jucundus Blandford, 1894","HON, Iz-My, SHI, KYU","Sakhalin, Korea, China(northeast)",
3,3,Cryphalini,,Cosmoderes,,attenuatus,,Nobuchi,1981,ツルノコキクイムシ,"Cosmoderes attenuatus (Nobuchi, 1981)","HON, KYU, NOs","Taiwan, Oriental Region","Pseudocosmoderes attenuatus Nobuchi, 1981"
4,4,Cryphalini,,Cosmoderes,,consobrinus,,Blandford,1894,ホソコキクイムシ,"Cosmoderes consobrinus Blandford, 1894","HON, SHI",Taiwan,
5,5,Cryphalini,,Cryphalus,,abbreviatus,,Schedl,1943,ガジュマルノコキクイムシ,"Cryphalus abbreviatus Schedl, 1943","HON, Okn, Yon",Philippines,
6,6,Cryphalini,,Cryphalus,,aquilonius,,Nobuchi,1975,サワシバノコキクイムシ,"Cryphalus aquilonius (Nobuchi, 1975)",HOK,,
7,7,Cryphalini,,Cryphalus,,asperatus,,Gyllenhal,1813,モミノコキクイムシ,"Cryphalus asperatus (Gyllenhal, 1813)","HOK, HON","Russian Far East, China, Siberia, Turkey, Europe, North Africa","Cryphalus abietis (Ratzeburg, 1837)"
8,8,Cryphalini,,Cryphalus,,babai,,Murayama,1961,ババコキクイムシ,"Cryphalus babai Murayama, 1961",HON,,
9,9,Cryphalini,,Cryphalus,,bicarinatus,,Nobuchi,1975,フタスジコキクイムシ,"Cryphalus bicarinatus (Nobuchi, 1975)",KYU,,
10,10,Cryphalini,,Cryphalus,,carpini,,Berger,1917,シデノコキクイムシ,"Cryphalus carpini Berger, 1917",HON,"Russian Far East, Korea",
11,11,Cryphalini,,Cryphalus,,chamaecipariae,,Niijima,1910,ヒノキノコキクイムシ,"Cryphalus chamaecipariae Niijima, 1910",HON,,"Hypothenemus chamaecypariae Niijima, 1910"
12,12,Cryphalini,,Cryphalus,,constrictus,,Schedl,1942,,"Cryphalus constrictus Schedl, 1942",Ryukyu,,"Hypocryphalus perminimus (Schedl, 1942); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
13,13,Cryphalini,,Cryphalus,,cryptomeriae,,Niijima,1908,スギノコキクイムシ,"Cryphalus cryptomeriae Niijima, 1908","HON, KYU",,
14,14,Cryphalini,,Cryphalus,,dissimilis,,Nobuchi,1975,ハバビロコキクイムシ,"Cryphalus dissimilis (Nobuchi, 1975)",HON,,
15,15,Cryphalini,,Cryphalus,,exiguus,,Blandford,1894,クワノコキクイムシ,"Cryphalus exiguus Blandford, 1894","Kns, Skt, HOK, HON, Aws, Sad, Iz-My, SHI, KYU","Kuril, Sakhalin, Korea, China, Taiwan",
16,16,Cryphalini,,Cryphalus,,ficivorus,,Murayama,1958,アコウノキクイムシ,"Cryphalus ficivorus Murayama, 1958",SHI,,
17,17,Cryphalini,,Cryphalus,,fulvus,,Niijima,1908,キイロコキクイムシ,"Cryphalus fulvus Niijima, 1908","HON, Og-cc, SHI, KYU, Okn, Ish","Korea, China, Taiwan",
18,18,Cryphalini,,Cryphalus,,furukawai,,Murayama,1934,フルカワコキクイムシ,"Cryphalus furukawai Murayama, 1934","HON, SHI, KYU",Korea,"Hypothenemus furukawai (Murayama, 1934); Johnson, A. H., J. Hulcr, M. Knížek, T. H. / Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini / (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
19,19,Cryphalini,,Cryphalus,,garciniae,,Nobuchi,1959,フクギノコキクイムシ,"Cryphalus garciniae Nobuchi, 1959","Okn,",,
20,20,Cryphalini,,Cryphalus,,hirsutus,,Nobuchi,1975,フサゲコキクイムシ,"Cryphalus hirsutus (Nobuchi, 1975)",HON,,
21,21,Cryphalini,,Cryphalus,,jehorensis,,Murayama,1939,ネッカコキクイムシ,"Cryphalus jehorensis Murayama, 1939","HOK, HON, Sad, SHI","Korea, China",
22,22,Cryphalini,,Cryphalus,,jezoensis,,Inouye & Nobuchi,1957,エゾマツノコキクイムシ,"Cryphalus jezoensis Inouye & Nobuchi, 1957",HOK,,"Cryphalus jezoensis Nobuchi, 1957"
23,23,Cryphalini,,Cryphalus,,jugransi,,Niijima,1913,クルミノコキクイムシ,"Cryphalus jugransi Niijima, 1913","HOK, HON, Sad,",,
24,24,Cryphalini,,Cryphalus,,kagoshimensis,,Nobuchi,1975,カゴシマコキクイムシ,"Cryphalus kagoshimensis (Nobuchi, 1975)",KYU,,
25,25,Cryphalini,,Cryphalus,,kyotoensis,,Nobuchi,1966,キョウトコキクイムシ,"Cryphalus kyotoensis Nobuchi, 1966",HON,"Korea, China",
26,26,Cryphalini,,Cryphalus,,laricis,,Niijima,1909,カラマツノコキクイムシ,"Cryphalus laricis Niijima, 1909","HOK, HON","Sakhalin, Korea",
27,27,Cryphalini,,Cryphalus,,longisetosus,,Nobuchi,1975,ケナガコキクイムシ,"Cryphalus longisetosus (Nobuchi, 1975)",HON,,
28,28,Cryphalini,,Cryphalus,,longus,,Eggers,1926,ハンノナガコキクイムシ,"Cryphalus longus (Eggers, 1926)",HOK,"Kamchatka, Russian Far East","Ernoporus longus Eggers, 1926"
29,29,Cryphalini,,Cryphalus,,malus,,Niijima,1909,リンゴノコキクイムシ,"Cryphalus malus Niijima, 1909","HOK, HON","Russian Far East, Korea, China",
30,30,Cryphalini,,Cryphalus,,meridionalis,,Nobuchi,1975,オキナワコキクイムシ,"Cryphalus meridionalis (Nobuchi, 1975)","Okn, Ish",China,
31,31,Cryphalini,,Cryphalus,,montanus,,Nobuchi,1964,ミヤマコキクイムシ,"Cryphalus montanus Nobuchi, 1964",HON,,
32,32,Cryphalini,,Cryphalus,,niponensis,,Inolue & Nobuchi,1957,ニホンコキクイムシ,"Cryphalus niponensis Inolue & Nobuchi, 1957",HOK,,
33,33,Cryphalini,,Cryphalus,,oblongus,,Niijima,1910,アカマツノコキクイムシ,"Cryphalus oblongus (Niijima, 1910)",HON,,"Hypothenemus oblongus (Niijima, 1910); Johnson, A. H., J. Hulcr, M. Knížek, T. H. / Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini / (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
34,34,Cryphalini,,Cryphalus,,parvulus,,Niijima,1910,トウキョウコキクイムシ,"Cryphalus parvulus Niijima, 1910",HON,,
35,35,Cryphalini,,Cryphalus,,piceae,,Ratzeburg,1837,トドマツコキクイムシ,"Cryphalus piceae (Ratzeburg, 1837)","HOK, HON, SHI","Kuril, Sakhalin, Russian Far East, Korea, China, Turkey, Europe, North Africa","トウヒノコキクイムシ ; / Cryphalus hattorii Kono, 1938"
36,36,Cryphalini,,Cryphalus,,piceus,,Eggers,1926,ジョウザンコキクイムシ,"Cryphalus piceus Eggers, 1926","HOK, HON, Sad","Kuril, Sakhalin, Russian Far East, Korea, China",エゾマツコキクイムシ
37,37,Cryphalini,,Cryphalus,,pulchellus,,Nobuchi,1975,トチノコキクイムシ,"Cryphalus pulchellus (Nobuchi, 1975)","HON, Sad",,ユメキクイムシ
38,38,Cryphalini,,Cryphalus,,rhusii,,Niijima,1909,ツタウルシノコキクイムシ,"Cryphalus rhusii Niijima, 1909","HOK, HON","Kuril, Korea",
39,39,Cryphalini,,Cryphalus,,sawadai,,Nobuchi & Takahashi,1965,サワダコキクイムシ,"Cryphalus sawadai Nobuchi & Takahashi, 1965",HON,,
40,40,Cryphalini,,Cryphalus,,scopiger,,Berger,1917,ブナノコキクイムシ,"Cryphalus scopiger Berger, 1917","HON, KYU","Russian Far East, Korea, China","Cryphalus scopiger Berger, 1916"
41,41,Cryphalini,,Cryphalus,,sichotensis,,Kurentsov,1941,,"Cryphalus sichotensis Kurentsov, 1941",Japan,Russian Far East,
42,42,Cryphalini,,Cryphalus,,sordidus,,Nobuchi,1975,ハヤチネコキクイムシ,"Cryphalus sordidus (Nobuchi, 1975)",HON,,
43,43,Cryphalini,,Cryphalus,,yamaguchii,,Inouye & Nobuchi,1957,ヤマグチコキクイムシ,"Cryphalus yamaguchii Inouye & Nobuchi, 1957",HOK,,
44,44,Cryphalini,,Eidophelus,,alniphagus,,Nobuchi,1975,ヤマハンノキコキクイムシ,"Eidophelus alniphagus Nobuchi, 1975",HON,,"Ernoporicus alniphagus Nobuchi, 1975; Johnson, A. H., J. Hulcr, M. Knížek, T. / H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini / (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
45,45,Cryphalini,,Eidophelus,,badius,,Nobuchi,1975,クリイロコキクイムシ,"Eidophelus badius (Nobuchi, 1975)","HON, KYU",,"Scolytogenes badius (Nobuchi, 1975) Johnson, A. H., J. Hulcr, M. Knížek, T. H. / Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini / (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
46,46,Cryphalini,,Eidophelus,,birosimensis,,Murayama,1958,ビロウジマコキクイムシ,"Eidophelus birosimensis (Murayama, 1958)","HON, Kan, SHI, KYU, NOs, Tan, Okn, Iri",,"Cryphalus birosimensis (Murayama, 1958); Scolytogenes birosimensis (Murayama, 1958)"
47,47,Cryphalini,,Eidophelus,,camelliae,,Nobuchi,1975,ツバキノコキクイムシ,"Eidophelus camelliae (Nobuchi, 1975)",HON,,"Scolytogenes camelliae (Nobuchi, 1975) ; Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
48,48,Cryphalini,,Eidophelus,,candidus,,Nobuchi,1975,イヅツヤコキクイムシ,"Eidophelus candidus (Nobuchi, 1975)",KYU,,"Scolytogenes candidus (Nobuchi, 1975); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, / S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and Diversity, / 4 (3): 1-81. による"
49,49,Cryphalini,,Eidophelus,,darwini,,Eichhoff,1878,テイカカズラノコキクイムシ,"Eidophelus darwini (Eichhoff, 1878)","HON, KYU",,"Scolytogenes scolytomimoides (Nobuchi, 1975); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. / I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics / and Diversity, 4 (3): 1-81. による"
50,50,Cryphalini,,Eidophelus,,expers,,Blandford,1894,タブノコキクイムシ,"Eidophelus expers (Blandford, 1894)","HON, Sad, SHI, KYU",,"Scolytogenes expers (Blandford, 1894) Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, / S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and Diversity, / 4 (3): 1-81. による; Hypothenemus expers Blandford, 1894"
51,51,Cryphalini,,Eidophelus,,fujisanus,,Nobuchi,1975,フジコキクイムシ,"Eidophelus fujisanus (Nobuchi, 1975)",HON,,"Scolytogenes fujisanus (Nobuchi, 1975) / Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark / beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
52,52,Cryphalini,,Eidophelus,,fulvipennis,,Nobuchi,1975,キバネコキクイムシ,"Eidophelus fulvipennis (Nobuchi, 1975)","Okn, Ish",Taiwan,"Scolytogenes fulvipennis (Nobuchi, 1975); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
53,53,Cryphalini,,Eidophelus,,imitans,,Eichhoff,1876,クヌギノキクイムシ,"Eidophelus imitans Eichhoff, 1876",Japan,"Russian Far East, Korea, Taiwan, Oriental Region",
54,54,Cryphalini,,Eidophelus,,insularis,,Nobuchi,1975,ミクラジマコキクイムシ,"Eidophelus insularis (Nobuchi, 1975)",Iz-Mk,,"Scolytogenes insularis (Nobuchi, 1975); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
55,55,Cryphalini,,Eidophelus,,insularum,,Krivolutskaya,1968,ホソナガコキクイムシ,"Eidophelus insularum (Krivolutskaya, 1968)","HON, KYU",Kuril,"Ernoporicus elongatus Nobuchi, 1975; Ernoporicus insularum (Krivolutskaya, 1968) Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. / Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: / Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
56,56,Cryphalini,,Eidophelus,,jalappae,,Letzner,1849,,"Eidophelus jalappae (Letzner, 1849)",Japan,"North America, South America","移入種; Scolytogenes jalappae (Letzner, 1849); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. / Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: / Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
57,57,Cryphalini,,Eidophelus,,minutus,,Blandford,1894,チュウゼンジキクイムシ,"Eidophelus minutus Blandford, 1894",HON,,
58,58,Cryphalini,,Eidophelus,,niger,,Johnson,2020,クロコキクイムシ,"Eidophelus niger Johnson, 2020",HON,,"Ernoporicus ater Nobuchi, 1975; Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, / S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and Diversity, / 4 (3): 1-81. による"
59,59,Cryphalini,,Eidophelus,,punctatulus,,Nobuchi,1976,フクオカコキクイムシ,"Eidophelus punctatulus (Nobuchi, 1976)",KYU,,"Scolytogenes punctatulus Nobuchi, 1976; Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
60,60,Cryphalini,,Eidophelus,,takahashii,,Nobuchi,1975,ナナカマドノコキクイムシ,"Eidophelus takahashii (Nobuchi, 1975)","HOK, HON",,"Ernoporicus takahashii Nobuchi, 1975 / Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark / beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and Diversity, 4 (3): 1-81. による"
61,61,Cryphalini,,Ernoporus,,acanthopanaxi,,Niijima,1913,ウコギノコキクイムシ,"Ernoporus acanthopanaxi (Niijima, 1913)",HOK,,
62,62,Cryphalini,,Ernoporus,,corpulentus,,Sampson,1919,オオハマボウノコキクイムシ,"Ernoporus corpulentus (Sampson, 1919)","Okn, Iej, Iri","Philippines, Malaysia, Java, India","Ernocladius corpulentus (Sampson, 1919); Johnson, A. H., J. Hulcr, M. Knížek, T. H. Atkinson, M. Y. Mandelshtam, S. M. Smith, A. I. / Cognato, S. Park, Y. Li & B. H. Jordal, 2020. Revirion of the bark beetle genera within the former Cryphalini (Cueculionidae: Scolytinae). Insect Systematics and / Diversity, 4 (3): 1-81. による"
63,63,Cryphalini,,Ernoporus,,japonicus,,Nobuchi,1966,ツヤコキクイムシ,"Ernoporus japonicus Nobuchi, 1966",HON,,
64,64,Cryphalini,,Ernoporus,,shimanensis,,Murayama,1953,シマネコキクイムシ,"Ernoporus shimanensis Murayama, 1953",HON,,
65,65,Cryphalini,,Hemicryphalus,,incomptus,,Wood,1960,,"Hemicryphalus incomptus (Wood, 1960)",Iw,,"Wood, S.L., 1960. Coleoptera: Platypodidae and Scolytidae.Insects of Micronesia, 18(1): 1-73. により、硫黄島から新種記載された (2023/08/31)"
66,66,Cryphalini,,Hypothenemus,,amakusanus,,Murayama,1934,アマクサコキクイムシ,"Hypothenemus amakusanus (Murayama, 1934)","HON, Sad, SHI, KYU",,
67,67,Cryphalini,,Hypothenemus,,birmanus,,Eichhoff,1878,ナガサキコキクイムシ,"Hypothenemus birmanus (Eichhoff, 1878)","HON, Og-cc, KYU, Amm, Okn, Ish","China, Taiwan, Philippines, Borneo, Myanmar, Malaysia, Sumatra, Java, Australia, Oceania, North America, Cuba, South America","Hypothenemus peritus Blandford, 1894"
68,68,Cryphalini,,Hypothenemus,,eruditus,,Westwood,1836,チビコキクイムシ,"Hypothenemus eruditus Westwood, 1836","HON, Og-cc, SHI, KYU, Ish, Iri","Korea, China, Taiwan, Iran, Israel, Turkey, Europe(east), Africa, Oriental Region, Australia, North America, South America",
69,69,Cryphalini,,Hypothenemus,,fuscicollis,,Eichhoff,1878,,"Hypothenemus fuscicollis (Eichhoff, 1878)","Japan,","Taiwan, Africa, Oriental Region, North America, South America",
70,70,Cryphalini,,Hypothenemus,,japonicus,,Niijima,1910,ヤマトコキクイムシ,"Hypothenemus japonicus (Niijima, 1910)",HON,,
71,71,Cryphalini,,Hypothenemus,,kraunhiae,,Murayama,1950,フジノコキクイムシ,"Hypothenemus kraunhiae (Murayama, 1950)","HON, Sad",,
72,72,Cryphalini,,Hypothenemus,,sapporensis,,Niijima,1910,サッポロコキクイムシ,"Hypothenemus sapporensis (Niijima, 1910)","HOK, HON",,
73,73,Cryphalini,,Hypothenemus,,taihokuensis,,Schedl,1952,エチゴコキクイムシ,"Hypothenemus taihokuensis (Schedl, 1952)",HON,Taiwan,"Hypothenemus cosmoderoides Murayama, 1961"
74,74,Cryphalini,,Hypothenemus,,tristis,,Eichhoff,1876,クロヒメコキクイムシ,"Hypothenemus tristis (Eichhoff, 1876)","HON, SHI, KYU",,"Taphrorychus apatoides (Eichhoff, 1875) / ニセナガシンクイムシ"
75,75,Cryphalini,,Macrocryphalus,,oblongus,,Nobuchi,1981,チャイロコキクイムシ,"Macrocryphalus oblongus Nobuchi, 1981","HON, SHI, KYU, NOs",,"Hypothenemus nobuchi Knižek, 2011"
76,76,Cryphalini,,Trypophloeus,,binodulus,,Ratzeburg,1837,ポプラコキクイムシ,"Trypophloeus binodulus (Ratzeburg, 1837)",HOK,"Russian Far East, Korea, Siberia, Europe, North Africa","Trypophloeus kurencovi Nunberg, 1956"
77,77,Crypturgini,,Crypturgus,,pusillus,,Gyllenhal,1813,トウヒノホソキクイムシ,"Crypturgus pusillus (Gyllenhal, 1813)","HOK, HON","Kuril, Sakhalin, Russian Far East, Korea, China, Taiwan, Siberia, Turkey, India, Nepal, Pakistan, Himalaya, Europe, North Africa",
78,78,Crypturgini,,Crypturgus,,tuberosus,,Niijima,1909,カバイロホソキクイムシ,"Crypturgus tuberosus Niijima, 1909","HOK, HON","Sakhalin, Russian Far East, Taiwan",
79,79,Diamerini,,Sphaerotrypes,,pila,,Blandford,1894,ケブカマルキクイムシ,"Sphaerotrypes pila Blandford, 1894","HOK, HON, Sad, SHI, KYU","Korea, China, Taiwan","Sphaerotrypes carpini Eggers, 1926 / シデノマルキクイムシ ; Sphaerotrypes imitans / Eggers, 1926 / タカオマルキクイムシ"
80,80,Dryocoetini,,Coccotrypes,,advena,,Blandford,1894,ヒメアカキクイムシ,"Coccotrypes advena Blandford, 1894","HON, Og, KYU, Okn","India, Philippines, Borneo, Malaysia, Java, Caroline, Hawaii, Samoa, Queensland, Cuba","Poecilips advena (Blandford, 1894)"
81,81,Dryocoetini,,Coccotrypes,,babai,,Murayama,1961,ババキクイムシ,"Coccotrypes babai (Murayama, 1961)","HON, Sad",,"Thamnurgus babai Murayama, 1961; Poecilips babai (Murayama, 1961)"
82,82,Dryocoetini,,Coccotrypes,,cardamomi,,C. F. C. Schaufuss,1905,クリノミキクイムシ,"Coccotrypes cardamomi C. F. C. Schaufuss, 1905","HON, SHI, KYU","China, Taiwan, Vietnam, Malaysia, Nepal, Borneo, Sumatra, India(south), Sri Lanka","Poecilips cardamomi (Schaufuss, 1905)"
83,83,Dryocoetini,,Coccotrypes,,carpophagus,,Hornung,1842,,"Coccotrypes carpophagus (Hornung, 1842)",Japan,"Korea, Taiwan, India, Europe, North Africa, Africa, Oriental Region, Australia, North America, South America",
84,84,Dryocoetini,,Coccotrypes,,dactyliperda,,Fabricius,1801,タネノキクイムシ,"Coccotrypes dactyliperda (Fabricius, 1801)",Og-cc,Cosmopolitan,
85,85,Dryocoetini,,Coccotrypes,,fagi,,Nobuchi,1959,ブナヒメアトマルキクイムシ,"Coccotrypes fagi (Nobuchi, 1959)",HON,,"Poecilips fagi Nobuchi, 1959"
86,86,Dryocoetini,,Coccotrypes,,graniceps,,Eichhoff,1877,ドングリキクイムシ,"Coccotrypes graniceps (Eichhoff, 1877)","HON, SHI, KYU, NOs","China, Taiwan","Poecilips graniceps (Eichhoff, 1877)"
87,87,Dryocoetini,,Coccotrypes,,japonicus,,Eggers,1926,ヤマトキクイムシ,"Coccotrypes japonicus (Eggers, 1926)","HON, Iz-My, SHI, KYU",,
88,88,Dryocoetini,,Coccotrypes,,klapperichi,,Schedl,1953,,"Coccotrypes klapperichi (Schedl, 1953)",Japan,China,
89,89,Dryocoetini,,Coccotrypes,,longior,,Eggers,1927,ナイダイジンキクイムシ,"Coccotrypes longior (Eggers, 1927)","HON, Sad, SHI, KYU","China, Taiwan, Philippines, India","Dryocoetes naidaijinensis Murayama, 1957; サザンカコアトマルキクイムシ; Poecilips / oblongus Eggers, 1927"
90,90,Dryocoetini,,Coccotrypes,,norimasanus,,Murayama,1954,ノリマサキクイムシ,"Coccotrypes norimasanus (Murayama, 1954)",HON,,"Poecilips norimasanus (Murayama, 1954)"
91,91,Dryocoetini,,Coccotrypes,,nubilus,,Blandford,1894,ケブカキクイムシ,"Coccotrypes nubilus (Blandford, 1894)","HON, SHI, KYU","Korea, China, Taiwan, Oriental Region","Poecilips nubilus (Blandford, 1894)"
92,92,Dryocoetini,,Coccotrypes,,perditor,,Blandford,1894,ナガサキタネノキクイムシ,"Coccotrypes perditor Blandford, 1894",KYU,China,
93,93,Dryocoetini,,Cyrtogenius,,brevior,,Eggers,1927,フィリピンキクイムシ,"Cyrtogenius brevior (Eggers, 1927)","HON, KYU, T-Aks, Okn, Ish","Korea, Philippines",
94,94,Dryocoetini,,Cyrtogenius,,kumamotoensis,,Niijima,1917,クマモトアトマルキクイムシ,"Cyrtogenius kumamotoensis (Niijima, 1917)",KYU,,"L ymantor kabei Murayama, 1955 / カベアトマルキクイムシ"
95,95,Dryocoetini,,Cyrtogenius,,luteus,,Blandford,1894,コガネキクイムシ,"Cyrtogenius luteus (Blandford, 1894)",HON,"Korea, China, Taiwan, Oriental Region",
