catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
134,134,Hylesinini,,Hylesinus,,cingulatus,,Blandford,1894,シラオビキクイムシ,"Hylesinus cingulatus Blandford, 1894","HOK, HON, KYU","Russian Far East, Korea, China",
135,135,Hylesinini,,Hylesinus,,eos,,Spessivtsev,1919,シオジノキクイムシ,"Hylesinus eos Spessivtsev, 1919",HON,"Russian Far East, Korea, China",
136,136,Hylesinini,,Hylesinus,,laticollis,,Blandford,1894,ヤチダモノキクイムシ,"Hylesinus laticollis Blandford, 1894","HOK, HON","Russian Far East, Korea, China",
137,137,Hylesinini,,Hylesinus,,nobilis,,Blandford,1894,ヤチダモノオオキクイムシ,"Hylesinus nobilis Blandford, 1894","HOK, HON, KYU","Russian Far East, China",
138,138,Hylesinini,,Hylesinus,,toranio,,D'Anthoine,1788,,"Hylesinus toranio (D'Anthoine, 1788)",Japan,"Israel, Lebanon, Turkey, Europe, North Africa",移入種
139,139,Hylesinini,,Hylesinus,,tristis,,Blandford,1894,ヤチダモノクロキクイムシ,"Hylesinus tristis Blandford, 1894","HOK, HON, Sad, SHI, KYU, Ryukyu","Korea, Taiwan",
140,140,Hylesinini,,Longulus,,elatus,,Niijima,1913,タカスジキクイムシ,"Longulus elatus (Niijima, 1913)","HOK, HON",Kuril,"Hylesinus elatus Niijima, 1913"
141,141,Hylesinini,,Neopteleobius,,scutulatus,,Blandford,1894,ハルニレノキクイムシ,"Neopteleobius scutulatus (Blandford, 1894)","HON, KYU","Korea, China",ハルニレノオオキクイムシ
142,142,Hylurgini,,Dendroctonus,,micans,,Kugelann,1794,エゾマツオオキクイムシ,"Dendroctonus micans (Kugelann, 1794)",HOK,"Sakhalin, Russian Far East, China, Siberia, Mongolia, Kazakhstan, Turkey, Europe",
143,143,Hylurgini,,Hylurgus,,ligniperda,,Fabricius,1787,マツノネノキクイムシ,"Hylurgus ligniperda (Fabricius, 1787)",HON,"China, Cyprus, Turkey, Europe, North Africa",
144,144,Hylurgini,,Pseudohylesinus,,sericeus,,Mannerheim,1843,ヤスマツキクイムシ,"Pseudohylesinus sericeus (Mannerheim, 1843)",HON,"Alaska, Canada, USA",外来種
145,145,Hylurgini,,Pseudoxylechinus,,tiliae,,Niijima,1910,シナノキクイムシ,"Pseudoxylechinus tiliae (Niijima, 1910)",HOK,,"Hylesinus tiliae (Niijima, 1910)"
146,146,Hylurgini,,Tomicus,,brevipilosus,,Eggers,1929,ケミジカキクイムシ,"Tomicus brevipilosus (Eggers, 1929)",HON,"Korea, China","Tomicus multisetosus (Murayama, 1963)"
147,147,Hylurgini,,Tomicus,,minor,,Hartig,1834,マツノコキクイムシ,"Tomicus minor (Hartig, 1834)","HON, SHI, KYU","Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Cyprus, Turkey, Europe",
148,148,Hylurgini,,Tomicus,,piniperda,,Linnaeus,1758,マツノキクイムシ,"Tomicus piniperda (Linnaeus, 1758)","HOK, HON, Sad, SHI, KYU","Russian Far East, Sakhalin, Korea, China, Taiwan, Siberia, Mongolia, Kazakhstan, Israel, Cyprus, Turkey, Europe, North Africa, Oriental Region",
149,149,Hylurgini,,Tomicus,,puellus,,Reitter,1895,キタマツノキクイムシ,"Tomicus puellus (Reitter, 1895)",HOK,"Russian Far East, Korea",
150,150,Hylurgini,,Xylechinus,,gummensis,,Murayama,1958,グンマキクイムシ,"Xylechinus gummensis (Murayama, 1958)",HON,,"Pruniphagus gummensis Murayama, 1954"
151,151,Hylurgini,,Xylechinus,,pilosus,,Ratzeburg,1837,,"Xylechinus pilosus (Ratzeburg, 1837)",Japan,"Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Europe",
152,152,Hyorrhynchini,,Hyorrhynchus,,lewisi,,Blandford,1894,ルイスオオキクイムシ,"Hyorrhynchus lewisi Blandford, 1894","HOK, HON, SHI, KYU","Kuril, Taiwan, Oriental Region","三宅武 (2013) 熊群山の追加記録その2.二豊のむし , (51): / 43-47.KYU を追加"
153,153,Hyorrhynchini,,Hyorrhynchus,,unicornis,,Nobuchi,1966,ツノオオキクイムシ,"Hyorrhynchus unicornis Nobuchi, 1966","HOK, HON",Taiwan,
154,154,Hyorrhynchini,,Pseudohyorrhynchus,,wadai,wadai,Murayama,1950,ワダオオキクイムシ,"Pseudohyorrhynchus wadai wadai Murayama, 1950","HON, SHI, KYU",Taiwan,"Pseudohyorrhynchus wadai Murayama, 1950"
155,155,Hyorrhynchini,,Sueus,,niisimai,,Eggers,1926,ニイシマキクイムシ,"Sueus niisimai (Eggers, 1926)","HOK, HON, Sad, Awj, SHI, KYU, Yak, Iri","China, Taiwan, Malaysia, Java, India, Sri Lanka, Australia","Sphaerotrypes controversae Murayama, 1950 / ミズキマルキクイムシ ; Sueus / sphaerotrypoides Murayama, 1951 / アトマルキクイモドキ"
