大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典,成虫出現時期
H244,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,miyatakei,,,,,ムネアカグミトビハムシ,,,,,,,Zipanginia miyatakei,不明,,ハムシ目録データベース,
H245,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,picipes,,,,,チビカミナリハムシ,,,,,,,Zipanginia picipes,不明,,ハムシ目録データベース,
H246,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,picipes,,,,,チビカミナリハムシ　亜種,,,,,,,Zipanginia picipes,不明,,ハムシ目録データベース,
H247,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,sakishimana,,,,,サキシマグミトビハムシ,,,,,,,Zipanginia sakishimana,不明,,ハムシ目録データベース,
H248,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,tosana,,,,,シコクグミトビハムシ,,,,,,,Zipanginia tosana,不明,,ハムシ目録データベース,
H249,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,tuberosa,,,,,シリダコグミトビハムシ,,,,,,,Zipanginia tuberosa,不明,,ハムシ目録データベース,
H250,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Apophylia,,elongata,,,,,オキナワアオバホソハムシ,,,,,,,Apophylia elongata,不明,,ハムシ目録データベース,
H251,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Apophylia,,nigriceps,,,,,ヒメアオバホソハムシ,,,,,,,Apophylia nigriceps,不明,,ハムシ目録データベース,
H252,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Apophylia,,viridipennis,,,,,アオバホソハムシ,,,,,,,Apophylia viridipennis,不明,,ハムシ目録データベース,
H253,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chujoa,,uetsukii,,,,,ウエツキブナハムシ,,,,,,,Chujoa uetsukii,ブナ,,ハムシ目録データベース,7~9月
H254,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galeruca,,(Galeruca),,,,,アザミオオハムシ,,,,,,,Galeruca (Galeruca),アザミ、ギボウシ、フキ,,ハムシハンドブック,6~10月
H255,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galeruca,,(Galeruca),,,,,ネギオオアラメハムシ,,,,,,,Galeruca (Galeruca),不明,,ハムシ目録データベース,
H256,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galeruca,,(Galeruca),,,,,スジグロオオハムシ,,,,,,,Galeruca (Galeruca),不明,,ハムシ目録データベース,
H257,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galeruca,,(Galeruca),,,,,スミイロオオアラメハムシ,,,,,,,Galeruca (Galeruca),不明,,ハムシ目録データベース,
H258,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Galerucella),,,,,チュウジョウヒゲナガハムシ,,,,,,,Galerucella (Galerucella),不明,,ハムシ目録データベース,
H259,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Galerucella),,,,,イチゴハムシ,,,,,,,Galerucella (Galerucella),ミゾソバ、イタドリ、ギシギシ、オランダイチゴなど,,ハムシハンドブック,4~11月
H260,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Galerucella),,,,,ジュンサイハムシ,,,,,,,Galerucella (Galerucella),不明,,ハムシ目録データベース,
H261,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Galerucella),,,,,オオクラヒゲナガハムシ,,,,,,,Galerucella (Galerucella),不明,,ハムシ目録データベース,
H262,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Galerucella),,,,,オゼタデハムシ,,,,,,,Galerucella (Galerucella),不明,,ハムシ目録データベース,
H263,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Neogalerucella),,,,,ミソハギハムシ,,,,,,,Galerucella (Neogalerucella),不明,,ハムシ目録データベース,
H264,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Galerucella,,(Neogalerucella),,,,,ハシバミハムシ,,,,,,,Galerucella (Neogalerucella),不明,,ハムシ目録データベース,
H265,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lochmaea,,caprea,,,,,ズグロアラメハムシ,,,,,,,Lochmaea caprea,不明,,ハムシ目録データベース,
H266,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Menippus,,doeberli,,,,,オキナワウスバハムシ,,,,,,,Menippus doeberli,不明,,ハムシ目録データベース,
H267,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Menippus,,issikii,,,,,アマミウスバハムシ,,,,,,,Menippus issikii,不明,,ハムシ目録データベース,
H268,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Menippus,,sakishimanus,,,,,サキシマウスバハムシ,,,,,,,Menippus sakishimanus,不明,,ハムシ目録データベース,
H269,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ophraella,,communa,,,,,ブタクサハムシ,,,,,,,Ophraella communa,ブタクサ、オオブタクサ,,ハムシハンドブック,3~10月
H270,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,annulicornis,,,,,ブチヒゲケブカハムシ,,,,,,,Pyrrhalta annulicornis,ガマズミ類、オオカメノキ、ゴマギ,,ハムシハンドブック,5~10月
H271,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,esakii,,,,,エグリバケブカハムシ,,,,,,,Pyrrhalta esakii,不明,,ハムシ目録データベース,
H272,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,fuscipennis,,,,,イタヤハムシ,,,,,,,Pyrrhalta fuscipennis,カエデ類、ハコヤナギ類,,ハムシハンドブック,5月、7~10月
H273,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,kawashimai,,,,,カワシマケブカハムシ,,,,,,,Pyrrhalta kawashimai,不明,,ハムシ目録データベース,
H274,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,konishii,,,,,コニシケブカハムシ,,,,,,,Pyrrhalta konishii,不明,,ハムシ目録データベース,
H275,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,lineatipes,,,,,サンゴジュハムシ,,,,,,,Pyrrhalta lineatipes,サンゴジュ、ガマズミ類、ゴマギなど,,ハムシハンドブック,5~10月(7~8月は夏眠)
H276,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,semifulva,,,,,アカタデハムシ,,,,,,,Pyrrhalta semifulva,サクラ、トサミズキなど,,ハムシ目録データベース,4~9月
H277,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,takeii,,,,,オオサクラケブカハムシ,,,,,,,Pyrrhalta takeii,不明,,ハムシ目録データベース,
H278,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,tibialis,,,,,エノキハムシ,,,,,,,Pyrrhalta tibialis,エノキ,,ハムシハンドブック,5~9月
H279,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,yasumatsui,,,,,ヤスマツケブカハムシ,,,,,,,Pyrrhalta yasumatsui,不明,,ハムシ目録データベース,
H280,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pyrrhalta,,yoshimotoi,,,,,ヨシモトケブカハムシ,,,,,,,Pyrrhalta yoshimotoi,不明,,ハムシ目録データベース,
H281,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Xanthogaleruca,,maculicollis,,,,,ニレハムシ,,,,,,,Xanthogaleruca maculicollis,ニレ類、ケヤキ,,ハムシハンドブック,4~10月
H282,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Xanthogaleruca,,nigromarginata,,,,,クロヘリウスチャハムシ,,,,,,,Xanthogaleruca nigromarginata,不明,,ハムシ目録データベース,
H283,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Xanthogaleruca,,seminigra,,,,,カエデハムシ,,,,,,,Xanthogaleruca seminigra,不明,,ハムシ目録データベース,
H284,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Agelasa,,nigriceps,,,,,キクビアオハムシ,,,,,,,Agelasa nigriceps,サルナシ、オオバアサガラ、枯葉（幼虫）,,ハムシ目録データベース,4~5月、8月(山地では6~7月、9~10月)
H285,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Agelastica,,coerulea,,,,,ハンノキハムシ,,,,,,,Agelastica coerulea,ハンノキ、ヤシャブシ類、シラカバ,,ハムシハンドブック,4~8月(山地では8~10月)
H286,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Arthrotus,,niger,,,,,ムナグロツヤハムシ,,,,,,,Arthrotus niger,ハンノキ、クワ、イタヤカエデなど,,ハムシハンドブック,3~10月
H287,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Dercetina,,azumai,,,,,アオバヒゲナガハムシ,,,,,,,Dercetina azumai,不明,,ハムシ目録データベース,
H288,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Gallerucida,,bifasciata,,,,,イタドリハムシ,,,,,,,Gallerucida bifasciata,イタドリ、オオイタドリ、スイバなど,,ハムシハンドブック,3~9月
H289,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Gallerucida,,flavipennis,,,,,ズグロアカハムシ,,,,,,,Gallerucida flavipennis,不明,,ハムシ目録データベース,
H290,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Gallerucida,,lewisi,,,,,ムツキボシハムシ,,,,,,,Gallerucida lewisi,不明,,ハムシ目録データベース,
H291,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Gallerucida,,oshimana,,,,,アマミカバイロハムシ,,,,,,,Gallerucida oshimana,不明,,ハムシ目録データベース,
H292,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hamushia,,eburata,,,,,ヨツキボシハムシ,,,,,,,Hamushia eburata,ウシハコベ、ハコベ,,ハムシ目録データベース,3~7月
H293,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hamushia,,konishii,,,,,ヨモギモンキハムシ,,,,,,,Hamushia konishii,不明,,ハムシ目録データベース,
H294,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Morphosphaera,,caerulea,,,,,オキナワイチモンジハムシ,,,,,,,Morphosphaera caerulea,不明,,ハムシ目録データベース,
H295,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Morphosphaera,,japonica,,,,,イチモンジハムシ,,,,,,,Morphosphaera japonica,イヌビワ、イタビ類,,ハムシハンドブック,4~7月
H296,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphenoraia,,intermedia,,,,,アオバノコヒゲハムシ,,,,,,,Sphenoraia intermedia,不明,,ハムシ目録データベース,
H297,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Atrachya,,flavomaculata,,,,,モンキウリハムシモドキ,,,,,,,Atrachya flavomaculata,不明,,ハムシ目録データベース,
H298,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Atrachya,,menetriesi,,,,,ウリハムシモドキ,,,,,,,Atrachya menetriesi,マメ科植物など,,ハムシ目録データベース,5~10月
H299,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,bicolor,,,,,フタイロウリハムシ,,,,,,,Aulacophora bicolor,不明,,ハムシ目録データベース,
H300,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,indica,,,,,ウリハムシ,,,,,,,Aulacophora indica,ウリ類、カボチャ,,ハムシハンドブック,4~10月
H301,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,lewisii,,,,,ヒメクロウリハムシ,,,,,,,Aulacophora lewisii,不明,,ハムシ目録データベース,
H302,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,loochooensis,,,,,ルリバネウリハムシ,,,,,,,Aulacophora loochooensis,不明,,ハムシ目録データベース,
H303,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,nigripennis,,,,,クロウリハムシ,,,,,,,Aulacophora nigripennis,ウリ類,,ハムシ目録データベース,4~10月
H304,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,nigripennis,,,,,クロウリハムシ　奄美沖縄亜種,,,,,,,Aulacophora nigripennis,ウリ類,,ハムシ目録データベース,4~10月
H305,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aulacophora,,nigripennis,,,,,クロウリハムシ　伊豆諸島亜種,,,,,,,Aulacophora nigripennis,ウリ類,,ハムシ目録データベース,4~10月
H306,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Cerophysa,,miyatakei,,,,,オキナワヒメナガハムシ,,,,,,,Cerophysa miyatakei,不明,,ハムシ目録データベース,
H307,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Cerophysa,,tibialis,,,,,クロバヒゲナガハムシ,,,,,,,Cerophysa tibialis,ハンノキ類,,ハムシ目録データベース,6~8月
H308,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Cerophysella,,basalis,,,,,カクムネヒゲナガハムシ,,,,,,,Cerophysella basalis,不明,,ハムシ目録データベース,
H309,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Charaea,,costatum,,,,,アトスジヒメハムシ,,,,,,,Charaea costatum,不明,,ハムシ目録データベース,
H310,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Clerotilia,,flavomarginata,,,,,キアシヒゲナガアオハムシ,,,,,,,Clerotilia flavomarginata,ネコノチチ、クマヤナギ類,,ハムシハンドブック,7~9月
H311,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Cneorane,,elegans,,,,,キムネアオハムシ,,,,,,,Cneorane elegans,不明,,ハムシ目録データベース,
H312,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Epaenidea,,elegans,,,,,アオバヒメハムシ,,,,,,,Epaenidea elegans,不明,,ハムシ目録データベース,
H313,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Epaenidea,,reoi,,,,,ケラマヒメハムシ,,,,,,,Epaenidea reoi,不明,,ハムシ目録データベース,
H314,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Epiluperodes,,ryukyuana,,,,,キイロヒメハムシ,,,,,,,Epiluperodes ryukyuana,不明,,ハムシ目録データベース,
H315,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Euliroetis,,abdominalis,,,,,クロバハラグリハムシ,,,,,,,Euliroetis abdominalis,ダイズ,,ハムシ目録データベース,5~6月
H316,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Euliroetis,,nigripes,,,,,クロアシハラグリハムシ,,,,,,,Euliroetis nigripes,不明,,ハムシ目録データベース,
H317,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Euliroetis,,ornata,,,,,シロモンハラグリハムシ,,,,,,,Euliroetis ornata,不明,,ハムシ目録データベース,
H318,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Fleutiauxia,,armata,,,,,クワハムシ,,,,,,,Fleutiauxia armata,クワ、コウゾ、ヤマノイモ、クリ、フジ、ヤマノイモ類など,,ハムシ目録データベース,3~8月
H319,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Haplosomoides,,costata,,,,,ホソセスジハムシ,,,,,,,Haplosomoides costata,不明,,ハムシ目録データベース,
H320,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Haplosomoides,,miyamotoi,,,,,キセスジハムシ,,,,,,,Haplosomoides miyamotoi,不明,,ハムシ目録データベース,
H321,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hesperomorpha,,hirsuta,,,,,ケブカクロナガハムシ,,,,,,,Hesperomorpha hirsuta,ミズナラ、コナラ,,ハムシ目録データベース,4~7月
H322,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Japonitata,,nigrita,,,,,クロセスジハムシ,,,,,,,Japonitata nigrita,不明,,ハムシ目録データベース,
H323,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Liroetis,,coeruleipennis,,,,,ルリバネナガハムシ,,,,,,,Liroetis coeruleipennis,不明,,ハムシ目録データベース,
H324,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperus,,laricis,,,,,ムナキホソヒゲナガハムシ,,,,,,,Luperus laricis,不明,,ハムシ目録データベース,
H325,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperus,,laricis,,,,,ムナキホソヒゲナガハムシ　本州亜種,,,,,,,Luperus laricis,不明,,ハムシ目録データベース,
H326,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperus,,moorii,,,,,クロウスバハムシ,,,,,,,Luperus moorii,不明,,ハムシ目録データベース,
H327,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Medythia,,nigrobilineata,,,,,フタスジヒメハムシ,,,,,,,Medythia nigrobilineata,マメ科植物、ダイズ,,ハムシ目録データベース,5~10月
H328,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Medythia,,suturalis,,,,,フトスジヒメハムシ,,,,,,,Medythia suturalis,不明,,ハムシ目録データベース,
H329,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,chujoi,,,,,コモンアシナガハムシ,,,,,,,Monolepta chujoi,不明,,ハムシ目録データベース,
H330,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,dichroa,,,,,ホタルハムシ,,,,,,,Monolepta dichroa,ヨモギ、ヨメナ、タデ類、イネ科、マメ科牧草など,,ハムシハンドブック,6~11月
H331,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,fulvicollis,,,,,アオバアシナガハムシ,,,,,,,Monolepta fulvicollis,不明,,ハムシ目録データベース,
H332,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,hiurai,,,,,ヒウラアシナガハムシ,,,,,,,Monolepta hiurai,不明,,ハムシ目録データベース,
H333,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,kurosawai,,,,,ムネアカウスイロハムシ,,,,,,,Monolepta kurosawai,不明,,ハムシ目録データベース,
H334,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,minor,,,,,ヒメアシナガハムシ,,,,,,,Monolepta minor,不明,,ハムシ目録データベース,
H335,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,miyamotoi,,,,,ミヤモトアシナガハムシ,,,,,,,Monolepta miyamotoi,不明,,ハムシ目録データベース,
H336,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,nojiriensis,,,,,ヒメウスイロハムシ,,,,,,,Monolepta nojiriensis,不明,,ハムシ目録データベース,
H337,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,pallidula,,,,,キイロクワハムシ,,,,,,,Monolepta pallidula,柑橘類、クヌギ、ミズナラ、ハイビスカス、ポンカン類など,,ハムシ目録データベース,7~10月
H338,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,quadriguttata,,,,,モンキアシナガハムシ,,,,,,,Monolepta quadriguttata,ダイズ、ウリ類,,ハムシ目録データベース,5~10月
H339,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,sakishimana,,,,,サキシマアシナガハムシ,,,,,,,Monolepta sakishimana,不明,,ハムシ目録データベース,
H340,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Monolepta,,shirozui,,,,,シロウズアシナガハムシ,,,,,,,Monolepta shirozui,不明,,ハムシ目録データベース,
H341,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Paridea,,(Paridea),,,,,アトボシハムシ,,,,,,,Paridea (Paridea),アマチャヅル、カラスウリなど,,ハムシハンドブック,3~11月
H342,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Paridea,,(Paridea),,,,,ヨツボシハムシ,,,,,,,Paridea (Paridea),シラヤマギク、ヨメナなど,,ハムシハンドブック,4~9月
H343,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,akkoae,,,,,ハラマダラヒメハムシ,,,,,,,Taphinellina akkoae,不明,,ハムシ目録データベース,
H344,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,amamiensis,,,,,アマミキバラヒメハムシ,,,,,,,Taphinellina amamiensis,不明,,ハムシ目録データベース,
H345,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,chujoi,,,,,ニセキバラヒメハムシ,,,,,,,Taphinellina chujoi,不明,,ハムシ目録データベース,
H346,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,cyanea,,,,,ハラグロヒメハムシ,,,,,,,Taphinellina cyanea,キブシ、ボタンヅル、センニンソウ、ウツギなどを訪花,,ハムシハンドブック,4~9月
H347,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,flaviventris,,,,,キバラヒメハムシ,,,,,,,Taphinellina flaviventris,クリ、ノリウツギなどを訪花,,ハムシ目録データベース,5~9月
H348,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,iniqua,,,,,ルリヒラタヒメハムシ,,,,,,,Taphinellina iniqua,不明,,ハムシ目録データベース,
H349,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Taphinellina,,nobyi,,,,,オオルリヒメハムシ,,,,,,,Taphinellina nobyi,不明,,ハムシ目録データベース,
H350,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Theopea,,aureoviridis,,,,,キンリョクヒゲナガハムシ,,,,,,,Theopea aureoviridis,不明,,ハムシ目録データベース,
H351,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Oides,,bowringii,,,,,キベリハムシ,,,,,,,Oides bowringii,ビナンカズラなど,,ハムシ目録データベース,6~8月
H352,Chrysomelidae,ハムシ科,Criocerinae,ホソハムシ亜科,,,,,Syneta,,adamsi,,,,,カバノキハムシ,,,,,,,Syneta adamsi,カンバ、シデ、ブナなど,,ハムシ目録データベース,4~9月
H353,Chrysomelidae,ハムシ科,Criocerinae,ホソハムシ亜科,,,,,Syneta,,brevitibialis,,,,,ヒメカバノキハムシ,,,,,,,Syneta brevitibialis,不明,,ハムシ目録データベース,
H354,Chrysomelidae,ハムシ科,コガネハムシ亜科,コガネハムシ亜科,,,,,Sagra,,femorata,,,,,フェモラータモモブトハムシ,,,,,,,Sagra femorata,クズ、マメ科、ヒルガオ科、ヤマノイモ科、柑橘類、コーヒーなど,,ハムシ目録データベース,7~8月
H355,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Spermophagus,,rufiventris,,,,,イクビマメゾウムシ,,,,,,,Spermophagus rufiventris,コクララの実、フジマメ、ヒルガオ、カエデ、ウツギ、ミズキなどの花,,ハムシハンドブック,不明
H356,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Spermophagus,,testaceicolor,,,,,チャイロイクビマメゾウムシ,,,,,,,Spermophagus testaceicolor,不明,,ハムシ目録データベース,
H357,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Zabrotes,,subfasciatus,,,,,ブラジルマメゾウムシ,,,,,,,Zabrotes subfasciatus,インゲン、ベニバナインゲン、アズキなど,,ハムシ目録データベース,不明
H358,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Acanthoscelides,,griseolus,,,,,キョウトマメゾウムシ,,,,,,,Acanthoscelides griseolus,不明,,ハムシ目録データベース,
H359,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Acanthoscelides,,obtectus,,,,,インゲンマメゾウムシ,,,,,,,Acanthoscelides obtectus,貯蔵インゲン,,ハムシハンドブック,7~9月
H360,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Acanthoscelides,,pallidipennis,,,,,イタチハギマメゾウムシ,,,,,,,Acanthoscelides pallidipennis,イタチハギ,,ハムシ目録データベース,不明
H361,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Acanthoscelides,,pusillimus,,,,,チビマメゾウムシ,,,,,,,Acanthoscelides pusillimus,不明,,ハムシ目録データベース,
H362,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Borowiecius,,ademptus,,,,,チャバラマメゾウムシ,,,,,,,Borowiecius ademptus,不明,,ハムシ目録データベース,
H363,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchidius,,japonicus,,,,,サムライマメゾウムシ,,,,,,,Bruchidius japonicus,ヤマハギの実、ニセアカシアなどの花,,ハムシハンドブック,不明
H364,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchidius,,lautus,,,,,ヒゲナガマメゾウムシ,,,,,,,Bruchidius lautus,不明,,ハムシ目録データベース,
H365,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchidius,,serricollis,,,,,シリグロマメゾウムシ,,,,,,,Bruchidius serricollis,不明,,ハムシ目録データベース,
