和名,学名,成虫発生時期,成虫発生時期に関する備考
アケビコノハ,Eudocima tyrannus (Guenée, 1852),5月から晩秋まで,
キマエコノハ,Eudocima salaminia (Cramer, 1777),6~11月,
タイワンキシタクチバ,Hypocala subsatura Guenée, 1852,不明,偶産発生し、定着性はないと考えられる。
インドキシタクチバ,Hypocala rostrata (Fabricius, 1794),1~11月,偶産種と思われ、一時的な発生はあっても定着していないと考えられる。
ムーアキシタクチバ,Hypocala deflorata (Fabricius, 1794),5~10月,
ヘリボシキシタクチバ,Hypocala violacea (Butler, 1879),3~9月,偶産と考えられる。
ヒロオビキシタクチバ,Hypocala biarcuata Walker, 1858,不明,多化性。
ベニモンコノハ,Phyllodes consobrinus Westwood, 1848,5~8月,
ハナジロクチバ,Hypospila bolinoides Guenée, 1852,5~11月,
メイガモドキクチバ,Tochara creberrima (Walker, 1858),不明,
シロオビクルマコヤガ,Trisateles emortualis (Denis & Schiffermüller, 1775),5~8月,
マルモンウスヅマアツバ,Bomolocha bicoloralis Graeser, 1889,6~9月,年2化。
ホシムラサキアツバ,Bomolocha nigrobasalis Herz, 1905,5~8月,年2化。
ムラクモアツバ,Bomolocha melanica Sugi, 1959,6~7月,
マガリウスヅマアツバ,Bomolocha mandarina (Leech, 1900),不明,
クロスジュミモンクチバ,Melapia japonica (Ogata, 1961),5~10月,多化と推定される。
フタクロオビクチバ,Melapia bifasciata (Inoue & Sugi, 1961),4~11月,
ヤエヤマサンカククチバ,Melapia kishidai Sugi, 1968,3~12月,多化と推定される。
ヨシノツマキリアツバ,Pangrapta yoshinensis Wileman & West, 1928,6~8月,
ナカグロツマキリアツバ,Pangrapta disruptalis (Walker, 1855),6~7月,
ツマジロツマキリアツバ,Pangrapta lunulata (Sterz, 1915),5~9月,
マエモンツマキリアツバ,Pangrapta costinotata (Butler, 1881),5~8月,
ミツボシツマキリアツバ,Pangrapta vasava (Butler, 1881),6~7月,
ツシマツマキリアツバ,Pangrapta trilineata (Leech, 1900),7月,
リンゴツマキリアツバ,Pangrapta obscurata (Butler, 1879),5~6月と7~9月,年2化。
アサマツマキリアツバ,Pangrapta minor Sugi, 1982,6~7月,
キマエアツバ,Adrapsa ablualis Walker, 1858,3~11月,多化性。
フジロアツバ,Adrapsa notigera (Butler, 1879),5~11月,多化性。
マルバネウスグロアツバ,Hydrillodes pacifica Owada, 1982,不明,周年経過は前種と同様、1化目の個体はやや大きい。
ハネブタアツバ,Hydrillodes uenoi Owada, 1987,3月から4月,
ソトウスグロアツバ,Hydrillodes lentalis Guenée, 1854,不明,年間を通じて採集される。
フタスジアツバ,Bertula bistrigata (Staudinger, 1888),6~8月,年1~2化し。
シロスジアツバ,Bertula spacoalis (Walker, 1859),6~9月,年1~2化し。
ウチキアツバ,Bertula sinuosa (Leech, 1900),不明,
アシブトアツバ,Hywoolla jeremyi Owada, 2010,3月と7月,多化性と思われる。
ヒメヒゲブトクロアツバ,Nodaria externalis Guenée, 1854,不明,多化性と思われる。
ヒゲブトクロアツバ,Nodaria tristis (Butler, 1879),不明,本州の産地では年1化、暖地では少ないながら2化目が出る。
オガサワラヒゲブトクロアツバ,Nodaria ogasawarensis Owada, 1987,不明,多化性。
アカマエアツバ,Simplicia rectalis (Eversmann, 1842),5~10月,年2回程度出現する。
シロヘリアツバ,Simplicia mistacalis (Guenée, 1854),3~9月,
オオアカマエアツバ,Simplicia niphona (Butler, 1878),5月頃から10月過ぎまで,多化性。
ニセアカマエアツバ,Simplicia xanthoma Prout, 1928,不明,
ウスグロアツバ,Traudinges fumosa (Butler, 1879),5~7月と8~9月,年2回発生。
ハスオビアツバ,Traudinges obliqua (Staudinger, 1892),6~9月,年2回発生。
ヒメコブヒゲアツバ,Treitschkendia tarsipennalis (Treitschke, 1835),不明,年2化以上する。
ヒメツマオビアツバ,Treitschkendia subgriselda (Sugi, 1958),6~9月,年2化。
キイロアツバ,Treitschkendia helva (Butler, 1879),7~8月,年1化。平地では年2化、5~9月に見られ。
アミメアツバ,Adrapsoides reticulatis (Leech, 1900),不明,本州中部以北では年1化、暖地では多化性になる。
チョウセンコウスグロアツバ,Hypertrocon umbrosalis (Staudinger, 1892),6月から9月,年2化以上しているだろう。
コウスグロアツバ,Hypertrocon southi (Owada, 1982),不明,
カサイヌマアツバ,Hypertrocon perfractalis (Bryk, 1949),6~8月,
ウラジロアツバ,Hypertrocon violacealis (Staudinger, 1892),5月から9月,年2化以上。
カシワアツバ,Pechipogo strigilata (Linnaeus, 1758),6~7月と8月,年2回発生。
ナガキバアツバ,Polypogon gryphalis (Herrich-Schäffer, 1851),6~8月,年1化と思われ。
コブヒゲアツバ,Zanclognatha lunalis (Scopoli, 1763),7~8月,年1化。
ホンドコブヒゲアツバ,Zanclognatha curvilinea (Wileman & South, 1917),5月から9月頃,年2化以上。
ヤクシマコブヒゲアツバ,Zanclognatha yakushimalis Sugi, 1959,5月から10月頃,年3化以上。
ヤエヤマコブヒゲアツバ,Zanclognatha yaeyamalis Owada, 1977,3月から10月,多化性。
クロスジアツバ,Herminia grisealis (Denis et Schiffermüller, 1775),4~9月,年2化以上。
ヒメナミアツバ,Herminia kurokoi Owada, 1987,不明,
ヨスジカバイロアツバ,Herminia robiginosa Staudinger, 1888,6~8月,
タイワンシラナミアツバ,Herminia decipiens (Hampson, 1898),3月と6月,多化性であろう。
トビスジアツバ,Herminia tarsicrinalis (Knoch, 1782),4月から10月,年数回発生する。
キタミスジアツバ,Herminia stramentacealis Bremer, 1864,5月と7月,年2化。
