和名,学名,成虫発生時期,備考
アヤモクメキリガ,"Xylena fumosa (Butler, 1878)",11月～4月,年1化。成虫で越冬する。
アルプスギンウワバ,"Syngrapha ottolenguii (Dyar, 1903)",7月～8月,年1化。
アルプスクロヨトウ,"Apamea rubrirena (Treitschke, 1825)",7月下旬～8月,年1化。
アルプスヤガ,"Xestia speciosa (Hübner, [1813])",7月下旬～9月中旬,年1化。高山帯での発生時期。
アワヨトウ,"Mythimna separata (Walker, 1865)",4月～11月,4～5回。幼虫態で越冬することが多い。
イシカリヨトウ,"Apamea oblonga (Haworth, 1809)",7月下旬～9月上旬,年1化。幼虫越冬。
イシダシャチホコ,"Peridea graeseri (Staudinger, 1892)",6~8月,年2化。
イセキリガ,"Agrochola sakabei Sugi, 1980",10月下旬～11月,年1化。成虫越冬はしない。
イタヤキリガ,"Cosmia trapezina (Linnaeus, 1758)",6月～10月,年1化。
イチゴキリガ,"Orbona fragariae (Vieweg, 1790)",11月～4月,年1化。成虫で越冬する。
イチモジキノコヨトウ,"Bryophila granitalis (Butler, 1881)",6月～9月,年1化と思われる。若齢幼虫で越冬する。
イチモジヒメヨトウ,"Xylomoia fusei Sugi, 1976",5月,
イナズマヒメクチバ,"Mecodina albodentata (Swinhoe, 1895)",4月～10月,
イネキンウワバ,"Plusia festucae (Linnaeus, 1758)",6月～9月,年2化。幼虫越冬する。
イネヨトウ,"Sesamia inferens (Walker, 1856)",5月～9月,多いところで年3化。
イブシギンウワバ,"Chrysodeixis heberachis (Strand, 1920)",3月～,石垣島では3月から普通に見られる。
イボタケンモン,"Craniophora ligustri (Denis & Schiffermüller, 1775)",7月～9月,年2化と思われる。蛹で越冬する。
イラクサギンウワバ,"Trichoplusia ni (Hübner, 1803)",通年,熱帯・亜熱帯では通年発生。日本では越冬できないと思われる。
イラクサマダラウワバ,"Abrostola triplasia (Linnaeus, 1758)",4月～5月、7月～9月,年2回。暖地では3化の可能性もある。蛹で越冬する。
イリオモテアオシャチホコ,"Vaneeckeia pallidifascia (Hampson, 1893)",3~10月,多化と推定される。
インドキシタクチバ,"Hypocala rostrata (Fabricius, 1794)",1~11月,偶産種と思われ、一時的な発生はあっても定着していないと考えられる。
ウグイスセダカヨトウ,"Mormo cyanea Sugi, 1982",7月～8月,年1化と思われる。
ウスアオキノコヨトウ,"Stenoloba clara (Leech, [1889])",7月～8月,年1化と思われる。
ウスアオモンコヤガ,"Bryophilina mollicula (Graeser, 1889)",5月～6月,
ウスアオヨトウ,"Polyphaenis subviridis (Butler, 1878)",5月～6月,年1化。幼虫越冬。
ウスアカキヨトウ,"Mythimna curvilinea (Hampson, 1891)",3月,
ウスイロキヨトウ,"Mythimna inanis (Oberthür, 1880)",6月,年1回。
ウスイロギンモンシャチホコ,"Spatalia doerriesi (Graeser, 1888)",5~9月,年2化。蛹越冬。
ウスイロケンモン,"Thalatha japonica Sugi, 1982",5月～6月、7月～9月,年2化。
ウスイロフサヤガ,"Atacira melanephra (Hampson, 1912)",7月,
ウスオビクチバ,"Mocis frugalis (Fabricius, 1775)",3月～11月,
ウスオビヤガ,"Pyrrhia bifasciata (Staudinger, 1888)",7月～9月,幼虫は8～9月に見られ、老熟すると土中に入って蛹化し、そのまま越冬する。
ウスキミスジアツバ,"Herminia arenosa Butler, 1878",4~9月,年2~3回の発生。
ウスクモヨトウ,"Pabulatrix pabulatricula (Brahm, 1791)",7月下旬～8月,年1化。
ウスグロアツバ,"Traudinges fumosa (Butler, 1879)",5~7月と8~9月,年2回発生。
ウスグロクチバ,"Avitta puncta Wileman, 1911",3月～9月,成虫で越冬すると推定される。
ウスグロシマヨトウ,"Eucarta arcta (Lederer, 1853)",6月～7月,
ウスグロマダラウワバ,"Abrostola sugii Dufay, 1960",5月～6月、7月～8月,年2化。
ウスグロヨトウ,"Athetis funesta (Staudinger, 1888)",5月下旬～6月中旬,年1化。
ウスジロケンモン,"Acronicta lutea (Bremer & Grey, 1852)",5月～6月,年1化。
ウスジロドクガ,"Calliteara virginea (Oberthür, 1879)",5~6月,年1化。
ウスタビガ,"Rhodinia fugax (Butler, 1877)",10月～11月,年1化。卵で越冬する。
ウスチャマエモンコヤガ,"Chorsia costimacula (Oberthür, 1880)",6月～9月,年2化と考えられている。
ウスヅマシャチホコ,"Lophontosia cuculus (Staudinger, 1887)",5月からと8月から,年2化。
