大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,出典
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,bisegmentata,,Hashimoto,2006,,フタフシズアカヒロコバネ,フタフシズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria bisegmentata Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,coruscans,,Imada & Kato,2018,,トオヤマタカネコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,bilobata,,Imada & Kato,2018,,イカワタカネコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Micropterigidae,コバネガ科,,,,,,,Kurokopteryx,,dolichocerata,,Hashimoto,2006,,ホソクロズコバネ,,,,,,,"Kurokopteryx dolichocerata Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
4,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,nipponensis,,Issiki,1931,,ニッポンヒロコバネ,,,,,,,"Neomicropteryx nipponensis Issiki, 1931",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kiwana,,Hashimoto,2006,,キイヒロコバネ,キィヒロコバネ; キィヒロコバネ（和名新称）,,,,,,"Neomicropteryx kiwana Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,redacta,,Hashimoto,2006,,オワセヒロコバネ,オワセヒロコバネ（和名新称）,,,,,,"Neomicropteryx redacta Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
5,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,matsumurana,,Issiki,1931,,マツムラヒロコバネ,,,,,,,"Neomicropteryx matsumurana Issiki, 1931",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
6,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,bifurca,,Issiki,1953,,サンダンキョウヒロコバネ,,,,,,,"Neomicropteryx bifurca Issiki, 1953",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
8,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,cornuta,,Issiki,1953,,イシヅチヒロコバネ,,,,,,,"Neomicropteryx cornuta Issiki, 1953",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
7,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,elongata,,Issiki,1953,,ツルギヒロコバネ,,,,,,,"Neomicropteryx elongata Issiki, 1953",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kazusana,,Hashimoto,1992,,カズサヒロコバネ,,,,,,,"Neomicropteryx kazusana Hashimoto, 1992",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
13,Eriocraniidae,スイコバネガ科,,,,,,,Issikiocrania,,japonicella,,Moriuti,1982,,イッシキスイコバネ,,,,,,,"Issikiocrania japonicella Moriuti, 1982",プナ (プナ科),日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,unimaculella,,(Zetterstedt),1839,,シロテンスイコバネ,シロテンスイコバネ（和名新称）,,,,,,"Eriocrania unimaculella (Zetterstedt, 1839)",シラカンバ (カバノキ科),日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,komaii,,"Mizukawa, Hirowatari & Hashimoto",2006,,ムラサキマダラスイコバネ,,,,,,,"Eriocrania komaii Mizukawa, Hirowatari & Hashimoto, 2006",ウラジロノキ (バラ科); の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; ; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; ; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; ; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; ; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い; の可能性が高い,日本産蛾類標準図鑑3
11,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sparrmannella,,(Bosc),1791,,キンマダラスイコバネ,,,,,,,"Eriocrania sparrmannella (Bosc, 1791)",シラカンバ (カバノキ科),日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sakhalinella,,Kozlov,1983,,ハンノキスイコバネ,,,,,,,"Eriocrania sakhalinella Kozlov, 1983",ハンノキ類 (カバノキ科); ケヤマハンノキ; ハンノキ; タニガワハンノキ; ケヤマハンノキ; ハンノキ; タニガワハンノキ; ケヤマハンノキ; ハンノキ; タニガワハンノキ; ケヤマハンノキ; ハンノキ; タニガワハンノキ; ケヤマハンノキ; ハンノキ; タニガワハンノキ,日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,"sp. 2 of Hirowatari, 2013",,,,,ミズメスイコバネ,ミズメスイコバネ（和名新称）; オオダイスイコバネ; オオダイスイコバネ（和名新称）; キンオビスイコバネ; キンオビスイコバネ（和名新称）,,,,,,Eriocrania sp. 2,ミズメ (カバノキ科); プナ (プナ科),日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,sangii,,(Wood),1891,,クロムラサキスイコバネ,クロムラサキスイコバネ（和名新称）,,,,,,"Eriocrania sangii (Wood, 1891)",シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ; シラカンバ,日本産蛾類標準図鑑3
10+12,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,semipurpurella,,(Stephens),1835,,オオスイコバネ,オオスイコバネ,キンイロスイコバネ,,,,,"Eriocrania semipurpurella (Stephens, 1835)",シラカンバ (カバノキ科),日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,carpinella,,"Mizukawa, Hirowatari & Hashimoto",2010,,アカシデスイコバネ,,,,,,,"Eriocrania carpinella Mizukawa, Hirowatari & Hashimoto, 2010",サワシバ (以上カバノキ科); アカシデ; イヌシデ; アカシデ; イヌシデ; アカシデ; イヌシデ; アカシデ; イヌシデ; アカシデ; イヌシデ,日本産蛾類標準図鑑3
18,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,chishimana,,(Matsumura),1931,,チシマシロスジコウモリ,,,,,,,"Gazoryctra chishimana (Matsumura, 1931)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
17,Hepialidae,コウモリガ科,,,,,,,Gazoryctra,,macilenta,,(Eversmann),1851,,オオギンスジコウモリ,,,,,,,"Gazoryctra macilenta (Eversmann, 1851)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
19,Hepialidae,コウモリガ科,,,,,,,Palpifer,,sexnotatus,,(Moore),1879,,シロテンコウモリ,シロテンコウモリ,,,,,,"Palpifer sexnotatus (Moore, 1879)",不明,日本産蛾類標準図鑑3
16,Hepialidae,コウモリガ科,,,,,,,Pharmacis,,fusconebulosa,,(De Geer),1778,,キタコウモリ,キタコウモリ,,,,,,"Pharmacis fusconebulosa (De Geer, 1778)",イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎; イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎; イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎; イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎; イギリスではワラビ Pteridium aquilinum （ウラボシ科）の茎; 根茎,日本産蛾類標準図鑑3
15,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,variabilis,,(Bremer),1861,,ヒメコウモリ,,,,,,,"Thitarodes variabilis (Bremer, 1861)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Hepialidae,コウモリガ科,,,,,,,Thitarodes,,nipponensis,,Ueda,1996,,ウスイロコウモリ,,,,,,,"Thitarodes nipponensis Ueda, 1996",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
14,Hepialidae,コウモリガ科,,,,,,,Phymatopus,,japonicus,,Inoue,1982,,キンスジコウモリ,,標準図鑑：ギンスジコウモリ,,,,,,不明; 不明; 不明; 不明; 不明,
21,Hepialidae,コウモリガ科,,,,,,,Endoclita,,excrescens,,(Butler),1877,,コウモリガ,,,,,,,"Endoclita excrescens (Butler, 1877)",ヤナギ類ギンドロ (以上ヤナギ科); キリ (ゴマノハグサ科); クヌギ (プナ科); アカメガシワ (トウダイグサ科),日本産蛾類標準図鑑3
20,Hepialidae,コウモリガ科,,,,,,,Endoclita,,sinensis,,(Moore),1877,,キマダラコウモリ,,,,,,,"Endoclita sinensis (Moore, 1877)",キリ (ゴマノハグサ科); クヌギ (プナ科); ジャガイモ (ナス科); 草本; ; ; ; 草本; ; ; ; 草本; ; ; ; 草本; ; ; ; 草本,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Enteucha,,sp. of Owada et al. 2006,,,,,ミズヒキモグリチビガ,,,,,非掲載,,,不明; 不明; 不明; 不明; 不明,
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kurilensis,,Puplesis,1987,,クナシリモグリチビガ,,,,,,,"Stigmella kurilensis Puplesis, 1987",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,monella,,Puplesis,1984,,ウリカエデモグリチビガ,ウリカエデモグリチビガ（和名新称）,,,,,,"Stigmella monella Puplesis, 1984",イタヤカエデ (以上ムクロジ科); ウリカエデ; ウリハダカエデ; ミネカエデ; ウリカエデ; ウリハダカエデ; ミネカエデ; ウリカエデ; ウリハダカエデ; ミネカエデ; ウリカエデ; ウリハダカエデ; ミネカエデ; ウリカエデ; ウリハダカエデ; ミネカエデ,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,orientalis,,Kemperman & Wilkinson,1985,,ヤクシマモグリチビガ,,,,,,,"Stigmella orientalis Kemperman & Wilkinson, 1985",ミヤマウリカエデ (ムクロジ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,ultima,,Puplesis,1984,,イタヤモグリチビガ,,,,,,,"Stigmella ultima Puplesis, 1984",イロハモミジ (以上カエデ科); イタヤカエデ; イタヤカエデ; イタヤカエデ; イタヤカエデ; イタヤカエデ; ; イタヤカエデ; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; ; イタヤカエデ; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; ; イタヤカエデ; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; ; イタヤカエデ; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;; イタヤカエデ;,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,nireae,,Kemperman & Wilkinson,1985,,ニレモグリチビガ,ニレモグリチビガ（和名新称）,,,,,,"Stigmella nireae Kemperman & Wilkinson, 1985",ハルニレ (ニレ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,palionisi,,Puplesis,1984,,ナカムラモグリチビガ,ナカムラモグリチビガ（和名新称）,,,,出版後の追加,名前変更,"Stigmella nakamurai Kemperman & Wilkinson, 1985",ハルニレ (ニレ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,morivora,,Hirano,2010,,ヤマグワモグリチビガ,,,,,,,"Stigmella morivora Hirano, 2010",ヤマグワ (クワ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,naturnella,,(Klimesch),1936,,ホソオビモグリチビガ,ホソオビモグリチビガ（和名新称）,,,,,,"Stigmella naturnella (Klimesch, 1936)",オノオレカンパ (以上カバノキ科); シラカンパ; シラカンパ; シラカンパ; シラカンパ; シラカンパ; ; シラカンパ; シラカンパ;; シラカンパ;; シラカンパ;; シラカンパ;; ; シラカンパ; シラカンパ;; シラカンパ;; シラカンパ;; シラカンパ;; ; シラカンパ; シラカンパ;; シラカンパ;; シラカンパ;; シラカンパ;; ; シラカンパ; シラカンパ;; シラカンパ;; シラカンパ;; シラカンパ;,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sashai,,Puplesis,1984,,シナノキモグリチビガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,betulicola,,(Stainton),1856,,シラカバモグリチビガ,,,,,,,"Stigmella betulicola (Stainton, 1856)",ダケカンバ (以上カバノキ科); シラカンパ; 各種のカバノキ科の Betula 属の葉; シラカンパ; 各種のカバノキ科の Betula 属の葉; シラカンパ; 各種のカバノキ科の Betula 属の葉; シラカンパ; 各種のカバノキ科の Betula 属の葉; シラカンパ; 各種のカバノキ科の Betula 属の葉,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,microtheriella,,(Stainton),1854,,イヌシデモグリチビガ,,アサダモグリチビガ,,,出版後の追加,名前変更,"Stigmella cathepostis Kemperman & Wilkinson, 1985",アカシデ (以上カバノキ科); イヌシデ; ツノハシパミ; イヌシデ; ツノハシパミ; イヌシデ; ツノハシパミ; イヌシデ; ツノハシパミ; イヌシデ; ツノハシパミ,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,nivenburgensis,,(Preissecker),1942,,ポプラモグリチビガ,ポプラモグリチビガ（和名新称）,,,,出版後の追加,名前変更,"Stigmella populnea Kemperman & Wilkinson, 1985",セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sakhalinella,,(Stainton),1854,,サハリンモグリチビガ,サハリンモグリチビガ（和名新称）,,,,,,"Stigmella sakhalinella Puplesis, 1984",シラカンパ (カバノキ科); 各種のカバノキ Betula 属の葉; 各種のカバノキ Betula 属の葉; 各種のカバノキ Betula 属の葉; 各種のカバノキ Betula 属の葉; 各種のカバノキ Betula 属の葉,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,conchyliata,,Kemperman & Wilkinson,1985,,ハンノモグリチビガ,,,,,,,"Stigmella conchyliata Kemperman & Wilkinson, 1985",一種 (カバノキ科); ハンノキの; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ; ハンノキの; ハンノキの; ハンノキの; ハンノキの; ハンノキの,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kumashidei,,Hirano,2014,,クマシデモグリチビガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,oplismeniella,,Kemperman & Wilkinson,1985,,チヂミザサモグリチビガ,,,,,,,"Stigmella oplismeniella Kemperman & Wilkinson, 1985",チヂミザサ (イネ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,titivillitia,,Kemperman & Wilkinson,1985,,ハンノクロエリモグリチビガ,ハンノクロエリモグリチビガ（和名新称）,,,,,,"Stigmella titivillitia Kemperman & Wilkinson, 1985",ケヤマハンノキ (以上カバノキ科); ヤマハンノキ; ヤマハンノキ; ヤマハンノキ; ヤマハンノキ; ヤマハンノキ; ; ヤマハンノキ; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ; ヤマハンノキ; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ; ヤマハンノキ; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ; ヤマハンノキ; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;; ヤマハンノキ;,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,kurotsubarai,,Kemperman & Wilkinson,1985,,クロツバラモグリチビガ,,,,,,,"Stigmella kurotsubarai Kemperman & Wilkinson, 1985",クロウメモドキ (以上クロウメモドキ科); クロツバラ; クロツバラ; クロツバラ; クロツバラ; クロツバラ; ; クロツバラ; クロツバラ;; クロツバラ;; クロツバラ;; クロツバラ;; ; クロツバラ; クロツバラ;; クロツバラ;; クロツバラ;; クロツバラ;; ; クロツバラ; クロツバラ;; クロツバラ;; クロツバラ;; クロツバラ;; ; クロツバラ; クロツバラ;; クロツバラ;; クロツバラ;; クロツバラ;,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,boehmeriae,,Kemperman & Wilkinson,1985,,コアカソモグリチビガ,,,,,,,"Stigmella boehmeriae Kemperman & Wilkinson, 1985",カラムシ (以上イラクサ科); コアカソ; コアカソ; コアカソ; コアカソ; コアカソ; ; コアカソ; コアカソ;; コアカソ;; コアカソ;; コアカソ;; ; コアカソ; コアカソ;; コアカソ;; コアカソ;; コアカソ;; ; コアカソ; コアカソ;; コアカソ;; コアカソ;; コアカソ;; ; コアカソ; コアカソ;; コアカソ;; コアカソ;; コアカソ;,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,azusa,,Hirano,2010,,アズサモグリチビガ,,,,,,,"Stigmella azusa Hirano, 2010",コゴメヤナギ (ヤナギ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,tenryuensis,,Hirano,2014,,テンリュウモグリチビガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,tranocrossa,,Kemperman & Wilkinson,1985,,キモンオビモグリチビガ,キモンオビモグリチビガ（和名新称）,,,,,,"Stigmella tranocrossa Kemperman & Wilkinson, 1985",セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）; セイヨウハコヤナギ（ポプラ）（ヤナギ科）,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,vittata,,Kemperman & Wilkinson,1985,,ヤナギモグリチビガ,,,,,,,"Stigmella vittata Kemperman & Wilkinson, 1985",ネコヤナギ; バッコヤナギ; シバヤナギ; ネコヤナギ; バッコヤナギ; シバヤナギ; ネコヤナギ; バッコヤナギ; シバヤナギ; ネコヤナギ; バッコヤナギ; シバヤナギ; ネコヤナギ; バッコヤナギ; シバヤナギ,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,alaurulenta,,Kemperman & Wilkinson,1985,,ズミクロエリモグリチビガ,ズミクロエリモグリチビガ（和名新称）,,,,,,"Stigmella alaurulenta Kemperman & Wilkinson, 1985",ズミ (バラ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,chaenomelae,,Kemperman & Wilkinson,1985,,クサボケモグリチビガ,,,,,,,"Stigmella chaenomelae Kemperman & Wilkinson, 1985",クサボケ (バラ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,honshui,,Kemperman & Wilkinson,1985,,リンゴクロモグリチビガ,,,,,,,"Stigmella honshui Kemperman & Wilkinson, 1985",リンゴ (バラ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,sorbivora,,Kemperman & Wilkinson,1985,,ウラジロノキモグリチビガ,,,,,,,"Stigmella sorbivora Kemperman & Wilkinson, 1985",ウラジロノキ (バラ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,zumii,,Kemperman & Wilkinson,1985,,ズミモグリチビガ,,,,,,,"Stigmella zmnii Kemperman & Wilkinson, 1985",ズミ (バラ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,egonokii,,Kemperman & Wilkinson,1985,,エゴノモグリチビガ,,,,,,,"Stigmella egonokii Kemperman & Wilkinson, 1985",エゴノキ (エゴノキ科),日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,monticulella,,Puplesis,1984,,スイカズラモグリチビガ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,lediella,,(Schleich),1867,,ツツジモグリチビガ,ツツジモグリチビガ（和名新称）,,,,出版後の追加,名前変更,"Stigmella sesplicata Kemperman & Wilkinson, 1985",一種 (ツツジ科); ヤマツツジ; ツツジ属の; ヤマツツジ; ツツジ属の; ヤマツツジ; ツツジ属の; ヤマツツジ; ツツジ属の; ヤマツツジ; ツツジ属の,日本産蛾類標準図鑑3
,Nepticulidae,モグリチビガ科,Nepticulinae,モグリチビガ亜科,,,,,Stigmella,,acrochaetia,,Kemperman & Wilkinson,1985,,アトヒロオビモグリチビガ,アトヒロオビモグリチビガ（和名新称）,,,,,,"Stigmella acrochaetia Kemperman & Wilkinson, 1985",不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
