和名,学名,成虫発生時期,成虫発生時期に関する備考
アマミミスジエダシャク,Hypomecis yuwanina (Sato, 1981),3月、6月、8月,少なくとも年3化。
ヒメミスジエдаシャク,Hypomecis kuriligena (Bryk, 1942),5月下旬から7月下旬、8月下旬~9月上旬,2化か3化する可能性。
フトオビエダシャク,Hypomecis crassestrigata (Christoph, 1881),4~6月と7~8月,年2化。北海道では6~7月に年1化かもしれない。蛹で越冬。
ソトシロオビエダシャク,Calicha ornataria (Leech, 1891),5~6月と8~9月 (中部地方以西),7~8月 (北海道や高標高地),年1化か年2化かもしれない。蛹越冬。
クロオオモンエダシャク,Microcalicha fumosaria (Leech, 1891),6月から10月頃,地域によって年に2~3化するものと思われる。蛹で越冬。
シタクモエдаシャク,Microcalicha sordida (Butler, 1878),4~6月と8~9月,年2化。蛹で越冬。
ヒロバウスアオエдаシャク,Paradarisa chloauges Prout, 1927,6~7月と9~11月,少なくとも年2化。
シナトビスジエдаシャク,Paradarisa consonaria (Hübner, 1799),不明,年1化で春の蛾であるが、地域によって7月頃まで見られる。蛹で越冬。
ナミスジエдаシャク,Racotis petrosa (Butler, 1879),4~5月と6~8月,年2化。
ホシミスジエダシャク,Racotis boarmiaria (Guenée, 1858),3月から11月頃,年に3化はするものと思われる。幼虫越冬と推定。
ウスチャトビモンエдаシャク,Psilalcis breta (Swinhoe, 1890),3~10月,年3~4化するものと思われる。
マエモンキエダシャク,Heterarmia costipunctaria (Leech, 1891),6~7月と8~9月,年2化。北海道や高標高地では年1化で7~8月。
ナミガタエダシャク,Heterarmia charon (Butler, 1878),5~7月 (9~10月にも得られるので2化の可能性も),幼虫で越冬。
トガリスジグロエダシャク,Heterarmia dissimilis (Staudinger, 1897),5~6月,年1化。
ツシマウスグロエдаシャク,Polymixinia appositaria (Leech, 1891),6~7月と9~10月,年2化。幼虫越冬と推定される。
オレクギエダシャク,Protoboarmia simpliciaria (Leech, 1897),5~6月と8~9月,年2化。北海道では7~8月発生の1化かもしれない。幼虫越冬。
ニセオレクギエダシャク,Protoboarmia faustinata (Warren, 1897),5~6月と8~9月,年2化。北海道ではおそらく年1化。幼虫で越冬。
ウスグロナミエダシャク,Phanerothyris sinearia (Guenée, 1858),5~6月と7~8月,年2化。北海道では1化かもしれない。蛹で越冬。
ハラゲエдаシャク,Diplurodes vestita Warren, 1896,2~4月と7~8月,屋久島では少なくとも年に2化。
ハラゲチビエダシャク,Satoblephara parvularia (Leech, 1891),4~6月と7~8月,年2化。蛹で越冬。
キバネトビスジエдаシャク,Myrioblephara cilicornaria (Püngeler, 1904),4月下旬から5月下旬,晩春~初夏の蛾。蛹で越冬。
チビトビスジエダシャク,Myrioblephara nanaria (Staudinger, 1897),5~6月と7~8月,年2化。越冬態は蛹である。
ハンノトビスジエダシャク,Aethalura ignobilis (Butler, 1878),4~6月と7~8月,年2化。越冬態は蛹。
ヨツメエダシャク,Ophthalmitis albosignaria (Bremer & Grey, 1853),5~6月と7~8月,年2化。北海道では6~7月の発生でおそらく年1化。蛹で越冬。
コヨツメエダシャク,Ophthalmitis irrorataria (Bremer & Grey, 1853),5~6月と7~8月,年2化。蛹で越冬。
シロモンキエダシャク,Parectropis similaria (Hufnagel, 1767),6~7月,年1化。
コケヒメエダシャク,Dischidesia kurokoi Inoue, 1963,7月下旬~8月中旬,年1化で。
シロテントビスジエдаシャク,Abaciscus albipunctata (Inoue, 1955),6月から9月頃,年1~2化。蛹で越冬。
スジグロエダシャク,Arbognophos amoenaria (Staudinger, 1897),7月中旬~8月上旬,年1化。
コウノエдаシャク,Elophos vittaria (Thunberg, 1788),7月中旬~8月上旬,年1化。最終越冬態は終齢か亜終齢幼虫と推測。
クロスジハイイロエダシャク,Hirasa paupera (Butler, 1881),5~6月と7~9月,年2化。
ハガタキエダシャク,Ctenognophos grandinaria (Motschulsky, 1861),8~9月,年1化であろう。幼虫越冬と推定。
チャノウンモンエダシャク,Jankowskia fuscaria (Leech, 1891),5~6月、8月、9~10月,年2~3化し、幼虫越冬。
キタウンモンエダシャク,Jankowskia pseudathleta Sato, 1980,6~7月,年1化で、幼虫で越冬。
リンゴツノエダシャク,Phthonosema tendinosaria (Bremer, 1864),5~9月,おそらく年2化、地域によっては年3化の可能性もある。越冬態は蛹。
トビネオオエダシャク,Phthonosema invenustaria (Leech, 1891),5~8月,地域によって年に1~2化。越冬態は蛹。
シロスジオオエдаシャク,Xandrames latiferaria (Walker, 1860),6~8月,年1化。蛹越冬。八重山諸島では、3~12月のほぼ毎月得られており、少なくとも年に3化はするのであろう。
ヒロオビオオエдаシャク,Xandrames dholaria Moore, 1868,5~10月,少なくとも年2化。蛹で越冬。
チャマダラエダシャク,Amblychia insueta (Butler, 1878),7~9月,年1化。
オオツバメエダシャク,Amblychia angeronaria Guenée, 1858,3~4月と7~8月 (南西諸島),年2化と考えられるが、他の地域ではおそらく年1化であろう。
ヒロオビエダシャク,Duliophyle agitata (Butler, 1878),8~9月,年1化。卵越冬の可能性があるが、未確認である。
オオトビエダシャク,Duliophyle majuscularia (Leech, 1897),8~9月,年1化。卵越冬と考えられるが、未確認である。
ツマキウスグロエダシャク,Scionomia anomala (Butler, 1881),8~9月,年1化。幼虫で越冬する。
コツマキウスグロエダシャク,Scionomia parasinuosa Inoue, 1982,7~8月,年1化。幼虫越冬と推定。
ソトキクロエダシャク,Scionomia mendica (Butler, 1879),6~7月と8~9月,年2化。越冬態は幼虫。
キマダラツバメエдаシャク,Thinopteryx crocoptera (Kollar, 1844),6~7月と9~10月,年2化。
ミヤマツバメエダシャク,Thinopteryx delectans (Butler, 1878),5~6月と8~9月,年2化し。
ヒロバフユエダシャク,Larerannis miracula (Prout, 1929),2月中旬~3月上旬,晩冬~早春の蛾、年1化で。蛹で越冬。
フタマタフユエдаシャク,Larerannis filipjevi Wehrli, 1935,3月下旬から (軽井沢)、4月下旬~5月上旬 (1000m以上の山地),年1化、早春に発生する。蛹で越冬。
ウスオビフユエダシャク,Larerannis orthogrammaria (Wehrli, 1927),10月下旬から (北海道)、11月上旬~下旬 (本州中部),晩秋~初冬の蛾、年1化。卵で越冬。
ナカジマフユエдаシャク,Larerannis nakajimai Inoue, 1986,11月下旬~12月上旬,晩秋~初冬の蛾、年1化。
トギレフユエダシャク,Protalcis concinnata (Wileman, 1911),3月下旬~4月上旬 (平地)、4月中旬~5月上旬 (山地),早春の蛾、年1化で。越冬態は蛹。
シロフフユエдаシャク,Agriopis dira (Butler, 1878),2月中旬から4月中旬頃,晩冬~早春の蛾。高緯度、高標高の地では、ときに5月に入ってからも。越冬態は蛹。
クロスジフユエダシャク,Pachyerannis obliquaria (Motschulsky, 1861),10月下旬から12月下旬,晩秋~初冬の蛾。卵で越冬。昼飛性。
チャバネフユエダシャク,Erannis golda Djakonov, 1929,11月上旬~12月下旬,晩秋~初冬の蛾。卵で越冬。
オオチャバネフユエダシャク,Erannis gigantea Inoue, 1955,10月下旬~11月下旬,晩秋~初冬の蛾。卵で越冬。
チャオビフユエダシャク,Phigaliohybernia fulvinfula Inoue, 1942,2月中旬~3月上旬,晩冬~早春の蛾。蛹で越冬。
シモフリトゲエダシャク,Phigalia sinuosaria Leech, 1897,12月下旬から3月上旬 (平地~低山帯)、4月中旬~5月中旬 (山地),晩冬~早春の蛾。蛹で越冬。
ウスシモフリトゲエダシャク,Phigalia djakonovi Moltrecht, 1933,4月上旬~5月上旬,早春の蛾。年1化で蛹越冬。
シロトゲエダシャク,Phigalia verecundaria (Leech, 1897),2月下旬~3月中旬 (平地・低緯度)、4月中旬~5月上旬 (山地や高緯度),早春の蛾。蛹越冬。
フチグロトゲエдаシャク,Nyssiodes lefuarius (Erschoff, 1872),2月下旬~3月上旬から,早春の蛾で昼飛性である。
カバシタムクゲエダシャク,Sebastosema bubonaria Warren, 1896,3月下旬~4月上旬,早春の蛾で昼飛性。
オカモトトゲエдаシャク,Apochima juglansiaria (Graeser, 1889),2月下旬~5月上旬,年1化で早春に出現。
クワトゲエダシャク,Apochima excavata (Dyar, 1905),2月下旬~3月下旬,早春の蛾。
キイロトゲエダシャク,Apochima praeacutaria (Inoue, 1976),2月下旬~3月下旬,早春の蛾。沖縄島では1月下旬から発生している。
ムクゲエダシャク,Lycia hirtaria (Clerck, 1759),4月下旬~5月下旬,年1化で蛹で越冬する。
チャエダシャク,Megabiston plumosaria (Leech, 1891),10~11月,年1化で秋の蛾。卵越冬。
アシズリエダシャク,Megabiston ashizuriensis Sato & Kawakami, 2001,12月中旬から1月,
チャオビトビモンエダシャク,Biston strataria (Hufnagel, 1767),4月上旬から (本州)、5月上旬から (北海道),春の蛾。
フタオレウスグロエダシャク,Biston thoracicaria (Oberthür, 1884),5月と7月,年2化。
オオシモフリエダシャク,Biston betularia (Linnaeus, 1758),7~8月,年1化。蛹で越冬。
クロズエダシャク,Biston marginata Shiraki, 1913,3月,春の蛾。
トビモンオオエダシャク,Biston robustum Butler, 1879,2月下旬から5月上旬,年1化で春に出現。蛹で越冬。
タケウチエдаシャク,Biston takeuchii Matsumura, 1931,4月上旬~下旬,早春の蛾で。
シロシモフリエдаシャク,Biston melacron Wehrli, 1941,4~5月,年1化で。
ハイイロオオエダシャク,Biston regalis (Moore, 1888),6月上旬から8月下旬,年1化で、蛹で越冬する。
キオビゴマダラエダシャク,Biston panterinaria (Bremer & Grey, 1853),6月上旬から8月中旬,年1化で、蛹で越冬する。
ウスイロオオエダシャク,Amraica superans (Butler, 1878),不明,年2化することは間違いないが、寒地では年1化かもしれない。
アサヒナオオエдаシャク,Amraica asahinai (Inoue, 1964),3月と8月,年2~3化するものと思われる。
サキシマオオエダシャク,Amraica kimurai Sato, 2003,2~3月と7~8月,年2化と推定。
アミメオオエダシャク,Mesastrape fulguraria (Walker, 1860),5月上旬から10月上旬頃,年2化と思われるが、周年経過は解明されていない。
ニッコウエダシャク,Lassaba nikkonis (Butler, 1881),3月から5月頃,春の蛾で。蛹で越冬。
ウスズミエダシャク,Lassaba fuliginosa (Inoue & Sato, 1986),12月中旬、3月上~中旬、1月上旬~2月上旬,年1化。
カバエダシャク,Colotois pennaria (Linnaeus, 1761),10~11月,晩秋から初冬の蛾。卵で越冬する。
ハスオビエダシャク,Descoreba simplex Butler, 1878,3~5月,年1化で春の蛾。蛹で越冬。
ニトベエダシャク,Wilemania nitobei (Nitobe, 1907),10~12月,晩秋の蛾で。卵で越冬。
アトジロエダシャク,Pachyligia dolosa Butler, 1878,3~4月,春の蛾で。蛹で越冬。
キイロエダシャク,Doratoptera virescens (Marumo, 1923),3~4月,春の蛾。蛹で越冬。
ナンカイキイロエдаシャク,Doratoptera amabilis (Yazaki, 1988),2~4月,春の蛾。
ヒロバトガリエダシャク,Planociampa antipala Prout, 1930,3月下旬から4月,年1化で。蛹で越冬。
ホソバトガリエダシャク,Planociampa modesta (Butler, 1878),3月下旬から4月,春の蛾で。蛹で越冬。
スモモエダシャク,Angerona prunaria (Linnaeus, 1758),7~8月 (北海道)、6~7月 (本州中部),年1化。
ゴマフキエダシャク,Angerona nigrisparsa Butler, 1879,5~6月と7~8月,おそらく年2化。
ツマトビキエダシャク,Bizia aexaria Walker, 1860,5~7月と8~9月,年2化し。越冬態は不明。
オイワケキエダシャク,Exangerona prattiaria (Leech, 1891),7~8月 (北海道)、5~6月と8~9月 (本州以南),北海道では年1化、本州以南では年2化。
ウスクモエダシャク,Menophra senilis (Butler, 1878),4~10月,年2~3化するものと思われる。蛹で越冬する。
ハルタウスクモエダシャク,Menophra harutai (Inoue, 1954),4月中旬から5月 (本州中部),晩春の蛾。高標高の山地では6月、ときには7月に入ってから。蛹で越冬。
エゾウスクモエダシャク,Phthonandria emaria (Bremer, 1864),7~8月,年1化。蛹越冬と推定している。
クワエダシャク,Phthonandria atrilineata (Butler, 1881),6~7月と8~9月,年2化。3令くらいの幼虫で越冬。
ヒゲマダラエダシャク,Cryptochorina amphidasyaria (Oberthür, 1880),3月中旬~5月上旬,春の蛾で。蛹で越冬。
ギンスジエダシャク,Chariaspilates formosaria (Eversmann, 1837),6~7月と8~9月,年2化。あるいは3化する可能性もある。
フタスジギンエダシャク,Megaspilates mundataria (Stoll, 1782),5~6月,おそらく年1化。
ハスオビカバエダシャク,Pseudaspilates obliquizona (Inoue, 1953),7~8月,
クロモンキリバエダシャク,Psyra bluethgeni (Püngeler, 1903),3~4月,年1化で春の蛾である。蛹で越冬。
ミスジキリバエダシャク,Psyra boarmiata (Graeser, 1892),5月頃と8~9月,年2化し。
サラサエダシャク,Epholca arenosa (Butler, 1878),5~6月と8~9月,年2化するが、北海道や高標高地では年1化と思われる。蛹で越冬。
シロモンクロエダシャク,Proteostrenia leda (Butler, 1878),6~8月,年1化かもしれない。
モンキクロエдаシャク,Proteostrenia pica Wileman, 1911,7月下旬~8月中旬,年1化。
ハスオビキエダシャク,Scardamia aurantiacaria Bremer, 1864,7~8月 (北海道)、6~7月と8~9月 (九州),地域によって年1~2化。
マエキトビエダシャク,Nothomiza formosa (Butler, 1878),5~10月,おそらく年2化、蛹で越冬。
オオマエキトビエダシャク,Nothomiza oxygoniodes Wehrli, 1939,不明,年3~4化。奄美大島や沖縄島では、3月から出現している。
キリバエダシャク,Ennomos nephotropa Prout, 1930,6月下旬から10月,地域によって年1~2化、卵越冬と推定。
ヒメキリバエダシャク,Ennomos infidelis (Prout, 1929),8月上旬から9月上旬,
フタモンキバネエダシャク,Crocallis elinguaria (Linnaeus, 1758),夏期,年1化。
ヨスジキエダシャク,Cotta incongruaria (Walker, 1860),6~8月,年1化。
ウスグロノコバエダシャク,Odontopera bidentata (Clerck, 1759),6~8月,年1化。
エグリヅマエダシャク,Odontopera arida (Butler, 1878),4~7月と8~10月,年に3~4化するものと思われる。幼虫または蛹で越冬。
キイロエグリヅマエダシャク,Odontopera aurata (Prout, 1915),4月下旬から9月,地域によって年1~2化。
オオノコメエダシャク,Acrodontis fumosa (Prout, 1930),10~11月,秋の蛾で。卵で越冬。
ヒメノコメエдаシャク,Acrodontis kotshubeji Sheljuzhko, 1944,10~11月,
タンチャメノコメエдаシャク,Acrodontis tanchame Kobayashi, 1995,12月上旬~1月中旬,
マダラノコメエдаシャク,Acrodontis yazakii Kobayashi, 1995,1月中旬~3月上旬,春の蛾である。
モンシロツマキリエダシャク,Xerodes albonotaria (Bremer, 1864),4月下旬から7月頃,年2化、蛹で越冬。奄美大島以南では、4月頃から12月下旬まで続けて発生している。
ミスジツマキリエダシャク,Xerodes rufescentaria (Motschulsky, 1861),4~6月と7~8月,年2化。
コガタツマキリエダシャク,Xerodes sordidata (Inoue, 1987),4~5月、7~8月、11月,年に3~4化するものと思われる。
アカエдаシャク,Xerodes semilutata (Lederer, 1853),4~6月と7~8月,年2化。
ミカンコエダシャク,Hyposidra talaca (Walker, 1860),1月から11月,年に何回か発生するものと思われる。
キマダラツマキリエダシャク,Zanclidia testacea (Butler, 1881),7~8月,年1化。
キイロミミモンエダシャク,Eilicrinia parvula Wehrli, 1940,不明,年2化。
ミミモンエダシャク,Eilicrinia wehrlii Djakonov, 1933,4月下旬から8月下旬,年2化、蛹越冬と推定。
キエдаシャク,Auaxa sulphurea (Butler, 1878),5~7月,おそらく年1化。
エグリエダシャク,Fascellina chromataria Walker, 1860,5~8月,年に2~3化するのであろう。
テンモンチビエダシャク,Ocoelophora lentiginosaria (Leech, 1891),5~6月頃と8~9月頃,年2化。
ツマキリウスキエダシャク,Pareclipsis gracilis (Butler, 1879),4~10月,年に数回発生するものと思われる。
ハガタムラサキエダシャク,Selenia sordidaria Leech, 1897,4~6月と7~8月,年2化、蛹で越冬。
ウスムラサキエダシャク,Selenia adustaria Leech, 1891,5~6月と7~8月,年2化で蛹越冬。
ムラサキエダシャク,Selenia tetralunaria (Hufnagel, 1767),4月中旬から9月下旬,おそらく年2化。蛹で越冬。
イチモジエダシャク,Apeira syringaria (Linnaeus, 1758),6月頃と8~9月,年2化し、蛹で越冬する。
コガタイチモジエダシャク,Agaraeus parva (Hedemann, 1881),6~7月、8月、9~10月,年2~3化するものと思われる。蛹で越冬。
ナシモンエдаシャク,Garaeus mirandus (Butler, 1881),5~6月と8~9月,年2化。蛹越冬と推定している。
キバラエダシャク,Garaeus specularis Moore, 1868,7月頃から10月頃,年2化し、卵で越冬する。
エグリイチモジエダシャク,Agaraeus discolor (Warren, 1893),6~7月と9~10月,年2化と推定している。
ウラモンアカマダラエダシャク,Entomopteryx combusta (Warren, 1893),3月、5月、10~11月,年2~3化するものと思われる。
トガリエダシャク,Xyloscia subspersata (Felder & Rogenhofer, 1875),5~7月と8~9月,年2化蛹越冬である。
ツマキリエダシャク,Endropiodes abjecta (Butler, 1879),4~6月と7~8月,年2化し、蛹越冬。
モミジツマキリエдаシャク,Endropiodes indictinaria (Bremer, 1864),4~6月と7~8月,年2化し、蛹越冬。
ツツジツマキリエダシャク,Endropiodes circumflexa Inoue, 1976,5~6月と7~8月,年2化し、蛹で越冬。
ナカキエダシャク,Plagodis dolabraria (Linnaeus, 1767),5~6月頃と7~9月頃,年2化し、蛹で越冬する。
コナフキエдаシャク,Plagodis pulveraria (Linnaeus, 1758),4~6月と7~9月,年2化。蛹で越冬する。
リョクモンエダシャク,Celenna festivaria (Fabricius, 1794),不明,ほぼ通年採集されており、年に何回か発生するのであろう。
フタテンエダシャク,Seleniopsis evanescens (Butler, 1881),5月下旬~6月中旬、8月上旬、9月中旬,年に3化し成虫越冬と推定されている。
ウラモンアカエダシャク,Parepione grata (Butler, 1879),4~6月と7~8月,年2化、蛹で越冬する。
フタマエホシエダシャク,Achrosis paupera (Butler, 1881),5~6月と7~8月,年2化、蛹で越冬。
アトボシエダシャク,Cepphis advenaria (Hübner, 1790),5~6月と7~8月,年2化、蛹で越冬。
ベニスジエダシャク,Heterolocha stulta (Butler, 1879),5~6月と7~8月,年2化、蛹で越冬する。
ヒメウラベニエдаシャク,Heterolocha laminaria (Herrich-Schäffer, 1852),6~7月,おそらく年2化。
ウラベニエダシャク,Heterolocha aristonaria (Walker, 1860),4~6月と7~9月,年2化で蛹で越冬するが、鹿児島県では1~2月に幼虫、3月に成虫羽化、沖縄島では1月から成虫。
アカネエダシャク,Heterolocha coccinea Inoue, 1976,3月上旬と7月下旬,年2~3化するものと思われる。
シダエダシャク,Petrophora chlorosata (Scopoli, 1763),4~6月,春の蛾で。
ウラモントガリエダシャク,Hypoxystis mandli Schawerda, 1924,5~6月,年1化。
アキヨシトガリエダシャク,Hypoxystis pulcheraria (Herz, 1905),6月下旬~7月中旬、8月上旬~9月中旬,年2化するものと思われる。
ウスアカオビエダシャク,Meteima mediorufa (Bastelberger, 1911),3月下旬,年1化。
ツマトビシロエダシャク,Spilopera debilis (Butler, 1878),5~6月と7~8月,年2化し、蛹で越冬。
ウコンエダシャク,Corymica pryeri (Butler, 1878),5~6月と7~8月 (本州中部)、沖縄島や西表島では12~1月にも,年に数化するものと思われる。
ヒメウコンエダシャク,Corymica arnearia Walker, 1860,不明,年に数化するのであろう。
ヘリグロキエダシャク,Corymica deducta (Walker, 1866),不明,地域によって年に2~3化と推定される。本州で幼虫越冬の可能性がある。
フトスジツバメエダシャク,Ourapteryx japonica Inoue, 1993,5月から10月,幼虫で越冬することが確認されている。
ウスキツバメエダシャク,Ourapteryx nivea Butler, 1883,6~8月と9~11月,年2化、幼虫で越冬。
ノムラツバメエダシャク,Ourapteryx nomurai Inoue, 1946,7~8月,年1化。幼虫越冬と推定。
コガタツバメエдаシャク,Ourapteryx obtusicauda (Warren, 1894),6月から10月,年2~3化と思われる。幼虫越冬と推定。
ヒメツバメエダシャク,Ourapteryx subpunctaria Leech, 1891,6~8月と9~10月,年2化すると思われる。
シロツバメエダシャク,Ourapteryx maculicaudaria (Motschulsky, 1866),6~7月と9~10月,年2化し、幼虫で越冬する。
トラフツバメエダシャク,Tristrophis veneris (Butler, 1878),6~7月と8~9月 (本州中部)、北海道では7~8月,幼虫越冬と推定されている。
シロオビフユシャク,Alsophila japonensis (Warren, 1894),12~2月上旬 (平地)、10月下旬から11月中旬 (山地),年1化。卵越冬。
ユキムカエフユシャク,Alsophila inouei Nakajima, 1989,11月下旬から12月上旬,年1化。
サクフウフユシャク,Alsophila yanagitai Nakajima, 1995,12月上旬から下旬,年1化。
クロバネフユシャク,Alsophila foedata Inoue, 1944,1月中旬から3月上旬,年1化。
スジモンフユシャク,Alsophiloides acroama (Inoue, 1944),2月下旬から3月中旬 (平地)、5月上旬 (高標高の山地),年1化。
クロテンフユシャク,Inurois membranaria (Christoph, 1881),12月下旬から3月 (平地)、11月中旬から12月上旬と4月下旬から5月上旬 (山地),年1化。長期出現型。
ウスバフユシャク,Inurois fletcheri Inoue, 1954,12月中・下旬から2月上旬,年1化。
ヤマウスバフユシャク,Inurois nikkoensis Nakajima, 1992,11月中旬から12月上旬,年1化。
シュゼンジフユシャク,Inurois kobayashii Nakajima, 1992,1月上~下旬,年1化。
アカウスバフユシャク,Inurois minutulus Nakajima & Kudo, 1987,12月中旬から1月中旬,年1化。
フタスジフユシャク,Inurois asahinai Inoue, 1974,11月中旬から12月上旬,年1化。新潟県では春(4月)にも採れている。
クジュウフユシャク,Inurois kyushuensis Inoue, 1974,11月上~下旬 (地域によっては12月上旬),年1化。
ホソウスバフユシャク,Inurois tenuis Butler, 1879,2月中旬から3月上旬 (平地)、4月下旬から5月上旬 (山地),年1化。
ウスモンフユシャク,Inurois fumosa (Inoue, 1944),12月下旬から1月下旬 (平地)、11月中旬~12月上旬 (山地),年1化。
ハスオビトガリシャク,Sarcinodes mongaku Marumo, 1920,5~9月の間に3回くらい,
ムラサキトガリシャク,Sarcinodes yaeyamana Inoue, 1976,3月下旬から12月下旬,年間を通じて連続的に発生していると思われる。
ハニンスホソシャク,Derambila dentifera (Moore, 1888),3月と5月,
エグリトガリシャク,Ozola japonica Prout, 1910,不明,年2化で春と夏に出現する。
オキナワトガリシャク,Ozola defectata Inoue, 1971,3~10月,
ホシシャク,Naxa seriaria (Motschulsky, 1866),6月中旬~7月中旬,年1化。
オオシロアヤシャク,Pingasa alba Swinhoe, 1891,5~8月,年2回発生すると思われる。
コアヤシャク,Pingasa pseudoterpnaria (Guenée, 1857),4~5月と7~8月,年2化。
タイワンアヤシャク,Pingasa ruginaria (Guenée, 1857),1~12月,年間を通じて連続的に発生していると思われる。
ウスアオアヤシャク,Pingasa aigneri Prout, 1930,5~6月と8月,年2回発生すると思われる。
オオアヤシャク,Pachista superans (Butler, 1878),6月下旬~7月中旬と8月下旬~9月中旬,年2化。
アカオビアヤシャク,Herochroma cristata (Warren, 1894),不明,未詳。
ウスアオシャク,Dindica virescens (Butler, 1878),4月下旬から9月下旬,年2~3回出現する。蛹越冬。
チズモンアオシャク,Agathia carissima Butler, 1878,5~8月,3回出現する。
アシブトチズモンアオシャク,Agathia visenda Butler, 1880,4~9月,年3~4回発生すると思われる。
マダラチズモンアオシャク,Agathia lycaenaria (Kollar, 1844),1~12月,年間を通じて連続的に発生していると思われる。
ヤエヤマチズモンアオシャク,Agathia laetata (Fabricius, 1794),不明,年間を通して連続的に発生していると思われる。
オガサワラチズモンアオシャク,Agathia ichnospora Prout, 1934,不明,1年を通して連続的に発生している。
アトヘリアオシャク,Aracima muscosa Butler, 1878,7~8月,年1化。
ノコバアオシャク,Timandromorpha enervata Inoue, 1944,5~6月と8月,
ヒメカギバアオシャク,Mixochlora vittata (Moore, 1868),5~11月,年数回出現し、幼虫越冬の可能性が高い。
カギバアオシャク,Tanaorhinus reciprocata (Walker, 1861),5~10月,南西諸島では年間を通して連続的に出現している。
オオシロオビアオシャク,Geometra papilionaria (Linnaeus, 1758),7~8月,年1化。
シロオビアオシャク,Geometra sponsaria (Bremer, 1864),6月と8~9月,
マエモンシロスジアオシャク,Geometra ussuriensis (Sauber, 1915),7~8月,山地性の種。
カギシロスジアオシャク,Geometra dieckmanni Graeser, 1889,5月下旬~6月と8~9月,年2回。
クロスジアオシャク,Geometra valida Felder & Rogenhofer, 1875,6~7月 (平地から低山地)、8月 (山地),年1化。
コシロオビアオシャク,Geometra glaucaria Ménétriès, 1859,6~7月 (低山地)、8月 (山地),年1化。
キマエアオシャク,Neohipparchus vallata (Butler, 1878),6~7月と8~9月 (低山地)、10月まで (暖地),年2化。
ヒメシロフアオシャク,Eucyclodes infracta (Wileman, 1911),7~8月,年1化。
シロフアオシャク,Eucyclodes difficta (Walker, 1861),6~7月と9月,
クスアオシャク,Pelagodes subquadraria (Inoue, 1976),7月と9~10月,年2化。
オオサザナミシロアオシャク,Pelagodes antiquadraria (Inoue, 1976),不明,ほぼ1年中出現が見られ、連続的に発生していると思われる。
ヒメサザナミアオシャク,Pelagodes proquadraria (Inoue, 1976),不明,一年を通して連続的に発生していると思われる。
チビサザナミシロアオシャク,Pelagodes ogasawarensis (Inoue, 1994),4~8月,
サザナミシロアオシャク,Thalassodes intaminata Inoue, 1971,不明,年間を通して得られており、連続的に発生していると思われる。
トガリサザナミシロアオシャク,Thalassodes supracutipennis Inoue, 1994,5~12月,
ナミガタウスキアオシャク,Jodis lactearia (Linnaeus, 1758),5~6月と7~8月,年2化。
ヒメウスアオシャク,Jodis putata (Linnaeus, 1758),5~9月,2回以上発生すると思われる。関東地方周辺の平地では4~5月、6~7月、8~9月と3回出現する。
ヒメナミガタアオシャク,Jodis placida Inoue, 1986,6月9日、7月21日、7月26日、8月11日,
マルモンヒメアオシャク,Jodis praerupta (Butler, 1878),5~6月と8月,年2化。
ウスキヒメアオシャク,Jodis urosticta Prout, 1930,4~5月と8月,年2化。
スカシヒメアオシャク,Jodis amamiensis Inoue, 1982,3月と8月,
ウスミズアオシャク,Jodis argutaria (Walker, 1866),6~7月,
コガタヒメアオシャク,Jodis orientalis Wehrli, 1923,5~6月と8~9月,年2化と思われる。
オオナミガタアオシャク,Jodis dentifascia Warren, 1897,7~8月,
スジモンツバメアオシャク,Maxates albistrigata (Warren, 1895),5~8月,
ツバメアオシャク,Maxates ambigua (Butler, 1878),6~8月,普通。
ズグロツバメアオシャク,Maxates fuscofrons (Inoue, 1954),6~7月,
ヒロバツバメアオシャク,Maxates illiturata (Walker, 1863),6~7月,年1化。
サキシマツバメアオシャク,Maxates versicauda (Prout, 1920),12月,周年経過は不明だが、年間を通して連続的に発生していると思われる。
ヒメツバメアオシャク,Maxates protrusa (Butler, 1878),6~7月と8~9月,年2化。
ハガタツバメアオシャク,Maxates grandificaria (Graeser, 1890),6~7月と8~9月,年2化。
スジツバメアオシャク,Aoshakuna lucia (Thierry-Mieg, 1917),6月下旬~7月 (低山地)、7月下旬~8月 (山地),年1化。
コガタアオシャク,Microloxia chlorissodes Prout, 1912,不明,くわしい周年経過などは不明。
キバラヒメアオシャク,Hemithea aestivaria (Hübner, 1799),6~7月,年1化。暖地では5月下旬~7月と9月に出現し年2化の可能性がある。
ハラアカヒメアオシャク,Hemithea beethoveni Inoue, 1942,5~6月と7~8月,
ヘリグロヒメアオシャク,Hemithea tritonaria (Walker, 1863),不明,年間を通じて連続的に発生している。春の出現状況から見ると幼虫越冬の可能性が高い。
アオスジアオシャク,Hemithea marina (Butler, 1878),不明,平地から山地まで。
コウスアオシャク,Chlorissa obliterata (Walker, 1863),4月下旬~6月と8~9月,年2化。
ハラアカアオシャク,Chlorissa amphitritaria (Oberthür, 1879),4月下旬~8月,年2化と思われる。
ウスハラアカアオシャク,Chlorissa inornata (Matsumura, 1925),5~6月,年1化と思われる。
ホソバハラアカアオシャク,Chlorissa anadema (Prout, 1930),5~6月と8~9月,年2化。
ナミスジコアオシャク,Idiochlora ussuriaria (Bremer, 1864),6~10月,年2~3回出現すると思われる。おそらく幼虫越冬と推定される。
