大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典
H076,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Halticorcus,,duodecimmaculata,,,,,ジュウニホシニセマルトビハムシ,,,,,,,Halticorcus duodecimmaculata,不明,,ハムシ目録データベース
H077,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Halticorcus,,hiranoi,,,,,ヒラノニセマルトビハムシ,,,,,,,Halticorcus hiranoi,不明,,ハムシ目録データベース
H078,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Halticorcus,,kasuga,,,,,トホシニセマルトビハムシ,,,,,,,Halticorcus kasuga,不明,,ハムシ目録データベース
H079,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Halticorcus,,sauteri,,,,,ムツボシニセマルトビハムシ,,,,,,,Halticorcus sauteri,不明,,ハムシ目録データベース
H080,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Halticorcus,,sauteri,,,,,ムツボシニセマルトビハムシ　屋久島亜種,,,,,,,Halticorcus sauteri,不明,,ハムシ目録データベース
H081,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,balyi,,,,,ヨツモンミゾアシノミハムシ,,,,,,,Hemipyxis balyi,不明,,ハムシ目録データベース
H082,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,changi,,,,,ヒメマルノミハムシ,,,,,,,Hemipyxis changi,不明,,ハムシ目録データベース
H083,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,cinctipennis,,,,,キベリヒラタノミハムシ,,,,,,,Hemipyxis cinctipennis,不明,,ハムシ目録データベース
H084,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,cinctipennis,,,,,キベリヒラタノミハムシ　沖縄本島亜種,,,,,,,Hemipyxis cinctipennis,不明,,ハムシ目録データベース
H085,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,flaviabdominalis,,,,,キバラマルノミハムシ,,,,,,,Hemipyxis flaviabdominalis,不明,,ハムシ目録データベース
H086,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,flavipennis,,,,,キバネマルノミハムシ,,,,,,,Hemipyxis flavipennis,ネズミモチ,,ハムシハンドブック
H087,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,foveolata,,,,,キイロミゾアシノミハムシ,,,,,,,Hemipyxis foveolata,不明,,ハムシ目録データベース
H088,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,foveolata,,,,,キイロミゾアシノミハムシ　宮古島亜種,,,,,,,Hemipyxis foveolata,不明,,ハムシ目録データベース
H089,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,plagioderoides,,,,,ヒゲナガルリマルノミハムシ,,,,,,,Hemipyxis plagioderoides,不明,,ハムシ目録データベース
H090,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,shirakii,,,,,マエモンヒラタノミハムシ,,,,,,,Hemipyxis shirakii,不明,,ハムシ目録データベース
H091,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hemipyxis,,takarai,,,,,タカラミゾアシノミハムシ,,,,,,,Hemipyxis takarai,不明,,ハムシ目録データベース
H092,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hermaeophaga,,(Orthocrepis),,,,,ヒメトビハムシ,,,,,,,Hermaeophaga (Orthocrepis),不明,,ハムシ目録データベース
H093,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hespera,,lomasa,,,,,シロヒゲトビハムシ,,,,,,,Hespera lomasa,不明,,ハムシ目録データベース
H094,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hippuriphila,,babai,,,,,アカガネトビハムシ,,,,,,,Hippuriphila babai,不明,,ハムシ目録データベース
H095,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Hyphasis,,inconstans,,,,,コブアシトビハムシ,,,,,,,Hyphasis inconstans,不明,,ハムシ目録データベース
H096,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ivalia,,bistripunctata,,,,,ムツボシトビハムシ,,,,,,,Ivalia bistripunctata,不明,,ハムシ目録データベース
H097,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ivalia,,hiranoi,,,,,イリオモテコダマトビハムシ,,,,,,,Ivalia hiranoi,不明,,ハムシ目録データベース
H098,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ivalia,,kodama,,,,,アマミコダマトビハムシ,,,,,,,Ivalia kodama,不明,,ハムシ目録データベース
H099,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ivalia,,nakanoi,,,,,ナカノコダマトビハムシ,,,,,,,Ivalia nakanoi,不明,,ハムシ目録データベース
H100,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Ivalia,,variabilis,,,,,カワリコダマトビハムシ,,,,,,,Ivalia variabilis,不明,,ハムシ目録データベース
H101,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lanka,,esakii,,,,,ヘリグロセダカトビハムシ,,,,,,,Lanka esakii,不明,,ハムシ目録データベース
H102,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lanka,,fulva,,,,,キイロセダカトビハムシ,,,,,,,Lanka fulva,不明,,ハムシ目録データベース
H103,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lanka,,magnoliae,,,,,ホオノキセダカトビハムシ,,,,,,,Lanka magnoliae,不明,,ハムシ目録データベース
H104,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lanka,,nagaii,,,,,フタツメタマノミハムシ,,,,,,,Lanka nagaii,不明,,ハムシ目録データベース
H105,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lesagealtica,,berberii,,,,,ルリチビカミナリハムシ,,,,,,,Lesagealtica berberii,不明,,ハムシ目録データベース
H106,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lesagealtica,,flavicornis,,,,,ウスグロチビカミナリハムシ,,,,,,,Lesagealtica flavicornis,不明,,ハムシ目録データベース
H107,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromela,,minutissima,,,,,セスジトビハムシ,,,,,,,Lipromela minutissima,不明,,ハムシ目録データベース
H108,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromela,,okinawana,,,,,オキナワセスジトビハムシ,,,,,,,Lipromela okinawana,不明,,ハムシ目録データベース
H109,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromima,,minuta,,,,,サシゲトビハムシ,,,,,,,Lipromima minuta,不明,,ハムシ目録データベース
H110,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromorpha,,inexpectata,,,,,オキノエラブクビボソトビハムシ,,,,,,,Lipromorpha inexpectata,不明,,ハムシ目録データベース
H111,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromorpha,,loochooana,,,,,リュウキュウクビボソトビハムシ,,,,,,,Lipromorpha loochooana,不明,,ハムシ目録データベース
H112,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lipromorpha,,sakishimana,,,,,サキシマクビボソトビハムシ,,,,,,,Lipromorpha sakishimana,不明,,ハムシ目録データベース
H113,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Liprus,,punctatostriatus,,,,,ナガトビハムシ,,,,,,,Liprus punctatostriatus,ギボウシ,,ハムシハンドブック
H114,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ヒルガオトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H115,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,クロボシトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H116,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ミスジアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H117,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ムラサキアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H118,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,アカアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H119,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,セアカアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H120,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,タイワンアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H121,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,イヌノフグリトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H122,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,イシガキアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H123,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,コミヤアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H124,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,オオバコアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
H125,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,クガイソウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース
