note_id,insect_id,type,content,reference,page,notes
note-000096,species-10058,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000097,species-10059,生態情報,イスノキの新鮮な枯れ枝から脱出。成虫はイスノキの生葉に集まる。,日本産タマムシ大図鑑,,
note-000098,species-10059,出現時期,不明,日本産タマムシ大図鑑,,
note-000099,species-10060,生態情報,シイ類やカシ類の生葉をスウィ-ピングして採集される。,日本産タマムシ大図鑑,,
note-000100,species-10060,出現時期,5~6月,日本産タマムシ大図鑑,,
note-000101,species-10065,生態情報,幼虫はクマイチゴなどのキイチゴ類の根部を加害し、成虫はその生葉上に多い。,日本産タマムシ大図鑑,,
note-000102,species-10065,出現時期,4~8月,日本産タマムシ大図鑑,,
note-000103,species-10067,生態情報,ミズナラの高所枝先のスウィ-ピングで採集される。,日本産タマムシ大図鑑,,
note-000104,species-10067,出現時期,6~9月,日本産タマムシ大図鑑,,
note-000105,species-10068,生態情報,タンナサワフタギを加害し、その生葉のスウィ-ピングによって採集される。,日本産タマムシ大図鑑,,
note-000106,species-10068,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000108,species-10069,出現時期,5月中旬~7月上旬,日本産タマムシ大図鑑,,
note-000109,species-10070,生態情報,大分県ではエゴノキのスウィ-ピングで得られている。,日本産タマムシ大図鑑,,
note-000110,species-10070,出現時期,4~7月,日本産タマムシ大図鑑,,
note-000111,species-10072,生態情報,ヤマボウシの衰弱木を食害し、その生葉や花を後食する。,日本産タマムシ大図鑑,,
note-000112,species-10072,出現時期,6~7月,日本産タマムシ大図鑑,,
note-000113,species-10073,生態情報,ナワシロイチゴの生葉上に見られる。,日本産タマムシ大図鑑,,
note-000114,species-10073,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000115,species-10075,生態情報,アカメガシワを食害し、その生葉上でよく見掛ける。,日本産タマムシ大図鑑,,
note-000116,species-10075,出現時期,3~8月,日本産タマムシ大図鑑,,
note-000117,species-10077,出現時期,不明,日本産タマムシ大図鑑,,
note-000118,species-10078,生態情報,樹皮下などで野外越冬する。,日本産タマムシ大図鑑,,
note-000118-E01,species-10078,出現時期,越冬後、4~5月にエノキやケヤキなどのひこばえやそだに集まる,日本産タマムシ大図鑑,,
note-000118-E02,species-10078,出現時期,新成虫は秋に羽化脱出してエノキの生葉を後食し,日本産タマムシ大図鑑,,
note-000119,species-10078,出現時期,秋に羽化、越冬後4~5月,日本産タマムシ大図鑑,,
note-000120,species-10079,生態情報,クヌギやナラ類のひこばえやそだに集まる。,日本産タマムシ大図鑑,,
note-000121,species-10079,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000122,species-10080,生態情報,サワグルミ、ハルニレ、シオジ、ヤチダモなどの衰弱木に集まる。,日本産タマムシ大図鑑,,
note-000122-E01,species-10080,出現時期,トネリコ類からの羽化脱出記録はある,日本産タマムシ大図鑑,,
note-000123,species-10080,出現時期,6~8月,日本産タマムシ大図鑑,,
note-000124,species-10081,生態情報,日本では栃木県日光からの1例の記録のみ。,日本産タマムシ大図鑑,,
note-000125,species-10081,出現時期,不明,日本産タマムシ大図鑑,,
note-000126,species-10083,生態情報,エノキの伐採木や枯れ木に集まる。,日本産タマムシ大図鑑,,
note-000127,species-10083,出現時期,5~8月,日本産タマムシ大図鑑,,
note-000128,species-10084,生態情報,山間部のエゾエノキの太い幹に飛来する。,日本産タマムシ大図鑑,,
note-000129,species-10084,出現時期,7~8月,日本産タマムシ大図鑑,,
note-000130,species-10085,生態情報,ドロノキやヤマナラシ等の衰弱木に集まる。,日本産タマムシ大図鑑,,
note-000131,species-10085,出現時期,6-8月,日本産タマムシ大図鑑,,
note-000132,species-10086,生態情報,岡山県では、フジキやユクノキに飛来した個体が採集されている。,日本産タマムシ大図鑑,,
note-000133,species-10086,出現時期,7~8月,日本産タマムシ大図鑑,,
