和名,学名,成虫発生時期,成虫発生時期に関する備考
ハガタフタオ,Dysaethria flavistriga (Warren, 1901),不明,多化性と思われるが、詳細は不明。
クロホシフタオ,Dysaethria moza (Butler, 1878),不明,年数回は発生しているものと思われ、1化目は大型となる。
ヒメクロホシフタオ,Dysaethria illotata (Christoph, 1880),5月から8月,年数回発生していると思われる。
ミナミクロホシフタオ,Dysaethria meridiana (Inoue, 1982),春から秋,年数化。
シタクロオビフタオ,Dysaethria fulvihamata (Hampson, 1912),5月、7月、10月、1月,多化性と思われ、八重山諸島での記録。
アトシロオビフタオ,Europlema desistaria (Walker, 1861),年間を通して,
オキナワフタオ,Europlema semibrunnea (Pagenstecher, 1888),10月と11月,多化性と思われる。
クロテンシロフタオ,Europlema nivosaria (Walker, 1866),3月から8月,
クロオビシロフタオ,Oroplema plagifera (Butler, 1881),春と夏,年2化。
カバシャク,Archiearis parthenias (Linnaeus, 1761),4月上旬から5月中旬,年1化。昼間飛翔する。
クロフカバシャク,Archiearis notha (Hübner, 1808),4月下旬から5月下旬,年1化。昼飛性。
スグリシロエダシャク,Abraxas grossulariata (Linnaeus, 1758),6~8月,年1化、若齢幼虫で越冬する。
スギタニシロエダシャク,Abraxas flavisinuata Warren, 1894,8~9月,年1化。
キタマダラエダシャク,Abraxas sylvata (Scopoli, 1763),6~8月 (北海道)、5~6月と7~9月 (本州),北海道では年1化、本州ではおそらく年2化。
ヒメマダラエダシャク,Abraxas niphonibia Wehrli, 1935,5~6月と7~9月,少なくとも年2化、暖地では3化以上する可能性もある。蛹で越冬する。南西諸島では12~3月にも見られる。
ヘリグロマダラエダシャク,Abraxas satoi Inoue, 1972,5~6月と8~9月,年2化で蛹越冬。
クロマダラエダシャク,Abraxas fulvobasalis Warren, 1894,5~6月と7~9月,少なくとも年2化。蛹越冬。
ヒトスジマダラエダシャク,Abraxas latifasciata Warren, 1894,不明,年に少なくとも2化するが、地域によっては3化する。越冬態は蛹。
ユウマダラエダシャク,Abraxas miranda Butler, 1878,不明,地域により年2~3化し、幼虫あるいは蛹で越冬する。沖縄島や西表島では、2~3月と11~12月に出現する。
ミナミマダラエダシャク,Abraxas formosilluminata Inoue, 1984,7~9月,西表島で1980年10月14日に得られた1♂が唯一の記録。
シロオビヒメエダシャク,Lomaspilis marginata (Linnaeus, 1758),5月から8月,地域によって年1~2化すると思われる。
シロスジヒメエダシャク,Ligdia japonaria Leech, 1897,5~6月と7~9月,年2化し、蛹で越冬する。
キブサヒメエダシャク,Ligdia ciliaria Leech, 1897,5~6月と7~8月,年2化と推定される。
クロフヒメエダシャク,Peratophyga hyalinata (Kollar, 1844),5~6月と7~8月,年2化し。
サザナミオビエダシャク,Heterophleps fusca (Warren, 1894),5~10月,年2~3化すると思われる。蛹で越冬する。
ヤマトエダシャク,Pseudenna delectans (Moore, 1888),不明,周年経過は不明。
ワタムラサキエダシャク,Odontopera insulata (Butler, 1878),6~10月,少なくとも年2化し、蛹で越冬。
ウスイロオオエダシャク,Amraica superans (Butler, 1878),不明,年2化することは間違いないが、寒地では年1化かもしれない。
